001_00	Elif Lām Mīm.
002_00	Ovo su ajeti mudre Knjige,
003_00	upute i milosti onima koji budu dobro činili,
004_00	onima koji molitvu budu obavljali i zekat davali i koji u onaj svijet budu čvrsto vjerovali;
005_00	njima će Gospodar njihov na Pravi put ukazati i oni će želje svoje ostvariti.
006_00	Ima ljudi koji kupuju priče za razonodu da bi, ne znajući koliki je to grijeh, s Allahova puta odvodili i da bi ga predmetom za ismijavanje uzimali. Njih čeka sramna kazna.
007_00	Kad se nekom od njih ajeti Naši kazuju, on oholo glavu okreće, kao da ih nije ni čuo, kao da je gluh – zato mu navijesti patnju nesnosnu.
008_00	One koji budu vjerovali i dobra djela činili doista čekaju bašče uživanja,
009_00	u njima će vječno boraviti – obećanje je Allahovo istinito, a On je silan i mudar.
010_00	Nebesa je, vidite ih, bez stupova stvorio, a po Zemlji planine nepomične razbacao da vas ne trese, i po njoj životinje svih vrsta razasuo.
010_01	Mi s neba kišu spuštamo i činimo da po njoj niču svakovrsne plemenite biljke.
011_00	To je Allahovo djelo; a pokažite Mi šta su drugi, mimo Njega, stvorili? Ništa! Mnogobošci su u pravoj zabludi.
012_00	A Mi smo Lukmanu mudrost darovali: "Budi zahvalan Allahu! Ko je zahvalan, čini to u svoju korist, a ko je nezahvalan – pa, Allah je, zaista, neovisan i hvale dostojan."
013_00	Kada Lukman reče sinu svome, savjetujući ga: "O sinko moj, ne smatraj druge Allahu ravnim, mnogoboštvo je, zaista, velika nepravda."
014_00	Mi smo naredili čovjeku da bude poslušan roditeljima svojim. Majka ga nosi, a njeno zdravlje trpi, i odbija ga u toku dvije godine. Budi zahvalan Meni i roditeljima svojim, Meni će se svi vratiti.
015_00	A ako te budu nagovarali da drugog Meni ravnim smatraš, onoga o kome ništa ne znaš, ti ih ne slušaj i prema njima se, na ovome svijetu, velik
015_01	odušno ponašaj, a slijedi put onoga koji se iskreno Meni obraća; Meni ćete se poslije vratiti i Ja ću vas o onome što ste radili obavijestiti.
016_00	"O sinko moj, dobro ili zlo, teško koliko zrno gorušice, bilo u stijeni ili na nebesima ili
016_01	u zemlji, Allah će na vidjelo iznijeti, jer Allah zna najskrivenije stvari, On je Sveznajući.
017_00	O sinko moj, obavljaj molitvu i traži da se čine dobra djela, a odvraćaj od hrđavih i strpljivo podnosi ono što te zadesi – dužnost je tako postupiti.
018_00	I, iz oholosti, ne okreći od ljudi lice svoje i ne idi zemljom nadmeno, jer Allah ne voli ni gordog ni hvalisavog.
019_00	U hodu budi odmjeren, a u govoru ne budi grlat; ta najneprijatniji glas je revanje magarca!"
020_00	Kako ne vidite da vam je Allah omogućio da se koristite svim onim što postoji na nebesima i na Zemlji i da vas darežljivo obasipa milošću Svojom, i vidljivom i nevidljivom?
020_01	A ima ljudi koji raspravljaju o Allahu bez ikakva znanja, bez ikakve upute i bez knjige svjetilje.
021_00	A kad im se govori: "Slijedite ono što vam Allah objavljuje!" – odgovaraju: "Ne, mi slijedimo ono što smo zapamtili od predaka naših."
021_01	Zar i onda kad ih šejtan poziva na patnju u ognju?!
022_00	Onaj ko se sasvim preda Allahu, a uz to čini dobra djela, uhvatio se za najčvršću vezu. Allahu se na koncu sve vraća.
023_00	A onaj koji ne vjeruje, pa, neka te ne zabrinjava nevjerovanje njegovo. Nama će se svi vratiti i Mi ćemo ih o onome šta su radili obavijestiti; Allahu su, uistinu, poznate svačije misli.
024_00	Mi im dajemo da kratko uživaju, a onda ćemo ih natjerati u patnju neizdržljivu.
025_00	A da ih upitaš: "Ko je stvorio nebesa i Zemlju?" – sigurno bi rekli: "Allah!" – a ti reci: "Hvaljen neka je Allah!" – samo što većina njih ne zna.
026_00	Allahovo je sve na nebesima i na Zemlji! Allah je, uistinu, nezavisan i hvale dostojan.
027_00	Da su sva stabla na Zemlji pisaljke, a da se u more, kad presahne, ulije još sedam mora, ne bi se ispisale Allahove riječi; Allah je, uistinu, silan i mudar.
028_00	Stvoriti sve vas i sve vas oživiti isto je kao stvoriti i oživiti jednoga čovjeka; Allah, zaista, sve čuje i sve vidi.
029_00	Kako ne vidiš da Allah uvodi noć u dan i uvodi dan u noć, i da je potčinio Sunce i Mjesec – svako se kreće do roka određenog –
029_01	i da Allah dobro zna ono što radite?
030_00	To zato što je Allah – Istina, a oni kojima se, pored Njega, oni mole – neistina, i što je Allah uzvišen i velik.
031_00	Zar ne vidiš da lađe Allahovom milošću morem plove da bi vam pokazao neke dokaze Svoje? To su, zaista, pouke za sve strpljive i zahvalne.
032_00	A kad ih talas, kao oblak, prekrije, mole se Allahu iskreno Mu vjeru ispovijedajući; a čim ih On do kopna dovede,
032_01	samo Mu neki zahvalni ostaju. A dokaze Naše samo izdajnik, nezahvalnik poriče.
033_00	O ljudi, bojte se Gospodara svoga i strahujte od Dana kad roditelj djetetu svome neće moći nimalo pomoći,
033_01	niti će dijete moći svome roditelju imalo pomoći! Allahova prijetnja je istinita, pa neka vas nikako život na ovome svijetu ne zavara i neka vas u Allaha šejtan ne pokoleba.
034_00	Samo Allah zna kad će Smak svijeta nastupiti, samo On spušta kišu i samo On zna šta je u matericama, a čovjek ne zna šta će sutra zaraditi
034_01	i ne zna čovjek u kojoj će zemlji umrijeti; Allah, uistinu, sve zna i o svemu je obaviješten.
