001_00	Hvaljen neka je Allah, stvoritelj nebesa i Zemlje, koji meleke sa po dva, tri i četir
001_01	i krila čini izaslanicima; On onome što stvara dodaje što hoće, On, uistinu, sve može.
002_00	Milost koju Allah podari ljudima niko ne može uskratiti, a ono što On uskrati niko ne može, poslije Njega, dati; On je silan i mudar.
003_00	O ljudi, sjetite se milosti kojom vas Allah obasipa. Postoji li, osim Allaha, ikakav drugi stvoritelj koji vas sa neba i iz zemlje opskrbljuje?
003_01	Osim Njega nema drugog boga, pa kuda se onda odmećete?
004_00	Ako te oni u laž utjeruju, pa – i prije tebe su poslanike u laž utjerivali; a Allahu će se sve vratiti.
005_00	O ljudi, Allahova prijetnja je, zaista, istina, pa neka vas nikako život na ovome svijetu ne zaslijepi i neka vas šejtan u Allaha ne pokoleba.
006_00	Šejtan je, uistinu, vaš neprijatelj, pa ga takvim i smatrajte! On poziva pristaše svoje da budu stanovnici u vatri.
007_00	One koji ne vjeruju čeka patnja teška, a one koji vjeruju i dobra djela čine – oprost i nagrada velika.
008_00	Kako mogu biti isti: onaj kome su njegova ružna djela prikazana lijepim, a i on ih smatra lijepim… Allah u zabludi ostavlja onoga koga hoće, a na Pravi put ukazuje onome kome hoće, pa ne izgaraj od žalosti za njima;
008_01	Allah, doista, dobro zna sve što oni rade.
009_00	Allah šalje vjetrove koji pokreću oblake, a Mi ih onda u mrtve predjele upravljamo i njima zemlju oživljavamo, koja je mrtva bila; takvo će biti i oživljenje.
010_00	Ako neko želi veličinu, pa – u Allaha je sva veličina! K Njemu se dižu lijepe riječi, i dobro djelo On prima.
010_01	A one koji imaju hrđave namjere čeka patnja nesnosna, i njihovo spletkarenje je rabota bezuspješna.
011_00	Allah vas stvara od zemlje, zatim od kapi sjemena, i najzad vas čini muškarcima i ženama.
011_01	I nijedna žena ne zanese niti rodi, a da to On ne zna. I ničiji život se ne produži niti skrati, a da to nije zabilježeno u Knjizi; to je Allahu uistinu lahko!
012_00	Ni dva mora nisu jednaka: jedno je slatko i prijatno – voda mu se lahko pije, a drugo je slano i gorko; vi iz svakog jedete svježe
012_01	meso i vadite nakit kojim se kitite; ti vidiš lađe kako po njemu sijeku vodu da stječete iz obilja Njegova, da biste bili zahvalni.
013_00	On uvodi noć u dan i uvodi dan u noć, On je potčinio Sunce i Mjesec – svako plovi do roka određenog;
013_01	to vam je, eto, Allah, Gospodar vaš, carstvo je Njegovo! A oni kojima se, pored Njega, klanjate ne posjeduju ništa.
014_00	Ako im se molite, ne čuju vašu molbu, a da i čuju, ne bi vam se odazvali; na Sudnjem danu će poreći da ste ih Njemu ravnim smatrali. I niko te neće obavijestiti kao Onaj koji zna.
015_00	O ljudi, vi ste siromasi, vi trebate Allaha, a Allah je nezavisan i hvale dostojan.
016_00	Ako hoće, ukloniće vas i nova stvorenja dovesti,
017_00	to Allahu nije teško.
018_00	I nijedan grješnik neće grijehove drugog nositi; ako grijehovima pretovarenī pozove da mu se ponesu, niko mu ih neće ponijeti, pa ni rođak.
018_01	A ti ćeš opomenuti samo one koji se Gospodara svoga boje, iako ih niko ne vidi, i koji obavljaju molitvu – onaj ko se očisti, očistio se za svoje dobro – a Allahu se sve vraća.
019_00	Nisu nikako isti slijepac i onaj koji vidi,
020_00	ni tmine i svjetlo,
021_00	ni hladovina i vjetar vrući,
022_00	i nisu nikako isti živi i mrtvi. Allah će učiniti da čuje onaj koga On hoće, a ti ne možeš one u grobovima dozvati,
023_00	tvoje je samo da opominješ.
024_00	Mi smo te poslali s Istinom da radosne vijesti donosiš i da opominješ; a nije bilo naroda kome nije došao onaj koji ga je opominjao.
025_00	Ako te oni u laž utjeruju, pa – i onī prije njih su poslanike u laž utjerivali, a oni su im očigledna čuda donosili, i listove, i Knjigu svjetilju.
026_00	I Ja sam onda kažnjavao one koji nisu vjerovali, a kakva je samo bila kazna Moja!
027_00	Zar ne znaš da Allah s neba spušta vodu i da Mi pomoću nje stvaramo plodove različitih vrsta;
027_01	a postoje brda bijelih i crvenih staza, različitih boja, i sasvim crnih.
028_00	I ljudi i životinja i stoke ima, isto tako, različitih vrsta. A Allaha se boje od robova Njegovih – učeni. Allah je, doista, silan i On prašta.
029_00	Oni koji Allahovu Knjigu čitaju i molitvu obavljaju i od onoga čime ih Mi opskrbljujemo udjeljuju, i tajno i javno, mogu se nadati nagradi koja neće nestati
030_00	da ih On prema onome što su radili nagradi i još im iz obilja Svoga dâ, jer On mnogo prašta i blagodaran je.
031_00	A ono što ti iz Knjige objavljujemo sušta je istina, ona potvrđuje da su istinite i one prije nje. – Allah, zaista, o robovima Svojim sve zna i On sve vidi.
032_00	Mi ćemo učiniti da Knjigu poslije naslijede onī Naši robovi koje Mi izaberemo; biće onih koji će se prema sebi ogriješiti, biće onih čija će dobra i loša djela podjednako teška biti,
032_01	i biće i onih koji će, Allahovom voljom, svojim dobrim djelima druge nadmašiti – za to će veliku nagradu dobiti:
033_00	edenske perivoje u koje će ući, u kojima će se zlatnim narukvicama, biserom ukrašenim, kititi, a haljine će im, u njima, od svile biti.
034_00	"Hvaljen neka je Allah" – govoriće – "koji je od nas tugu odstranio – Gospodar naš, zaista, mnogo prašta i blagodaran je –
035_00	koji nam je, od dobrote Svoje, vječno boravište darovao, gdje nas umor neće doticati i u kome nas klonulost neće snalaziti."
036_00	A nevjernike čeka vatra džehennemska, oni neće biti na smrt osuđeni, i neće umrijeti, i neće im se patnja u njemu ublažiti – eto tako ćemo svakog nevjernika kazniti –
037_00	oni će u njemu jaukati: "Gospodaru naš, izbavi nas, činićemo dobra djela, drugačija od onih koja smo činili." – "A zar vas nismo ostavili da živite dovoljno dugo da bi onaj koji je trebao razmisliti imao vremena da razmisli, a bio vam je došao i onaj koji opominje?
037_01	Zato iskusite patnju, nevjernicima nema pomoći!"
038_00	Allah sigurno zna tajne nebesa i Zemlje; On dobro zna svačije misli.
039_00	On čini da se smjenjujete na Zemlji; ko ne bude vjerovao, nevjerovanje njegovo je na njegovu štetu;
039_01	nevjernicima će njihovo nevjerovanje kod Gospodara njihova samo povećati odvratnost, i nevjernicima će njihovo nevjerovanje povećati propast.
040_00	Reci: "Kažite vi meni koji su dio Zemlje stvorila božanstva vaša kojima se, umjesto Allahu, klanjate,
040_01	i recite mi imaju li oni u stvaranju nebesa ikakva udjela, ili smo mnogobošcima Mi dali Knjigu, pa imaju u njoj dokaz za to?" Nijedno, već nevjernici jedni druge obmanjuju.
041_00	Allah brani da se ravnoteža nebesa i Zemlje poremeti. A da se poremete, niko ih drugi osim Njega ne bi zadržao; On je zaista blag i prašta grijehe.
042_00	Oni su se zaklinjali Allahom, najtežom zakletvom, da će se, bolje nego bilo koji narod, držati Pravoga puta – samo ako im dođe onaj koji će ih opominjati. I kad im je došao onaj koji opominje, njegov dolazak im je samo povećao otuđenje:
043_00	oholost na Zemlji i ružno spletkarenje – a spletke će pogoditi upravo one koji se njima služe.
043_01	Zar oni mogu očekivati nešto drugo već ono što je zadesilo narode drevne? U Allahovim zakonima ti nikad nećeš naći promjene, u Allahovim zakonima ti nećeš naći odstupanja.
044_00	Zašto oni ne putuju po svijetu da vide kako su završili oni prije njih, koji su bili jači od njih?
044_01	– Allahu ne može ništa umaći ni na nebesima ni na Zemlji; On, uistinu, sve zna i sve može.
045_00	Da Allah kažnjava ljude prema onome što zasluže, ništa živo na površini Zemljinoj ne bi ostavio; ali, On ih ostavlja do roka određenog,
045_01	i kad im rok dođe – pa Allah dobro zna robove Svoje.
