001_00	Kada se nebo rascijepi
002_00	i posluša Gospodara svoga – a ono će to dužno biti –
003_00	i kada se Zemlja rastegne,
004_00	i izbaci ono što je u njoj, i potpuno se isprazni,
005_00	i posluša Gospodara svoga – a ona će to dužna biti –
006_00	ti ćeš, o čovječe, koji se mnogo trudiš, trud svoj pred Gospodarom svojim naći:
007_00	onaj kome bude knjiga njegova u desnu ruku njegovu data
008_00	lahko će račun položiti
009_00	i svojima će se radostan vratiti;
010_00	a onaj kome bude knjiga njegova iza leđa njegovih data
011_00	propast će prizivati
012_00	i u ognju će gorjeti,
013_00	jer je sa čeljadi svojom radostan bio
014_00	i mislio da se nikada neće vratiti –
015_00	a hoće! Gospodar njegov o njemu, zaista, sve zna!
016_00	I kunem se rumenilom večernjim,
017_00	i noći, i onim što ona tamom obavije,
018_00	i Mjesecom punim,
019_00	vi ćete, sigurno, na sve teže i teže prilike nailaziti!
020_00	Pa šta im je, zašto neće da vjeruju,
021_00	i zašto, kada im se Kur'an čita, na tle licem ne padaju?!
022_00	već, nevjernici, poriču,
023_00	a Allah dobro zna šta oni u sebi kriju,
024_00	zato im navijesti patnju neizdržljivu!
025_00	Ali one koji budu vjerovali i dobra djela činili nagrada neprekidna će čekati.
