001_00	Kaf-Ha-Ya-'Ayn-Sad.
002_00	(Diese Verse sind) zum Gedenken an die Barmherzigkeit deines Herrn zu Seinem Diener Zakariyya.
003_00	Als er zu seinem Herrn im Verborgenen rief
004_00	(und) sagte: "Mein Herr, schwach sind mir die Knochen geworden, und in Altersgrauheit entfacht ist der Kopf. Und ich war im Bittgebet zu Dir, mein Herr, (noch) nie unglücklich.
005_00	Gewiß, ich fürchte die Verwandten nach mir, und meine Frau ist unfruchtbar. So schenke mir von Dir aus einen nahen Verwandten,
006_00	der mich beerbt und von der Sippe Ya'qubs erbt, und mach ihn, mein Herr, (Dir) wohlgefällig."
007_00	"O Zakariyya, Wir verkünden dir einen Jungen, dessen Name Yahya ist, wie Wir zuvor noch niemandem Kennzeichen gleich den seinen gegeben haben."
008_00	Er sagte: "Mein Herr, wie soll ich einen Jungen haben, wo meine Frau unfruchtbar ist und ich vom hohen Alter bereits einen Dürrezustand erreicht habe?"
009_00	Er sagte: "So wird es sein. Dein Herr sagt: ,Das ist Mir ein leichtes; und auch dich habe Ich ja zuvor erschaffen, als du noch nichts warst'."
010_00	Er sagte: "Mein Herr, setze mir ein Zeichen." Er sagte: "Dein Zeichen ist, daß du drei Nächte lang, obwohl gesund, nicht zu den Menschen sprechen wirst."
011_00	So kam er zu seinem Volk aus dem Gebetsraum heraus und gab ihnen dann zu verstehen: "Preist morgens und abends."
012_00	"O Yahya, nimm die Schrift mit (aller) Kraft." Und Wir gaben ihm schon als Kind die Urteilskraft
013_00	und Mitgefühl von Uns aus und Lauterkeit. Er war gottesfürchtig
014_00	und gütig gegen seine Eltern, und er war weder gewalttätig noch widerspenstig.
015_00	Und Friede sei auf ihm am Tag, da er geboren wurde, und am Tag, da er stirbt, und am Tag, da er wieder zum Leben auferweckt wird.
016_00	Und gedenke im Buch Maryams, als sie sich von ihren Angehörigen an einen östlichen Ort zurückzog.
017_00	Sie nahm sich einen Vorhang vor ihnen. Da sandten Wir Unseren Geist zu ihr. Er stellte sich ihr als wohlgestaltetes menschliches Wesen dar.
018_00	Sie sagte: "Ich suche beim Allerbarmer Schutz vor dir, wenn du gottesfürchtig bist."
019_00	Er sagte: "Ich bin nur der Gesandte deines Herrn, um dir einen lauteren Jungen zu schenken."
020_00	Sie sagte: "Wie soll mir ein Junge gegeben werden, wo mich doch kein menschliches Wesen berührt hat und ich keine Hure bin."
021_00	Er sagte: "So wird es sein. Dein Herr sagt: ,Das ist Mir ein leichtes, und damit Wir ihn zu einem Zeichen für die Menschen und zu einer Barmherzigkeit von Uns machen'. Und es ist eine beschlossene Angelegenheit."
022_00	So empfing sie ihn und zog sich mit ihm zu einem fernen Ort zurück.
023_00	Die Wehen ließen sie zum Palmenstamm gehen. Sie sagte: "O wäre ich doch zuvor gestorben und ganz und gar in Vergessenheit geraten!"
024_00	Da rief er ihr von unten her zu: "Sei nicht traurig; dein Herr hat ja unter dir ein Bächlein geschaffen.
025_00	Und schüttle zu dir den Palmenstamm, so läßt er frische, reife Datteln auf dich herabfallen.
026_00	So iß und trink und sei frohen Mutes'. Und wenn du nun jemanden von den Menschen sehen solltest, dann sag: Ich habe dem Allerbarmer Fasten gelobt, so werde ich heute mit keinem Menschenwesen sprechen."
027_00	Dann kam sie mit ihm zu ihrem Volk, ihn (mit sich) tragend. Sie sagten: "O Maryam, du hast da ja etwas Unerhörtes begangen.
028_00	O Schwester Haruns, dein Vater war doch kein sündiger Mann, noch war deine Mutter eine Hure."
029_00	Da zeigte sie auf ihn. Sie sagten: "Wie können wir mit jemandem sprechen, der noch ein Kind in der Wiege ist?"
030_00	Er sagte: "Ich bin wahrlich Allahs Diener; Er hat mir die Schrift gegeben und mich zu einem Propheten gemacht.
031_00	Und gesegnet hat Er mich gemacht, wo immer ich bin, und angeordnet hat Er mir, das Gebet (zu verrichten) und die Abgabe (zu entrichten), solange ich lebe,
032_00	und gütig gegen meine Mutter zu sein. Und Er hat mich weder gewalttätig noch unglücklich gemacht.
033_00	Und der Friede sei auf mir am Tag, da ich geboren wurde, und am Tag, da ich sterbe, und am Tag da ich wieder zum Leben auferweckt werde."
034_00	Das ist 'Isa, der Sohn Maryams: (Es ist) das Wort der Wahrheit, woran sie zweifeln.
035_00	Es steht Allah nicht an, Sich ein Kind zu nehmen. Preis sei Ihm! Wenn Er eine Angelegenheit bestimmt, so sagt Er dazu nur: ,Sei!', und so ist es.
036_00	('Isa sagte:) "Und gewiß, Allah ist mein Herr und euer Herr; so dient Ihm. Das ist ein gerader Weg."
037_00	Doch die Gruppierungen wurden uneinig untereinander; dann wehe denjenigen, die ungläubig sind, vor dem Erleben eines gewaltigen Tages!
038_00	Wie vorzüglich werden sie hören und sehen am Tag, da sie zu Uns kommen werden! Aber die Ungerechten befinden sich heute in einem deutlichen Irrtum.
039_00	Warne sie vor dem Tag der gramvollen Reue, wenn die Angelegenheit entschieden sein wird, während sie (all dessen) unachtsam sind, und während sie (noch) nicht glauben.
040_00	Gewiß, Wir sind es, die Wir die Erde und (all die,) die auf ihr sind, erben werden. Und zu Uns werden sie zurückgebracht.
041_00	Und gedenke im Buch Ibrahims. Er war ein Wahrhaftiger und Prophet.
042_00	Als er zu seinem Vater sagte: "O mein lieber Vater, warum dienst du dem, was nicht hört und nicht sieht und dir nichts nützt?
043_00	O mein lieber Vater, gewiß, zu mir ist vom Wissen gekommen, was nicht zu dir gekommen ist. So folge mir, dann leite ich dich einen ebenen Weg.
044_00	O mein lieber Vater, diene nicht dem Satan. Gewiß, der Satan ist gegen den Allerbarmer widerspenstig.
045_00	O mein lieber Vater, ich fürchte, daß dir Strafe vom Allerbarmer widerfährt, so daß du zu einem Gefolgsmann des Satans wirst."
046_00	Er sagte: "Verschmähst du meine Götter, o Ibrahim? Wenn du nicht aufhörst, werde ich dich ganz gewiß steinigen. Und meide mich eine Zeitlang."
047_00	Er sagte: "Friede sei auf dir! Ich werde meinen Herrn für dich um Vergebung bitten; gewiß, Er ist zu mir sehr entgegenkommend.
048_00	Ich werde mich von euch und von dem, was ihr anstatt Allahs anruft, fernhalten und nur meinen Herrn anrufen. Vielleicht werde ich im Bittgebet zu meinem Herrn nicht unglücklich sein."
049_00	Als er sich nun von ihnen und von dem, dem sie anstatt Allahs dienten, fernhielt, schenkten Wir ihm Ishaq und Ya'qub; und alle (beide) machten Wir zu Propheten.
050_00	Und Wir schenkten ihnen (etwas) von Unserer Barmherzigkeit, und Wir verliehen ihnen einen hohen Ruf an Wahrhaftigkeit.
051_00	Und gedenke im Buch Musas. Gewiß, er war auserlesen, und er war ein Gesandter und Prophet.
052_00	Wir riefen ihn von der rechten Seite des Berges und ließen ihn zu vertraulichem Gespräch näherkommen.
053_00	Und Wir schenkten ihm aus Unserer Barmherzigkeit seinen Bruder Harun als Propheten.
054_00	Und gedenke im Buch Isma'ils. Gewiß, er war wahrhaftig in seinem Versprechen, und er war ein Gesandter und Prophet.
055_00	Und er pflegte seinen Angehörigen das Gebet und die Abgabe zu befehlen, und er war seinem Herrn wohlgefällig.
056_00	Und gedenke im Buch Idris'. Er war ein Wahrhaftiger und Prophet.
057_00	Und Wir hoben ihn zu einem hohen Ort empor.
058_00	Das sind diejenigen, denen Allah Gunst erwiesen hat, unter den Propheten aus der Nachkommenschaft Adams und von denjenigen, die Wir mit Nuh trugen, und aus der Nachkommenschaft Ibrahims und Isra'ils, und von denjenigen, die Wir rechtgeleitet und erwählt haben.
058_01	Als ihnen die Zeichen des Allerbarmers verlesen wurden, fielen sie ehrerbietig und weinend nieder.
059_00	Dann folgten nach ihnen Nachfolger, die das Gebet vernachlässigten und den Begierden folgten. So werden sie (den Lohn für ihre) Verirrung vorfinden,
060_00	außer demjenigen, der bereut und glaubt und rechtschaffen handelt. Jene werden in den (Paradies)garten eingehen und ihnen wird in nichts Unrecht zugefügt
061_00	in die Gärten Edens, die der Allerbarmer Seinen Dienern im Verborgenen versprochen hat. Sein Versprechen wird bestimmt erfüllt.
062_00	Sie hören darin keine unbedachte Rede, sondern nur: "Frieden!" Und sie haben darin ihre Versorgung morgens und abends.
063_00	Das ist der (Paradies)garten, den Wir denjenigen von Unseren Dienern zum Erbe geben, die gottesfürchtig sind.
064_00	(Und die Engel sagen:) "Wir kommen nur auf Befehl deines Herrn herab. Ihm gehört (alles), was vor uns und was hinter uns und was dazwischen ist; und dein Herr ist gewiß nicht vergeßlich,'
065_00	(Er), der Herr der Himmel und der Erde und dessen, was dazwischen ist. So diene Ihm und sei beharrlich in Seinem Dienst. Weißt du (etwa) einen, der Kennzeichen gleich den Seinen besäße?1"
066_00	Der Mensch sagt: "Werde ich, wenn ich erst einmal gestorben bin, wirklich wieder lebendig hervorgebracht werden?"
067_00	Gedenkt der Mensch denn nicht, daß Wir ihn zuvor erschaffen haben, da er (noch) nichts war?
068_00	Bei deinem Herrn, Wir werden sie ganz gewiß versammeln, (sie) und die Satane. Hierauf werden Wir sie ganz gewiß rings um die Hölle herum auf den Knien herbeibringen.
