001_00	Ta-Sin-Mim.
002_00	Dies sind die Zeichen des deutlichen Buches.
003_00	Vielleicht magst du dich noch selbst umbringen aus Gram (darüber), daß sie nicht gläubig sind.
004_00	Wenn Wir woll(t)en, könn(t)en Wir vom Himmel ein Zeichen auf sie hinabsenden, so daß sich ihre Nacken dauernd davor unterwerfen (würden).
005_00	Keine neuerlich offenbarte Ermahnung kommt zu ihnen vom Allerbarmer, ohne daß sie sich davon abwenden.
006_00	Sie haben (sie) ja für Lüge erklärt. So werden zu ihnen die Nachrichten kommen von dem, worüber sie sich lustig zu machen pflegten.
007_00	Haben sie nicht auf die Erde gesehen, wie viele edle Arten Wir auf ihr haben wachsen lassen?
008_00	Darin ist wahrlich ein Zeichen, doch sind die meisten von ihnen nicht gläubig.
009_00	Und dein Herr ist fürwahr der Allmächtige und Barmherzige.
010_00	Als dein Herr Musa zurief: "Begib dich zum ungerechten Volk,
011_00	zum Volk Fir'auns, ob sie nicht gottesfürchtig sein wollen."
012_00	Er sagte: "Mein Herr, ich fürchte, daß sie mich der Lüge bezichtigen.
013_00	Auch ist meine Brust beklommen, und meine Zunge ist nicht gelöst. Darum entsende (auch) Harun.
014_00	Und sie haben gegen mich eine Sünde geltend zu machen; so fürchte ich, daß sie mich töten."
015_00	Er sagte: "Keineswegs! So geht denn beide hin mit Unseren Zeichen. Wir sind mit euch und hören zu.
016_00	Begebt euch zu Fir'aun und sagt: ,Wir sind der Gesandte des Herrn der Weltenbewohner:
017_00	Lasse die Kinder Isra'ils mit uns gehen'."
018_00	Er (Fir'aun) sagte: "Haben wir dich nicht als kleines Kind unter uns aufgezogen, und hast du dich nicht (viele) Jahre deines Lebens unter uns aufgehalten?
019_00	Und du hast deine Tat, die du (damals) getan hast, verübt und gehörst zu den Undankbaren."
020_00	Er sagte: "Ich habe sie da(mals) verübt, als ich (noch) zu den Irregehenden gehörte.
021_00	Und so floh ich vor euch, als ich Angst vor euch bekommen hatte. (Doch) dann schenkte mir mein Herr Urteil(skraft) und machte mich zu einem der Gesandten.
022_00	Ist das (etwa) eine Gunst, die du mir vorhältst, daß du die Kinder lsra'ils geknechtet hast?"
023_00	Fir'aun sagte: "Was ist denn der Herr der Weltenbewohner?"
024_00	Er (Musa) sagte: "Der Herr der Himmel und der Erde und dessen, was dazwischen ist, wenn ihr überzeugt seid."
025_00	Er (Fir'aun) sagte zu denjenigen in seiner Umgebung: "Hört ihr nicht zu?"
026_00	Er (Musa) sagte: "(Er ist) euer Herr und der Herr eurer Vorväter."
027_00	Er (Fir'aun) sagte: "Euer Gesandter, der zu euch gesandt wurde, ist fürwahr besessen."
028_00	Er (Musa) sagte: "(Er ist) der Herr des Ostens und des Westens und dessen, was dazwischen ist, wenn ihr (nur) begreifen würdet."
029_00	Er (Fir'aun) sagte: "Wenn du dir einen anderen Gott als mich nimmst, werde ich dich ganz gewiß zu einem der Gefangenen machen."
030_00	Er (Musa) sagte: " Etwa auch, wenn ich dir etwas Deutliches bringe?"
031_00	Er (Fir'aun) sagte: "Dann bringe es her, wenn du zu den Wahrhaftigen gehörst."
032_00	Da warf er seinen Stock hin, und sogleich war er eine deutliche Schlange.
033_00	Und er zog seine Hand heraus, da war sie weiß für die Betrachter.
034_00	Er (Fir'aun) sagte zu der führenden Schar in seiner Umgebung: "Dieser ist fürwahr ein kenntnisreicher Zauberer,
035_00	der euch mit seiner Zauberei aus eurem Land vertreiben will. Was befehlt ihr nun?"
036_00	Sie sagten: "Stelle ihn und seinen Bruder zurück und schicke in die Städte (Boten), die (die Leute) versammeln,
037_00	damit sie dir jeden kenntnisreichen Zauberer herbringen."
038_00	So wurden die Zauberer auf die festgesetzte Zeit eines (wohl)bekannten Tages versammelt.
039_00	Und es wurde zu den Menschen gesagt: "Werdet (auch) ihr euch nun wohl versammeln?
040_00	Vielleicht werden wir den Zauberern folgen, wenn sie es sind, die siegen."
041_00	Als die Zauberer kamen, sagten sie zu Fir'aun: "Wir bekommen doch sicher einen Lohn, wenn wir es sind, die siegen?"
042_00	Er sagte: "Ja. Und ihr werdet dann also fürwahr zu den Nahegestellten gehören."
043_00	Musa sagte zu ihnen: "Werft hin, was ihr zu werfen habt!"
044_00	Da warfen sie ihre Stricke und Stöcke hin und sagten: "Bei der Macht Fir'auns, wir werden ganz gewiß Sieger sein."
045_00	So warf Musa seinen Stock hin, und da verschlang er sogleich, was sie vortäuschten.
046_00	Da warfen sich die Zauberer ehrerbietig nieder.
047_00	Sie sagten: "Wir glauben an den Herrn der Weltenbewohner,
048_00	den Herrn von Musa und Harun."
049_00	Er (Fir'aun) sagte: "Ihr glaubt ihm, bevor ich es euch erlaube? Er ist wahrlich euer Ältester, der euch die Zauberei gelehrt hat.
049_01	Ihr werdet (es) wahrlich erfahren. Ganz gewiß werde ich eure Hände und eure Füße wechselseitig abhacken und euch al lesamt ganz gewiß kreuzigen (lassen)."
050_00	Sie sagten: "Kein Schaden! Wir werden ganz gewiß zu unserem Herrn zurückkehren.
051_00	Wir erhoffen ja, daß unser Herr uns unsere Verfehlungen vergebe dafür, daß wir die ersten (der) Gläubigen sind."
052_00	Und Wir gaben Musa (als Offenbarung) ein: "Zieh bei Nacht mit Meinen Dienern fort; ihr werdet ja verfolgt werden."
053_00	Da sandte Fir'aun in die Städte (Boten), die (die Leute) versammelten:
054_00	"Diese sind fürwahr (nur) eine kleine Schar;
055_00	dennoch lassen sie uns fürwahr ergrimmen.
056_00	Aber wir sind alle wahrlich auf der Hut."
057_00	So ließen Wir sie fortziehen von Gärten und Quellen,
058_00	von Schätzen und von trefflicher Stätte.
059_00	So war es. Und Wir gaben sie den Kindern lsra'ils zum Erbe.
060_00	Dann folgten sie ihnen bei Sonnenaufgang.
061_00	Als die beiden Heere einander sahen, sagten die Gefährten Musas: "Wir werden fürwahr eingeholt."
062_00	Er sagte: "Keineswegs! Denn mit mir ist mein Herr; Er wird mich leiten."
063_00	Da gaben Wir Musa ein: "Schlag mit deinem Stock auf das Meer."
064_00	Und Wir ließen die anderen dort nahe herankommen.
065_00	Und Wir retteten Musa und diejenigen, die mit ihm waren, allesamt.
066_00	Hierauf ließen Wir die anderen ertrinken.
067_00	Darin ist wahrlich ein Zeichen, doch die meisten von ihnen sind nicht gläubig.
068_00	Und dein Herr ist fürwahr der Allmächtige und Barmherzige.
069_00	Und verlies ihnen die Kunde von Ibrahim.
070_00	Als er zu seinem Vater und seinem Volk sagte: "Wem dient ihr?"
071_00	Sie sagten: "Wir dienen Götzen, und so geben wir uns dauernd ihrer Andacht hin."
072_00	Er sagte: "Hören sie euch, wenn ihr sie anruft?
073_00	Oder nützen sie euch, oder schaden?"
074_00	Sie sagten: "Nein! Vielmehr fanden wir (bereits) unsere Väter desgleichen tun."
075_00	Er sagte: "Was meint ihr wohl zu dem, was ihr zu verehren pflegt,
076_00	ihr und eure Vorväter?
077_00	Gewiß, sie sind mir (alle) Feinde, außer dem Herrn der Weltenbewohner,
078_00	Der mich erschaffen hat und mich (nun) rechtleitet,
079_00	und Der mir zu essen und zu trinken gibt
080_00	und Der, wenn ich krank bin, mich heilt,
081_00	und Der mich sterben läßt und hierauf wieder lebendig macht,
082_00	und von Dem ich erhoffe, daß Er mir am Tag des Gerichts meine Verfehlung vergeben wird.
083_00	Mein Herr, schenke mir Urteil(skraft), und nimm mich unter die Rechtschaffenen auf
084_00	Und verleihe mir einen Ruf an Wahrhaftigkeit unter den späteren (Geschlechtern).
085_00	Und mach mich zu einem (der) Erben des Gartens der Wonne.
086_00	Und vergib meinem Vater, denn er gehört zu den Irregehenden.
087_00	Und stürze mich nicht in Schande am Tag, da sie auferweckt werden,
088_00	an dem Tag, da weder Besitz noch Söhne (jemandem) nützen,
089_00	außer, wer zu Allah mit heilem Herzen kommt."
090_00	Und der (Paradies)garten wird an die Gottesfürchtigen nahe herangebracht.
091_00	Und zum Erscheinen gebracht wird der Höllenbrand den Verirrten.
092_00	Und es wird zu ihnen gesagt: "Wo ist denn das, dem ihr zu dienen pflegtet
093_00	anstatt Allahs? Können sie euch helfen oder sich selbst helfen?"
094_00	Dann werden sie kopfüber hineingestürzt, sie und die Verirrten,
095_00	und die Heerscharen Iblis allesamt.
096_00	Sie sagen, während sie darin miteinander streiten:
097_00	"Bei Allah, wir befanden uns wahrlich in deutlichem Irrtum,
098_00	als wir euch dem Herrn der Weltenbewohner gleichsetzten.
099_00	Es waren nur die Übeltäter, die uns in die Irre geführt haben.
100_00	So haben wir nun niemanden, der Fürsprache einlegt,
101_00	und auch keinen warmherzigen Freund.
102_00	Hätten wir doch eine (Möglichkeit zur) Wiederholung, damit wir zu den Gläubigen gehörten!"
103_00	Darin ist wahrlich ein Zeichen, doch sind die meisten von ihnen nicht gläubig.
104_00	Und dein Herr ist fürwahr der Allmächtige und Barmherzige.
105_00	Das Volk Nuhs bezichtigte die Gesandten der Lüge.
106_00	Als ihr Bruder Nuh zu ihnen sagte: "Wollt ihr nicht gottesfürchtig sein?
107_00	Gewiß, ich bin für euch ein vertrauenswürdiger Gesandter.
108_00	So furchtet Allah und gehorcht mir.
109_00	Ich verlange von euch keinen Lohn dafür. Mein Lohn obliegt nur dem Herrn der Weltenbewohner.
110_00	So fürchtet Allah und gehorcht mir."
111_00	Sie sagten: "Sollen wir dir glauben, wo dir (nur) die Niedrigsten folgen?"
112_00	Er sagte: "Welches Wissen sollte ich darüber haben, was sie zu tun pflegten?
113_00	Ihre Abrechnung obliegt nur meinem Herrn, wenn ihr nur merken würdet!
114_00	Und ich werde die Gläubigen nicht abweisen.
115_00	Ich bin nur ein deutlicher Warner."
116_00	Sie sagten: "Wenn du nicht aufhörst, o Nuh, wirst du ganz gewiß zu den Gesteinigten gehören."
117_00	Er sagte: "Mein Herr, gewiß mein Volk hat mich der Lüge bezichtigt.
118_00	So triff zwischen mir und ihnen eine klare Entscheidung und errette mich und wer von den Gläubigen mit mir ist."
119_00	Da retteten Wir ihn und wer mit ihm war im vollbeladenen Schiff.
120_00	Hierauf ließen Wir alsdann die übrigen ertrinken.
121_00	Darin ist wahrlich ein Zeichen, doch sind die meisten von ihnen nicht gläubig.
122_00	Und dein Herr ist fürwahr der Allmächtige und Barmherzige.
123_00	Die 'Ad bezichtigten die Gesandten der Lüge.
124_00	Als ihr Bruder Hud zu ihnen sagte: "Wollt ihr nicht gottesfürchtig sein?
125_00	Gewiß, ich bin für euch ein vertrauenswürdiger Gesandter.
126_00	So fürchtet Allah und gehorcht mir.
127_00	Ich verlange von euch keinen Lohn dafür. Mein Lohn obliegt nur dem Herrn der Weltenbewohner.
128_00	Baut ihr denn auf jeder Anhöhe ein Wahrzeichen und treibt ein sinnloses Spiel
129_00	und nehmt euch Bauwerke (in der Hoffnung), auf daß ihr ewig leben würdet?
130_00	Und, wenn ihr zupackt, packt ihr gewalttätig zu.
131_00	So fürchtet Allah und gehorcht mir.
132_00	Und fürchtet Denjenigen, Der euch unterstützt hat mit dem, was ihr wißt,
133_00	(Der) euch unterstützt hat mit Vieh und Söhnen
134_00	und Gärten und Quellen.
135_00	Gewiß, ich fürchte für euch die Strafe eines gewaltigen Tages."
136_00	Sie sagten: "Gleich ist es in Bezug auf uns, ob du ermahnst oder ob du nicht zu denjenigen gehörst, die ermahnen.
137_00	Das hier ist nur die Sitte der Früheren.
138_00	Und wir werden nicht gestraft werden."
139_00	So bezichtigten sie ihn der Lüge, und da vernichteten Wir sie. Darin ist wahrlich ein Zeichen, doch sind die meisten von ihnen nicht gläubig.
140_00	Und dein Herr ist fürwahr der Allmächtige und Barmherzige.
141_00	Die Tamud bezichtigten die Gesandten der Lüge.
142_00	Als ihr Bruder Salih zu ihnen sagte: "Wollt ihr nicht gottesfürchtig sein?
143_00	Gewiß, ich bin für euch ein vertrauenswürdiger Gesandter.
144_00	So fürchtet Allah und gehorcht mir.
145_00	Ich verlange von euch keinen Lohn dafür. Mein Lohn obliegt nur dem Herrn der Weltenbewohner.
146_00	Werdet ihr etwa in Sicherheit belassen in dem, was hier ist,
147_00	in Gärten und an Quellen,
148_00	in Getreidefeldern und unter Palmen, deren Blütenscheiden zart sind?
149_00	Und werdet ihr (weiter) voller Stolz aus den Bergen Häuser aushauen?
150_00	So fürchtet Allah und gehorcht mir.
151_00	Und gehorcht nicht dem Befehl der Maßlosen,
152_00	die auf der Erde Unheil stiften und keine Besserung bringen."
153_00	Sie sagten: "Du gehörst ja nur zu denjenigen, die einem Zauber verfallen sind.
154_00	Du bist nur ein menschliches Wesen wie wir. So bringe doch ein Zeichen her, wenn du zu den Wahrhaftigen gehörst."
155_00	Er sagte: "Dies ist eine Kamelstute; sie hat eine Trinkzeit, und ihr habt eine Trinkzeit' an einem bestimmten Tag.
156_00	Fügt ihr nichts Böses zu, sonst überkommt euch die Strafe eines gewaltigen Tages."
157_00	Aber sie schnitten ihr die Sehnen durch . So wurden sie zu Leuten, die Reue empfinden.
158_00	Da ergriff sie die Strafe. Darin ist wahrlich ein Zeichen, doch sind die meisten von ihnen nicht gläubig.
159_00	Und dein Herr ist fürwahr der Allmächtige und Barmherzige.
160_00	Das Volk Luts bezichtigte die Gesandten der Lüge.
161_00	Als ihr Bruder Lut zu ihnen sagte: "Wollt ihr nicht gottesfürchtig sein?
162_00	Gewiß, ich bin für euch ein vertrauenswürdiger Gesandter.
163_00	So fürchtet Allah und gehorcht mir.
164_00	Ich verlange von euch keinen Lohn dafür. Mein Lohn obliegt nur dem Herrn der Weltenbewohner'.
165_00	Laßt ihr euch etwa mit Männern unter den Weltenbewohnern ein
166_00	und laßt, was euer Herr für euch an Gattinnen erschaffen hat, stehen? Aber nein! Ihr seid Leute, die Übertretungen begehen."
167_00	Sie sagten: "Wenn du nicht aufhörst, o Lut, wirst du ganz gewiß zu den Vertriebenen gehören."
168_00	Er sagte: "Ich gehöre gewiß zu denjenigen, die euer Tun verabscheuen.
169_00	Mein Herr, errette mich und meine Angehörigen von dem, was sie tun."
170_00	Da erretteten Wir ihn und seine Angehörigen allesamt,
171_00	außer einer alten Frau unter denjenigen, die zurückblieben.
172_00	Hierauf vernichteten Wir die anderen.
173_00	Und Wir ließen einen Regen auf sie niedergehen; wie böse war der Regen für diejenigen, die gewarnt worden waren!
174_00	Darin ist wahrlich ein Zeichen, doch sind die meisten von ihnen nicht gläubig.
175_00	Und dein Herr ist fürwahr der Allmächtige und Barmherzige.
176_00	Die Bewohner des Dickichts bezichtigte die Gesandten der Lüge.
177_00	Als Su'aib zu ihnen sagte: "Wollt ihr nicht gottesfürchtig sein?
178_00	Gewiß, ich bin für euch ein vertrauenswürdiger Gesandter.
179_00	So fürchtet Allah und gehorcht mir.
180_00	Ich verlange von euch keinen Lohn dafür. Mein Lohn obliegt nur dem Herrn der Weltenbewohner.
181_00	Gebt volles Maß und gehört nicht zu denjenigen, die (anderen) Verlust verursachen.
182_00	Und wägt mit der richtigen Waage.
183_00	Und schmälert den Menschen nicht ihre Sachen und richtet auf der Erde nicht unheilstiftend Verderben an.
184_00	Und furchtet Denjenigen, Der euch und die früheren Geschöpfe erschaffen hat."
185_00	Sie sagten: "Du gehörst ja nur zu denjenigen, die einem starken Zauber verfallen sind.
186_00	Du bist nur ein menschliches Wesen wie wir. Wir meinen wahrlich, daß du zu den Lügnern gehörst.
187_00	Lasse doch Stücke vom Himmel auf uns herabfallen, wenn du zu den Wahrhaftigen gehörst."
