001_00	(Dies ist) die Offenbarung des Buches von Allah, dem Allmächtigen und Allweisen.
002_00	Wir haben das Buch mit der Wahrheit zu dir hinabgesandt. So diene Allah und sei Ihm gegenüber aufrichtig in der Religion.
003_00	Sicherlich, Allah gehört die aufrichtige Religion.
003_01	Diejenigen aber, die sich anstatt Seiner Schutzherren nehmen (, sagen:) "Wir dienen ihnen nur, damit sie uns Zutritt in Allahs Nähe verschaffen" -, gewiß, Allah wird zwischen ihnen richten über das, worüber sie uneinig sind.
003_02	Gewiß, Allah leitet nicht recht, wer ein Lügner und be harrlicher Ungläubiger ist.
004_00	Wenn Allah sich hätte Kinder nehmen wollen, hätte Er wahrlich aus dem, was Er erschaffen hat, sich auserwählt, was Er will. Preis sei Ihm! Er ist Allah, der Eine, der Allbezwinger.
005_00	Er hat die Himmel und die Erde in Wahrheit erschaffen. Er läßt die Nacht den Tag umschlingen, und Er läßt den Tag die Nacht umschlingen. Und Er hat die Sonne und den Mond dienstbar gemacht - ein jedes läuft auf eine festgesetzte Frist zu.
005_01	Sicherlich, Er ist der Allmächtige und Allvergebende.
006_00	Er schuf euch aus einem einzigen Wesen, hierauf machte Er aus ihm seine Gattin.
006_01	Und Er hat für euch an Vieh acht (Tiere) in Paaren herabgesandt. Er erschafft euch in den Leibern eurer Mütter, eine Schöpfung nach der anderen in dreifacher Finsternis.
006_02	Dies ist doch Allah, euer Herr. Ihm gehört die Herrschaft. Es gibt keinen Gott außer Ihm. Wie laßt ihr euch also abwenden?
007_00	Wenn ihr ungläubig seid, so ist Allah eurer unbedürftig, obgleich Er mit dem Unglauben für Seine Diener nicht zufrieden ist. Wenn ihr aber dankbar seid, ist Er damit zufrieden für euch.
007_01	Und keine lasttragende (Seele) nimmt die Last einer anderen auf sich. Hierauf wird eure Rückkehr zu eurem Herrn sein. Dann wird Er euch kundtun, was ihr zu tun pflegtet. Gewiß, Er weiß über das Innerste der Brüste Bescheid.
008_00	Und wenn dem Menschen Unheil widerfährt, ruft er seinen Herrn an, indem er sich Ihm reuig zuwendet.
008_01	Wenn Er ihm hierauf Gunst von Sich gewährt, vergißt er, worum er zuvor angerufen hat, und er stellt Allah andere als Seinesgleichen zur Seite, um (die Menschen) von Seinem Weg ab in die Irre zu führen. Sag: Genieße deinen Unglauben ein wenig; du gehörst ja zu den Insassen des (Höllen)feuers.
009_00	Ist etwa einer, der sich zu (verschiedenen) Stunden der Nacht in demütiger Andacht befindet, (ob er) sich niederwirft oder aufrecht steht, der sich vor dem Jenseits vorsieht und auf seines Herrn Barmherzigkeit hofft ...? - Sag: Sind etwa dieje nigen, die wissen, und diejenigen, die nicht wissen, gleich?
009_01	Doch bedenken nur diejenigen, die Verstand besitzen.
010_00	Sag: O meine Diener, die ihr gläubig seid, fürchtet euren Herrn. Für diejenigen, die Gutes tun, gibt es hier im Diesseits Gutes. Und Allahs Erde ist weit.
010_01	Gewiß, den Standhaften wird ihr Lohn ohne Berechnung in vollem Maß zukommen.
011_00	Sag: Mir ist befohlen worden, Allah zu dienen und dabei Ihm gegenüber aufrichtig in der Religion zu sein.
012_00	Und mir ist befohlen worden, der erste der (Ihm) Ergebenen zu sein.
013_00	Sag: Gewiß, ich fürchte, wenn ich mich meinem Herrn widersetze, die Strafe eines gewaltigen Tages.
014_00	Sag: Allah (allein) diene ich und bin dabei Ihm gegenüber aufrichtig in meiner Religion.
015_00	So dient nun, wem ihr wollt, anstatt Seiner. Sag: Die (wahren) Verlierer sind diejenigen, die am Tag der Auferstehung sich selbst und ihre Angehörigen verlieren. Sicherlich, das ist der deutliche Verlust.
