001_00	Qaf. Bei dem ruhmvollen Qur'an!
002_00	Aber nein! Sie wundern sich darüber, daß ein Überbringer von Warnungen von ihnen selbst zu ihnen gekommen ist. Da sagen die Ungläubigen: "Das ist eine verwunderliche Sache.
003_00	Wenn wir gestorben und zu Erde geworden sind ... (, sollten wir dann wirklich wieder auferstehen)? Das ist doch eine weitentfernte Rückkehr."
004_00	Wir wissen bestimmt, was die Erde von ihnen verringert. Und bei Uns ist ein Buch, das alles bewahrt.
005_00	Aber nein! Sie haben die Wahrheit für Lüge erklärt, als sie zu ihnen gekommen ist, und so befinden sie sich (stets) in Unbeständigkeit.
006_00	Schauen sie denn nicht zum Himmel über ihnen, wie Wir ihn aufgebaut und geschmückt haben, und daß er keine Spalten hat?
007_00	Und die Erde haben Wir gedehnt und darauf festgegründete Berge gesetzt, und Wir haben auf ihr von jeder entzückenden (Pflanzen)art wachsen lassen,
008_00	zur Einsicht und Ermahnung für jeden reuigen Diener.
009_00	Und Wir lassen vom Himmel gesegnetes Wasser herabkommen, womit Wir dann Gärten und Korn, das man erntet, wachsen lassen,
010_00	und Palmen, hochreichend und mit übereinander gereihten Blütenkolben,
011_00	als Versorgung für die Diener. Und Wir machen damit (manch) totes Land wieder lebendig; so wird auch das Herauskommen (erfolgen).
012_00	Der Lüge bezichtigten vor ihnen das Volk Nuhs und die Leute von ar-Rass und die Tamud
013_00	und die 'Ad und Fir'aun und die Brüder Luts
014_00	und die Bewohner des Dickichts und das Volk Tubba's. Alle bezichtigten die Gesandten der Lüge, so ist Meine Androhung unvermeidlich fällig geworden.
015_00	Ermüdeten Wir denn durch die erste Erschaffung? Nein! Vielmehr ist ihnen verdeckt (geblieben), was eine neue Erschaffung betrifft.
016_00	Wir haben ja den Menschen erschaffen und wissen, was (alles ihm) seine Seele einflüstert, und Wir sind ihm doch näher als seine Halsschlagader,
017_00	wo die beiden Empfänger (der Taten) empfangen, zur Rechten und zur Linken sitzend.
018_00	Kein Wort äußert er, ohne daß bei ihm ein Beobachter bereit wäre.
019_00	Und es wird die Trunkenheit des Todes mit der Wahrheit kommen: "Das ist das, wovor du auszuweichen pflegtest."
020_00	Und es wird ins Horn geblasen; das ist der angedrohte Tag.
021_00	Und jede Seele wird kommen und mit ihr ein Treiber und ein Zeuge.
022_00	"Du warst dessen ja unachtsam. Nun haben Wir deine Decke von dir hinweggenommen, so daß dein Blick heute scharf ist."
023_00	Und sein Geselle wird sagen: "Das ist, was bei mir bereit ist."
024_00	- "Werft, ihr beide, in die Hölle jeden beharrlichen, widerspenstigen Ungläubigen,
025_00	Verweigerer des Guten, der Übertretungen begeht und sich in starkem Zweifel befindet,
026_00	der neben Allah einen anderen Gott setzt. So werft ihn in die strenge Strafe."
027_00	Sein Geselle wird sagen: "Unser Herr, ich habe ihn nicht zu einem Übermaß (an Frevel) verleitet, sondern er (selbst) befand sich in tiefem Irrtum."
028_00	Er (Allah) wird sagen: "Streitet nicht miteinander vor Mir, wo Ich euch doch die Androhung vorausgeschickt habe.
029_00	Das Wort wird bei Mir nicht abgeändert, und Ich bin keiner, der den Dienern Unrecht zufügt."
030_00	Am Tag, da Wir zur Hölle sagen werden: "Bist du voll geworden?", und sie sagt: "Gibt es denn noch mehr?"
031_00	Und nahe herangebracht wird der (Paradies)garten an die Gottesfürchtigen, gar nicht fern:
032_00	"Das ist, was euch versprochen worden ist, (versprochen) für jeden immer wieder Umkehrbereiten und (Allahs Gebote) Hütenden,
033_00	der den Allerbarmer im verborgenen fürchtet und mit reuigem Herzen (zu Ihm) kommt.
034_00	Betretet ihn in Frieden. Das ist der Tag der Ewigkeit."
035_00	Sie werden, was sie wollen, darin haben. Und bei Uns ist noch mehr.
036_00	Wie viele Geschlechter vernichteten Wir vor ihnen, die eine stärkere Gewalt hatten als sie und in den Landstrichen umherzogen! Gibt es denn ein Entrinnen?
037_00	Darin ist wahrlich eine Ermahnung für jemanden, der Herz hat oder hinhört, während er (geistig) anwesend ist.
038_00	Und Wir haben ja die Himmel und die Erde und das, was dazwischen ist, in sechs Tagen erschaffen, wobei Uns keine Ermüdung überkommen hat.
039_00	So ertrage standhaft, was sie sagen, und lobpreise deinen Herrn vor dem Aufgang der Sonne und vor dem Untergang,
040_00	und (in einem Teil) von der Nacht, da preise Ihn, und am Ende der Niederwerfung.
041_00	Und höre zu am Tag, da der Rufer von einem nahen Ort aus ruft,
042_00	am Tag, da sie den Schrei in Wahrheit hören werden; das ist der Tag des Herauskommens.
043_00	Gewiß, Wir sind es, die Wir wieder lebendig machen und sterben lassen, und zu Uns ist der Ausgang.
044_00	- Am Tag, da die Erde, sie freilassend, sich ihnen aufspalten wird und sie eilig (hervorkommen). Das ist für Uns ein leichtes Versammeln.
045_00	Wir wissen sehr wohl, was sie sagen, und du bist nicht als Gewalthaber über sie (eingesetzt). Darum ermahne (nur) mit dem Qur'an (jeden,) wer Meine Androhung fürchtet.
