001_00	Die fällig Werdende,
002_00	was ist die fällig Werdende?
003_00	Und was läßt dich wissen, was die fällig Werdende ist?
004_00	Die Tamud und die 'Ad erklärten das Verhängnis für Lüge.
005_00	Was nun die Tamud angeht, so wurden sie durch den übermäßigen (Donnerschlag) vernichtet.
006_00	Was aber die 'Ad angeht, so wurden sie durch einen heftig wehenden eiskalten Wind vernichtet,
007_00	den Er entscheidende sieben Nächte und acht Tage fortgesetzt gegen sie einsetzte. Da hättest du in ihnen die Leute (auf dem Boden) niedergestreckt sehen können, als wären sie Stämme hohler Palmen.
008_00	Siehst du denn etwas von ihnen (übrig)geblieben?
009_00	Und es begingen Fir'aun und wer vor ihm war und die umgestürzten Städte Vergehen.
010_00	So widersetzten sie sich den Gesandten ihres Herrn. Da ergriff Er sie mit stärker werdendem Griff.
011_00	Gewiß, als das Wasser das Maß überschritt, trugen ja Wir euch auf dem fahrenden (Schiff),
012_00	um es für euch zu einer Erinnerung zu machen, und damit es von einem jeden aufnahmefähigen Ohr aufgenommen wird.
013_00	Wenn ins Horn ein (einziges) Mal geblasen wird
014_00	und Erde und Berge gehoben und dann mit einem einzigen Schlag zu Staub eingeebnet werden,
015_00	an jenem Tag dann trifft (die Stunde) ein, die eintreffen wird,
016_00	und der Himmel spaltet sich, so daß er an jenem Tag brüchig wird,
017_00	und die Engel (befinden sich) an seinen Seiten. Und den Thron deines Herrn werden über ihnen an jenem Tag acht tragen.
018_00	An jenem Tag werdet ihr vorgeführt; nichts von euch wird verborgen bleiben.
019_00	Was nun jemanden angeht, dem dann sein Buch in seine Rechte gegeben wird, der wird sagen: "Ihr da, lest mein Buch.
020_00	Ich glaubte ja, daß ich meiner Abrechnung begegnen werde."
021_00	So wird er in einem zufriedenen Leben sein,
022_00	in einem hohen Garten,
023_00	dessen Pflückobst herabhängt.
024_00	"Eßt und trinkt als wohlbekömmlich für das, was ihr früher in den vergangenen Tagen getan habt."
025_00	Was aber jemanden angeht, dem sein Buch in seine Linke gegeben wird, der wird sagen: "O wäre mir doch mein Buch nicht gegeben worden!
026_00	Und wüßte ich nicht, was meine Abrechnung ist!
027_00	O wäre dies doch nur das Ende (meines Lebens)!
028_00	Nicht nützt mir mein Besitz.
029_00	Vernichtet ist meine Macht(fülle)."
030_00	- "Nehmt ihn und fesselt ihn dann.
031_00	Hierauf setzt ihn dem Höllenbrand aus.
032_00	Hierauf steckt ihn in eine Kette, deren Länge siebzig Ellen ist.
033_00	Er pflegte nämlich nicht an Allah, den Allgewaltigen zu glauben
034_00	und nicht zur Speisung des Armen anzuhalten.
035_00	So hat er hier heute keinen warmherzigen Freund
036_00	und auch keine Speise außer Jauche,
037_00	die nur diejenigen essen, die Verfehlungen begangen haben."
038_00	Nein! Ich schwöre bei dem, was ihr seht,
039_00	und dem, was ihr nicht seht.
040_00	Das sind wahrlich die Worte eines edlen Gesandten,
041_00	das sind nicht die Worte eines Dichters. Wie wenig ihr glaubt!
042_00	Und es sind auch nicht die Worte eines Wahrsagers. Wie wenig ihr bedenkt!
043_00	(Es ist) eine Offenbarung vom Herrn der Weltenbewohner.
044_00	Und wenn er sich gegen Uns einige Aussprüche selbst ausgedacht hätte,
045_00	hätten Wir ihn sicherlich an der Rechten gefaßt
046_00	und ihm hierauf sicherlich die Herzader durchschnitten,
047_00	und niemand von euch hätte (Uns) dann von ihm abhalten können.
048_00	Er ist wahrlich eine Erinnerung für die Gottesfürchtigen.
049_00	Und Wir wissen wahrlich, daß es unter euch Leugner gibt.
050_00	Und er ist wahrlich (ein Grund zum) Gram für die Ungläubigen.
051_00	Und er ist wahrlich die reine Gewißheit.
052_00	Darum preise den Namen deines Allgewaltigen Herrn.
