001_00	O du Eingehüllter,
002_00	steh (zum Gebet) die (ganze) Nacht auf- bis auf einen kleinen Teil,
003_00	ihre Hälfte, oder verringere sie um einen kleinen Teil
004_00	oder füge etwas hinzu. Und trage den Qur'an wohlgeordnet vor.
005_00	Gewiß, Wir werden dir gewichtige Worte offenbaren.
006_00	Das Aufstehen in der Nacht hat stärkeren Einfluß (auf die Seele) und bringt eher aufklärende Worte.
007_00	Du hast ja am Tage lange Zeit für Beschäftigung.
008_00	Und gedenke des Namens deines Herrn und widme dich Ihm ganz allein.
009_00	(Er ist) der Herr des Ostens und des Westens. Es gibt keinen Gott außer Ihm. So nimm Ihn dir zum Sachwalter.
010_00	Und ertrage standhaft, was sie sagen, und meide sie auf schöne Weise.
011_00	Und lasse Mich (allein) mit den Leugnern (der Botschaft), die ein angenehmes Leben haben, und lasse ihnen noch kurze Zeit.
012_00	Gewiß, bei Uns gibt es schwere Fesseln und einen Höllenbrand
013_00	und Speise, die im Hals Würgen hervorruft, und schmerzhafte Strafe
014_00	am Tag, da die Erde und die Berge zittern und die Berge ein zerrinnender Sandhügel sein werden.
015_00	Wir haben zu euch ja einen Gesandten als Zeugen über euch gesandt, so wie Wir zu Fir'aun einen Gesandten sandten.
016_00	Es widersetzte sich Fir'aun dem Gesandten. Da ergriffen Wir ihn mit hartem Griff.
017_00	Wie wollt ihr euch denn, wenn ihr ungläubig seid, vor einem Tag bewahren, der die Kinder weißhaarig (wie Greise) macht?
018_00	Der Himmel wird an ihm zerbrechen. Sein Versprechen wird ausgeführt.
019_00	Gewiß, dies ist eine Erinnerung; wer nun will, (der) nimmt (so diesen) einen Weg zu seinem Herrn.
020_00	Gewiß, dein Herr weiß, daß du etwas weniger als zwei Drittel der Nacht (zum Gebet) aufstehst, oder die Hälfte oder ein Drittel davon, und (ebenso) ein Teil von denjenigen, die mit dir sind.
020_01	Und Allah setzt das Maß der Nacht und des Tages fest. Er weiß, daß ihr es nicht erfassen würdet'. Da wandte Er Sich euch zu und erließ es euch.
020_02	So lest (bei Nacht), was euch vom Qur'an leichtfällt. Er weiß, daß es unter euch Kranke geben wird und andere, die im Land umherreisen, wo sie nach (etwas) von Allahs Huld trachten, und (wieder) andere, die auf Allahs Weg kämpfen.
020_03	So lest davon, was euch leichtfällt, und verrichtet das Gebet und entrichtet die Abgabe und gebt Allah ein gutes Darlehen.
020_04	Und was ihr für euch selbst an Gutem vorausschickt, das werdet ihr noch besser und großartiger belohnt bei Allah finden. Und bittet Allah um Vergebung. Gewiß, Allah ist Allvergebend und Barmherzig.
