001_00	Wenn der Himmel zerbricht
002_00	und wenn die Sterne sich zerstreuen
003_00	und wenn die Meere gesprengt werden
004_00	und wenn die Gräber durchwühlt werden,
005_00	wird eine (jede) Seele erfahren, was sie vorausgeschickt und zurückgestellt hat.
006_00	O Mensch, was hat dich hinsichtlich deines edelmütigen Herrn getäuscht,
007_00	Der dich erschaffen und da(bei) zurechtgeformt und wohlgebildet gemacht hat.
008_00	und dich, in welcher Gestalt Er wollte, zusammengefügt hat?
009_00	Keineswegs! Vielmehr erklärt ihr das Gericht für Lüge.
010_00	Über euch sind wahrlich Hüter (eingesetzt),
011_00	edle, die (alles) aufschreiben
012_00	und die wissen, was ihr tut.
013_00	Die Frommen werden wahrlich in Wonne sein.
014_00	Und die Sittenlosen werden wahrlich in einem Höllenbrand sein,
015_00	dem sie am Tag des Gerichts ausgesetzt werden
016_00	und dem sie nicht abwesend sein werden.
017_00	Und was läßt dich wissen, was der Tag des Gerichts ist?
018_00	Abermals: Was läßt dich wissen, was der Tag des Gerichts ist?
019_00	Am Tag, da keine Seele für eine (andere) Seele etwas (auszurichten) vermag; und der Befehl wird an jenem Tag Allah (allein) zustehen.
