001_00	Alif, Lam, Mim, Sad.
002_00	Es un Libro que se te ha hecho descender, que no haya pues ninguna estrechez en tu pecho por su causa.Para que adviertas con él y sea un recuerdo para los creyentes.
003_00	¡Seguid lo que os ha descendido de vuestro Señor y no sigáis a ningún protector fuera de Él!¡Qué poco recapacitáis!
004_00	¡Cuántas ciudades hemos destruido! Nuestra violencia les sobrevino mientras dormían o sesteaban.
005_00	Y cuando les llegó Nuestra violencia, su única súplica fue decir: ¡Realmente fuimos injustos!
006_00	Preguntaremos a aquéllos a los que se les mandaron enviados y preguntaremos a los enviados.
007_00	Les hablaremos de lo que hicieron con conocimiento de causa, pues no estábamos Ausentes.
008_00	Ese día, el peso en la balanza será la verdad. Aquéllos cuyas acciones tengan peso, serán quienes hayan tenido éxito.
009_00	Pero aquéllos cuya acciones apenas pesen, serán quienes se hayan perdido a sí mismos por haber sido injustos con Nuestros signos.
010_00	Y en verdad que os hemos dado una buena posición en la tierra y os hemos puesto en ella medios de subsistencia. ¡Qué poco es lo que agradecéis!
011_00	Y os creamos, os dimos una forma y luego dijimos a los ángeles: ¡Postraos ante Adam! Y se postraron todos, menos Iblis, que no estuvo entre ellos.
012_00	Dijo: ¿Qué te impide postrarte habiéndotelo ordenado?Contestó: Yo soy mejor que él; a mí me creaste de fuego, mientras que a él lo has creado de barro.
013_00	Dijo: ¡Desciende de aquí! En este lugar no cabe que seas soberbio. ¡Sal de él! Tú serás de los humillados.
014_00	Dijo: Concédeme un plazo hasta el día en que sean devueltos a la vida.
015_00	Dijo: Considérate entre los que esperan.
016_00	Dijo: Puesto que me has extraviado, yo les haré difícil Tu camino recto.
017_00	Después los abordaré por delante y por detrás, por la derecha y por la izquierda y a la mayor parte de ellos no los encontrarás agradecidos.
018_00	Dijo: ¡Sal de aquí degradado y despreciado!Quien de ellos te siga...Llenaré Yahannam con todos vosotros.
019_00	¡Adam! Habitad tú y tu pareja el Jardín y comed de donde queráis, pero no os acerquéis a este árbol pues seréis de los injustos.
020_00	El Shaytán les susurró, por lo que se les hizo manifiesto lo que estaba oculto de sus vergüenzas,
