001_00	Ta, Sin. Estos son los signos del Corán y de un Libro explícito.
002_00	Guía y buenas noticias para los creyentes.
003_00	Los que establecen el salat, dan el zakat y tienen certeza de la Última Vida.
004_00	A los que no creen en la Última Vida, les hemos embellecido sus acciones y están desorientados.
005_00	Esos son los que tendrán el peor castigo y en la Última Vida serán los que más pierdan.
006_00	Verdaderamente te ha descendido el Corán procedente de un Sabio, Conocedor.
007_00	Cuando Musa dijo a su familia: He divisado un fuego, alguna noticia o alguna brasa encendida para que os podáis calentar; os traeré de él.
008_00	Y cuando llegó a él, una voz lo llamó: ¡Bendito sea todo aquel que esté donde este fuego y quien esté a su alrededor y gloria a Allah el Señor de todos los mundos!
009_00	¡Musa! Yo soy Allah el Poderoso, el Sabio.
010_00	Tira tu vara. Y cuando la vió reptar como si fuera una serpiente se alejó dando la espalda sin volverse.¡Musa! No temas, los enviados no temen ante Mí.
011_00	Pero sí quien haya sido injusto, a menos que reemplace el mal por bien pues es cierto que Allah es Perdonador y Compasivo.
012_00	E introdúcete la mano en el escote y saldrá blanca, sin tener ningún mal, como parte de los nueve signos dirigidos a Firaún y a su gente.Realmente son gente descarriada.
013_00	Y cuando les llegaron Nuestros signos evidentes dijeron: Esto es pura magia.
014_00	Pero los negaron, en contra de la certeza que sus almas tenían sobre ellos, por injusticia y arrogancia. Mira cómo acabaron los corruptores.
015_00	Es cierto que a Daud y a Sulayman les dimos conocimiento y dijeron: Las alabanzas a Allah que nos ha preferido sobre muchos de Sus siervos creyentes.
016_00	Y Sulayman fue el heredero de Daud, dijo: ¡Hombres! Se nos ha enseñado el lenguaje de las aves y se nos ha dado de todo, realmente esto es un favor evidente.
017_00	Y se reunieron para Sulayman sus ejércitos de genios, hombres y pájaros, y fueron puestos en orden de batalla.
018_00	Así llegaron al valle de las hormigas; entonces dijo una de ellas: ¡Hormigas! Entrad en vuestras viviendas no vaya a ser que Sulayman y sus ejércitos os aplasten sin darse cuenta.
019_00	Entonces sonrió risueño por sus palabras y dijo: ¡Señor! Muéveme a agradecerte la merced con la que me has favorecido a mí al igual que a mis padres,
019_01	y a que actúe con una rectitud que sea de Tu beneplácito, e inclúyeme en Tu misericordia, entre Tus siervos justos.
020_00	Y pasó revista a las aves, entonces dijo: ¿Qué ocurre que no veo a la abubilla?, ¿acaso es uno de los que están ausentes?
021_00	La castigaré con un duro castigo o la degollaré a menos que venga con una prueba evidente.
022_00	Mas había permanecido no muy lejos y entonces dijo: Me he enterado de algo que tu no alcanzas a saber y he venido hasta ti desde Saba con una noticia cierta.
023_00	He hallado a una mujer que reina sobre ellos y a la que se le ha dado de todo; posee un magnífico trono.
024_00	La encontré a ella y a su pueblo postrándose ante el sol en lugar de ante Allah; el Shaytán les ha embellecido sus acciones y les ha desviado del camino, y no tienen guía.
025_00	¿Por qué no se postran ante Allah que es Quien hace salir lo que está escondido en los cielos y en la tierra y sabe lo que ocultan y lo que muestran?
026_00	Allah, no hay dios excepto Él, el Señor del Trono inmenso.
027_00	Dijo: Veremos si es verdad lo que dices o si eres de los que mienten.
028_00	Ve con este escrito mío y déjalo caer sobre ellos, luego retírate y espera su reacción.
029_00	Dijo ella: ¡Consejo de nobles! Me han arrojado un escrito noble.
030_00	Es de Sulayman y es en el nombre de Allah, el Misericordioso, el Compasivo:
031_00	No os levantéis contra mí, venid a mí sometidos.
032_00	Dijo ella: ¡Consejo de nobles! Dadme un dictamen sobre mi caso, no tomaré ninguna decisión hasta que no os pronunciéis.
033_00	Dijeron: Nosotros tenemos fuerza y una poderosa ofensiva, pero tuya es la decisión, mira pues lo que vas a ordenar.
034_00	Dijo: Cuando los reyes entran en una ciudad la trastornan por completo humillando a sus habitantes poderosos. Así es como actúan.
035_00	Voy a enviarles un regalo y esperaré lo que traigan de vuelta los mensajeros.
036_00	Y cuando llegó a Sulayman dijo: Me tentáis con riquezas cuando lo que Allah me ha dado es mejor de lo que os ha dado a vosotros y no obstante os contentáis con vuestros regalos.
037_00	Vuelve a ellos, que vamos a ir con ejércitos a los que no podrán enfrentarse, los expulsaremos de ella humillados y quedarán empequeñecidos.
038_00	Dijo: ¡Mis nobles! ¿Cuál de vosotros me traerá su trono antes de que vengan a mí sometidos (musulmanes)?
039_00	Dijo un genio Ifrit: Yo te lo traeré antes de que te levantes de tu asiento*, yo tengo fuerza para ello y soy digno de confianza.
