001_00	Alif, Lam, Mim
002_00	Los Romanos han sido vencidos*
003_00	en la tierra más próxima. Pero ellos, a pesar de su derrota, vencerán*.
004_00	dentro de algunos años. El mandato pertenece a Allah antes y después. Ese día se alegrarán los creyentes*
005_00	por el auxilio de Allah. El auxilia a quien quiere y Él es el Conocedor, el Compasivo.
006_00	Promesa de Allah y Allah no falta a Su promesa; sin embargo la mayor parte de los hombres no saben.
007_00	Conocen una parte superficial de la vida del mundo pero viven despreocupados de la Otra Vida.
008_00	¿Es que no han reflexionado en su interior?Allah no ha creado los cielos y la tierra y lo que hay entre ambos sino con la verdad y con un plazo fijado.
008_01	Y es cierto que muchos de los hombres niegan que habrán de encontrarse con su Señor.
009_00	¿Es que no han ido por la tierra y han visto cómo acabaron los que les precedieron?
009_01	Eran más fuertes que ellos en poderío y cultivaron la tierra y florecieron en ella más de lo que ellos han florecido.
009_02	Y vinieron a ellos sus mensajeros con las pruebas claras. Pero Allah no fue injusto con ellos en nada sino que fueron ellos los injustos consigo mismos. ío y vinieron a ellos sus mensajeros con las pruebas claras
010_00	Luego, aquéllos que habían cometido maldades tuvieron el peor fin, por haber negado la veracidad de los signos de Allah y haberse burlado de ellos.
011_00	Allah inicia la creación, luego la repite y luego volvéis a Él.
012_00	El día que llegue la Hora, ese día los malhechores enmudecerán desesperados.
013_00	No tendrán ningún intercesor entre los que ellos asociaban (a Allah) y renegarán de esos asociados.
014_00	El día que llegue la Hora, ese día se separarán:
015_00	Los que creyeron y llevaron a cabo las acciones de bien estarán deleitándose en un vergel.
016_00	Pero los que se negaron a creer y negaron la veracidad de Nuestros signos y del encuentro de la Última Vida, estarán permanentemente en el castigo.
017_00	Así pues, ¡Glorificado sea Allah! cuando entráis en la tarde y cuando amanecéis.
018_00	Suyas son las alabanzas en los cielos y en la tierra. Y (glorificado sea) al caer la tarde y cuando entráis en el mediodía.
019_00	Hace salir lo vivo de lo muerto y lo muerto de lo vivo y Le da vida a la tierra después de muerta.Y así será como saldréis vosotros (de las tumbas).
020_00	Parte de Sus signos es que os creó de tierra y luego llegasteis a ser seres humanos con capacidad para desenvolveros.
021_00	Y parte de Sus signos es que os creó esposas sacadas de vosotros mismos para que encontrarais sosiego en ellas
021_01	y puso entre vosotros amor y misericordia; realmente en eso hay signos para gente que reflexiona.
022_00	Y parte de Sus signos es la creación de los cielos y de la tierra y la diversidad de vuestras lenguas y colores.Realmente en eso hay signos para las criaturas.
023_00	Y parte de Sus signos es vuestro sueño de noche y de día y vuestra búsqueda de Su favor; realmente en esto hay signos para la gente que escucha.
024_00	Y parte de Sus signos es que os hace ver el relámpago con temor y anhelo y hace que caiga agua del cielo
024_01	con la que vivifica la tierra después de muerta; realmente en eso hay signos para gente que entiende.
025_00	Y parte de Sus signos es que el cielo y la tierra se sostienen por Su mandato. Luego cuando se os llame una vez desde la tierra, saldréis.
026_00	Suyos son quienes están en los cielos y en la tierra, todos están sujetos a Él.
027_00	Él es Quien crea al principio y luego vuelve a crear; y esto es aún más fácil para Él.Él tiene el más alto parangón en los cielos y en la tierra y Él es el Irresistible, el Sabio.
