001_00	Alif, Lam, Mim.
002_00	Estos son los signos del Libro Sabio.
003_00	Guía y misericordia para los que hacen el bien.
004_00	Los que establecen el salat, dan el zakat y tienen certeza de la Última Vida.
005_00	Esos están afirmados en una guía de su Señor y son los que tendrán éxito.
006_00	Hay hombres que compran palabras frívolas* para extraviar del camino de Allah sin conocimiento y las toman a burla.*Esos tendrán un castigo infame.
007_00	Y cuando se les recitan Nuestros signos se dan la vuelta con soberbia como si no los oyeran, como si tuvieran sordera en los oídos.Anúnciales un castigo doloroso.
008_00	Es cierto que los que creen y llevan a cabo las acciones de bien tendrán los Jardines del Deleite
009_00	en los que serán inmortales. Promesa de Allah verdadera, Él es el Poderoso, el Sabio.
010_00	Creó los cielos sin pilares que pudierais ver y puso en la tierra cordilleras para que no se moviera con vosotros y repartió por ella todo tipo de seres vivos.
010_01	Y hacemos que caiga agua del cielo con la que hacemos crecer todo tipo de especies nobles.
011_00	Esta es la creación de Allah, mostradme lo que han creado los que (adoráis) fuera de El. Por el contrario, los injustos están en un claro extravío.
012_00	Y he aquí que le dimos a Luqman la Sabiduría: ¡Sé agradecido con Allah! Pues quien agradece, lo hace en beneficio propio, pero quien es ingrato... Realmente Allah es Rico, Digno de alabanza.
013_00	Y cuando Luqman le dijo a su hijo aconsejándole: ¡Hijo mío! No asocies nada ni nadie con Allah, pues hacerlo es una enorme injusticia.
014_00	Hemos encomendado al hombre que trate bien a sus padres.Su madre lo llevó en el vientre fatiga tras fatiga y fue destetado a los dos años. Sé agradecido conmigo y con tus padres.A Mí has de volver.
015_00	Pero si se empeñan en que Me asocies algo de lo que no tienes conocimiento, entonces no los obedezcas.
015_01	Pero acompáñalos en este mundo como es debido. Y sigue el camino de los que se vuelven a Mí en todo. Después habréis de volver a Mí y os haré saber lo que hacíais.
016_00	¡Hijo mío!
016_01	Incluso el peso de un grano de mostaza dentro de una roca, o en los cielos, o en la tierra, Allah lo traería a colación; es cierto que Allah es Sutil, Penetrante.
017_00	¡Hijo mío! Establece la Oración, ordena lo reconocido, prohíbe lo reprobable y ten paciencia con lo que venga, es cierto que eso es parte de los asuntos que requieren entereza.
018_00	Y no pongas mala cara a la gente ni andes por la tierra con insolencia, pues es verdad que Allah no ama al que es presumido y jactancioso.
019_00	Sé moderado al caminar y baja la voz, pues ciertamente la más desagradable de las voces es la del asno.
020_00	¿Es que no veis que Allah os ha subordinado todo lo que hay en los cielos y en la tierra y os ha colmado de Su favor tanto externa como internamente?
020_01	Hay hombres que discuten sobre Allah sin ningún conocimiento, ni guía, ni Libro luminoso.
021_00	Y cuando se les dice: ¡Seguid lo que Allah ha hecho descender!
021_01	Dicen: Seguimos más bien aquello que encontramos haciendo a nuestros padres. ¿Y si el Shaytán los estuviera llamando al castigo del Sair?
022_00	Aquel que somete su frente a Allah y hace el bien, se habrá aferrado al asidero más firme. Y en Allah desembocan los asuntos.
023_00	Y quien se niegue a creer... Que no te entristezca su incredulidad. (Todos) habrán de retornar a Nos y les haremos saber lo que hicieron.Es cierto que Allah conoce lo que hay dentro de los pechos.
024_00	Los dejaremos que disfruten un poco y luego los conduciremos forzados al durísimo castigo.
025_00	Si les preguntas quién creó los cielos y la tierra, te dirán: Allah. Di: Las alabanzas a Allah.Sin embargo la mayoría de ellos no saben.
026_00	De Allah es cuanto hay en los cielos y en la tierra, Él es el Rico, en Sí mismo alabado.
027_00	Aunque los árboles de la tierra fueran cálamos y el mar junto con otros siete mares más (tinta), las palabras de Allah no se agotarían. Es cierto que Allah es Poderoso, Sabio.
028_00	Crearos a vosotros y haceros resurgir es como crear a uno sólo; es cierto que Allah es Quien oye y Quien ve.
029_00	¿Acaso no ves que Allah hace que la noche penetre en el día y el día en la noche y que ha subordinado al sol y a la luna,
029_01	de manera que cada uno discurre con un plazo fijado, y que sabe perfectamente lo que hacéis?
030_00	Eso es porque Allah es el Real y aquello que invocáis fuera de Él es lo falso, y porque Allah es Excelso, Grande.
031_00	¿Acaso no ves que la nave navega en el mar por la gracia de Allah para mostraros así algunos de Sus signos? En esto hay un signo para todo el que es paciente y agradecido.
032_00	Y si los cubre una ola como una nube suplican a Allah reconociendo, en un momento de sinceridad, que sólo Él debe ser adorado.
032_01	Pero cuando les ponemos a salvo en tierra sólo algunos de ellos se mantienen fieles a ello. Y no niega Nuestros signos sino el que es pérfido e ingrato.
033_00	¡Hombres! Temed a vuestro Señor y temed un día en el que ningún padre podrá pagar por su hijo ni ningún recién nacido pagará por su padre;
033_01	realmente la promesa de Allah es verdadera, que no te seduzca la vida del mundo ni te seduzca, apartándote de Allah, el Seductor.
034_00	Allah tiene con Él el conocimiento de la Hora y hace que caiga la buena lluvia y sabe lo que hay en las matrices.
034_01	Nadie sabe lo que le deparará el mañana ni en qué tierra morirá, es cierto que Allah es Conocedor y está perfectamente Informado.
