001_00	Ha, Mim.
002_00	Revelación del Libro procedente de Allah, el Poderoso, el Conocedor.
003_00	Él que perdona las faltas y acepta el arrepentimiento, el Enérgico cuando castiga y Él que da con largueza.No hay dios sino Él, a Él es el retorno.
004_00	Sólo los que se niegan a creer discuten los signos de Allah, que no te lleve a engaño su capacidad de desenvolverse por el país.
005_00	Antes de ellos ya había negado la verdad las gentes de Nuh y después vinieron los que se confabularon*. Cada comunidad intentó acabar con sus mensajeros.
005_01	Contestaron con falsedades para refutar con ello la verdad, pero los sorprendí ¡y cómo fue Mi castigo!
006_00	Y así se hizo realidad la palabra de tu Señor contra los que se habían negado a creer que serían los compañeros del Fuego.
007_00	Los que llevan el Trono y están a su alrededor, glorifican a su Señor con alabanzas, creen en Él y piden perdón por los que creen:
007_01	¡Señor nuestro! Tu misericordia y conocimiento abarcan todas las cosas, perdona pues a los que a Ti se vuelven y siguen Tu sendero y líbralos del castigo del Yahim.
008_00	¡Señor nuestro! Haz que entren en los jardines de Adn que les prometiste a ellos y a todo el que de sus padres, esposas y descendencia fuera recto; realmente tú eres el Poderoso, el Sabio.
009_00	¡Líbralos de sus malas acciones! Pues el que, ese día, sea librado de las malas acciones... Habrás tenido misericordia con él; y ése es el gran triunfo.
010_00	Y a los que se hayan negado a creer les gritarán: ¿Acaso no es el desprecio de Allah mayor que vuestro propio desprecio cuando se os llamó a creer y no quisisteis creer?
011_00	Dirán: Señor nuestro, nos diste la muerte dos veces y nos has dado la vida dos veces,* reconocemos nuestras faltas: ¿Hay alguna manera de salir?
012_00	Eso es porque cuando se invocaba a Allah, Solo, os negabais a creer pero cuando se Le atribuía algún asociado creíais.Pero el juicio pertenece a Allah, el Excelso, el Grande.
013_00	Él es Quien os muestra Sus signos y hace descender para vosotros provisión desde el cielo, pero sólo recuerda quien en todo, se vuelve a Él.
014_00	Así pues invocad a Allah ofreciéndole, sinceros, sólo a Él la adoración, aunque les repugne a los incrédulos.
015_00	Él es Quien eleva en grados*, el Dueño del Trono, Quien hace caer el espíritu que viene de Su mandato sobre quien quiere de Sus siervos para que se convierta en un advertidor del día del Encuentro.
016_00	El día en que se les haga salir (de las tumbas); no habrá nada de ellos que quede oculto para Allah. ¿Y quién tendrá ese día la supremacía? Allah, el Único, el Dominante.
017_00	Hoy cada uno será recompensado por lo que tenga en su haber.Y no habrá, hoy, injusticia.Es cierto que Allah es Rápido en la cuenta.
018_00	Y adviérteles del día inminente en que los corazones llegarán a la garganta angustiados. Los injustos no tendrán ningún amigo ferviente ni ningún intercesor que puedan ser aceptado.
019_00	Él conoce los ojos traicioneros y lo que encierran los pechos.
020_00	Y Allah juzga con la verdad mientras que los que invocáis fuera de Él no juzgan con nada.Es cierto que Allah es Él que Oye y Él que Ve.
021_00	¿Es que no han ido por la tierra y han visto cómo acabaron los que hubo antes de ellos?
021_01	Tenían más poderío que ellos y sus vestigios en la tierra eran superiores, pero Allah los agarró a causa de sus transgresiones y no hubo nadie que los protegiera de Allah.
022_00	Eso es porque, habiéndoles llegado sus mensajeros con las pruebas claras, ellos se negaron a creer y entonces Allah los agarró; realmente Él es el Fuerte, el Enérgico cuando castiga.
023_00	Y así fue como enviamos a Musa con Nuestros signos y una autoridad clara.
024_00	a Firaún, Haman y Qarún. Estos dijeron: Es un mago farsante.
025_00	Y cuando trajo la verdad que venía de Nuestro lado, dijeron: ¡Matad a los hijos de aquéllos que creen con él dejando vivir a las hembras!
025_01	Pero la maquinación de los incrédulos sólo es un fracaso.
026_00	Y dijo Firaún: ¡Dejadme matar a Musa y que él llame a su Señor, pues temo en verdad que cambie vuestras creencias y haga surgir la corrupción en la tierra.
027_00	Y dijo Musa: Me refugio en mi Señor y el vuestro de todo soberbio que no crea en el día de la Cuenta.
028_00	Y dijo un hombre creyente de la familia de Firaún que ocultaba su creencia: ¿Vais a matar a un hombre porque os dice: Mi Señor es Allah, cuando os ha traído pruebas claras que vienen de vuestro Señor y qu
028_01	e, en caso de que sea un mentiroso, su mentira se volverá contra él, mientras que si dice la verdad, una parte de lo que os asegura os afligirá? Allah no guía a quien sobrepasa los límites y es un farsante.
029_00	¡Gente mía! Hoy tenéis la supremacía dominando la tierra, pero ¿quién os auxiliará ante la furia de Allah si ésta viene a vosotros?
