001_00	¡Por la Aurora!
002_00	¡Por diez noches!
003_00	¡Por lo par y lo impar!
004_00	¡Por la noche cuando transcurre!
005_00	¿No es eso un juramento para el que tiene intelecto?
006_00	¿No has visto lo que hizo tu Señor con los Ad?
007_00	Iram, la de las columnas*
008_00	como la que no se creó otra igual en todo el país*.
009_00	Y los Zamud que socavaban las rocas en el valle.
010_00	Y Firaún el de las estacas*.
011_00	Que cometieron abusos en la tierra
012_00	y sembraron en ella la corrupción.
013_00	Y tu Señor envió contra ellos el azote de un castigo.
014_00	Es cierto que tu Señor está Vigilante.
015_00	Sin embargo el hombre cuando su Señor lo pone a prueba honrándolo y favoreciéndolo, dice: He sido honrado por Mi Señor.
016_00	Pero cuando lo pone a prueba restringiéndole la provisión, dice: Mi Señor me ha abandonado.
017_00	¡Pero no! Es que no tratáis con generosidad al huérfano,
018_00	ni os exhortáis a alimentar al pobre.
019_00	Acaparáis las herencias con voracidad
020_00	y amáis la riqueza en demasía.
021_00	¡Pero no! Cuando la tierra se convulsione una y otra vez hasta quedar plana.
022_00	Y venga tu Señor y vengan los ángeles en filas y filas,
023_00	y se haga venir, ese día, a Yahannam. Entonces el hombre recordará. ¿Pero de qué le servirá recordar?
024_00	Dirá: ¡Ay de mí!, ojalá y hubiera adelantado algo en favor de mi vida.
025_00	Ese día, nadie infligirá Su castigo
026_00	y nadie prenderá con Su firmeza.
027_00	¡Oh alma sosegada!
028_00	Regresa a tu Señor, satisfecha y satisfactoria.
029_00	Y entra con Mis siervos,
030_00	entra en Mi Jardín.
