001_00	¦. S̃. M̃.
002_00	Waɗancan ãyõyin Littãfi ne bayyananne.
003_00	Tsammãninka kai mai halakar da ranka ne, dõmin ba su kasance mũminai ba!
004_00	Idan Mun so zã Mu saukar, a kansu, da wata ãyã daga sama, sai wuyõyinsu su yini sabõda ita sunã mãsu ƙasƙantar da kai.
005_00	Kuma wata tunãtarwa ba ta jẽ musu ba, daga Mai rahama, sãbuwa, fãce sun kasance daga barinta sunã mãsu bijirẽwa.
006_00	To, lalle ne, sun ƙaryata, to, lãbãran abin da suka kasance sunã yi na izgili da shi zã ya je musu.
007_00	Shin, ba su dũba ba zuwa ga ƙasa, da yawa Muka tsirar a cikinta, daga dukan nau'i mai kyau?
008_00	Lalle ne, a cikin wancan akwai ãyã, kuma mafi yawansu ba su kasance mũminai ba.
009_00	Kuma lalle ne, Ubangijinka, haƙĩƙa, Shĩ ne Mabuwãyi, Mai rahama.
010_00	Kuma a lõkacin da Ubangijinka Ya kirãyi Mũsã, "Ka je wa mutãnen nan azzãlumai.
011_00	"Mutãnen Fir'auna bã zã su yi taƙawa ba?"
012_00	Ya ce: "Ya Ubangijĩna, nĩ inã tsõron su ƙaryata ni.
013_00	"Kuma ƙirjĩna ya yi ƙunci kuma harshẽna bã zai saku ba sabõda haka ka aika zuwa ga Harũna.
014_00	"Kuma sunã da wani laifi a kaina, sabõda haka inã tsõron kada su kashe ni."
015_00	Ya ce: "Kayya! Ku tafi, kũ biyu, da ÃyõyinMu. Lalle ne, Munã tãre da ku Munã Mãsu saurãre."
016_00	"Sai ku je wa Fir'auna, sa'an nan ku ce, Lalle ne, mu, Manzannin Ubangijin halitta ne."
017_00	"Ka saki Banĩ Isrã'ila tãre da mu."
018_00	Ya ce: "Shin, ba mu yi rẽnonka ba a cikinmu kanã jãrĩri, kuma ka zauna a cikinmu shẽkarudaga lõkacin rãyuwarka?"
019_00	"Kuma ka aikata aikinka wanda ka aikata alhãli kai kanã daga butulai?"
020_00	Ya ce: "Na aikata shi a lõkacin inã daga mãsu jãhilcin hushi."
021_00	"Sabõda haka na gudu daga gãre ku a lõkacin da na ji tsõronku, sai Ubangijĩna Ya bã ni hukunci, kuma Ya sanya ni daga Manzanni."
022_00	"Kuma waccan ni'ima ce, kanã gõrint a kaina, dõmin kã bautar da Banĩ Isrã'ĩla."
023_00	Fir'auna ya ce: "Kuma mene ne Ubangijin halittu?"
024_00	Ya ce: "Ubangijin sammai da ƙasa da abin da yake a tsakãninsu, idan kun kasance mãsu ƙarfin ĩmãni."
025_00	Ya ce wa waɗanda suke a gẽfensa, "Bã za ku saurãra ba?"
026_00	Ya ce: "Ubangijinku, kuma Ubangijin ubanninku na farko."
027_00	Ya ce: "Lalle ne Manzonku, wanda aka aiko zuwa gare ku, haƙi ƙa, mahaukaci ne."
028_00	Ya ce: "Ubangijin mafitar rãnã da maɓũyarta da abin dayake a tsakaninsu, idan kun kasance kunã hankalta."
029_00	Ya ce: "Lalle ne idan ka riƙi wani abin bautãwa wanĩna haƙĩƙa, inã sanyã ka daga ɗaurarru."
030_00	Ya ce: "Ashe, kuma kõ dã nã zõ maka da wani, abu mai bayyanãwa?"
031_00	Ya ce: "To, ka zõ da shi idan ka kasance daga, mãsu gaskiya."
032_00	Sai ya jẽfa sandarsa, sai ga ta kumurci bayyananne.
033_00	Kuma ya fizge hannunsa, sai ga shi fari ga mãsu kallo.
034_00	(Fir'auna) ya ce ga mashãwarta a gẽfensa, "Lalle ne, wannan haƙĩƙa, masihirci ne, mai ilmi!
035_00	"Yanã son ya fitar da ku daga ƙasarku game da sihirinSa. To mẽne ne kuke shãwartãwa?"
036_00	Suka ce: "Ka jinkirtar da shi, shĩ da ɗan'uwansa, kuma ka aika mãsu gayya a cikin birãne."
037_00	"Zã su zõ maka da dukkan mai yawan sihiri masani."
