001_00	(Allah) Mai rahama.
002_00	Yã sanar da Alƙur'ani.
003_00	Yã halitta mutum.
004_00	Yã sanar da shi bayãni (magana).
005_00	Rãnã da watã a kan lissãfi suke.
006_00	Kuma tsirrai mãsu yãɗo da itãce sunã tawãlu'i.
007_00	Kuma samã Ya ɗaukaka ta, Kuma Yã aza sikẽli.
008_00	Dõmin kada ku karkatar da sikẽlin.
009_00	Kuma ku daidaita awo da ãdalci, kuma kada ku rage sikẽlin.
010_00	Kuma ƙasã Yã aza ta dõmin tãlikai.
011_00	A cikinta akwai 'ya'yan itãcen marmari da dabĩno mai kwasfa.
012_00	Da ƙwãya mai sõshiya da ƙamshi.
013_00	To, sabõda wanne daga ni'imõmin Ubangjinku kuke ƙaryatãwa?
014_00	Yã halitta mutum daga ƙẽkasasshen yumɓu kumar kasko.
015_00	Kuma ya halitta aljani daga bira daga wutã.
016_00	To, sabõda wanne daga ni'imõmin Ubangijinku, kuke ƙaryatãwa?
017_00	Ubangjin mafita biyu na rãnã, kuma Ubangijin mafãɗã biyu na rãnã.
018_00	To, sabõda wanne daga ni'imõmin Ubangijinku, kuke ƙaryatãwa?
019_00	Yã garwaya tẽku biyu (ruwan dãɗi da na zartsi) sunã haɗuwa.
020_00	A tsakãninsu akwai shãmaki, bã za su ƙetare haddi ba.
021_00	To, sabõda wanne daga ni'imõmin Ubangijinku, kuke ƙaryatãwa?
022_00	Lu'ulu'u da murjãni na fita daga gare su.
023_00	To, sabõda wanne daga ni'imõmin Ubangijinku, kuke ƙaryatãwa?
024_00	Kuma Yanã da manyan jirãge, waɗanda ake ƙãgãwa a cikin tẽku kamar manyan duwãtsu.
025_00	To, sabõda wanne daga ni'imõmin Ubangijinku, kuke ƙaryatãwa?
026_00	Dukkan wanda ke kanta mai ƙãrẽwa ne.
027_00	Kuma Fuskarar Ubangijinka, Mai girman Jalala da karimci, ita ce take wanzuwa.
028_00	To, sabõda wanne daga ni'imõmin Ubangijinku, kuke ƙaryatãwa?
029_00	wanda ke a cikin sammai da ƙasã yanã rõƙon Sa (Allah), a kullum Allah na a cikin wani sha'ani.
030_00	To, sabõda wanne daga ni'imõmin Ubangijinku, kuke ƙaryatãwa?
031_00	Zã mu ɗauki lõkaci sabõda ku, yã kũ mãsu nauyin halitta biyu!
032_00	To, sabõda wanne daga ni'imõmin Ubangijinku, kuke ƙaryatãwa?
033_00	Ya jama'ar aljannu da mutãne! Idan kunã iya zarcẽwa daga sãsannin sammai da ƙasã to ku zarce. Bã za ku iya zarcẽwaba fãce da wani dalĩli.
034_00	To, sabõda wanne daga ni'imõmin Ubangijinku, kuke ƙaryatãwa?
035_00	Anã sako wani harshe daga wata wutã a kanku, da narkakkiyar tagulla. To, bã zã ku nẽmi taimako ba?
