001_00	Lalle ne, wata mudda ta zamani tã zo a kan mutum, bai kasance kõme ba wanda ake ambata.
002_00	Lalle ne, Mũ Mun halitta mutum daga ɗigon ruwa garwayayye, Muna jarraba shi, sabõda haka Muka sanya shi mai ji mai gani,
003_00	Lalle ne, Mũ, Mun shiryar da shi ga hanyar ƙwarai, ko ya zama mai gõdiya, kuma ko ya zama mai kãfirci.
004_00	Lalle ne, Mũ, Mun yi tattali, dõmin kãfirai, sarƙoƙi da ƙuƙumma da sa'ĩr.
005_00	Lalle ne, mutãnen kirki zã su sha daga finjãlin giya abin gaurayarta yã kãsance kãfur ne.
006_00	Wani marmaro ne, daga gare shi bayin Allah suke sha, suna ɓuɓɓugar da shi ɓuɓɓugarwa.
007_00	Suna cikãwa da alwãshin (da suka bãkanta), kuma suna tsõron wani yini wanda sharrinsa ya kasance mai tartsatsi ne.
008_00	Kuma suna ciyar da abinci, a kan suna bukãtarsa, ga matalauci da marãya da kãmamme.
009_00	(Suna cẽwa): "Munã ciyar da ku ne dõmin nẽman yardar Allah kawai, bã mu nufin sãmun wani sakamako daga gare ku, kuma bã mu nufin gõdiya.
010_00	"Lalle ne, mũ muna tsõro daga Ubangijinmu, wani yini mai gintsẽwa, mai murtukẽwa."
011_00	Sabõda haka Allah Ya tsare musu sharrin wannan yini, kuma Ya hlɗa su da annũrin huska da farin ciki,
012_00	Kuma Ya sãka musu sabõda haƙurin da suka yi, da Aljanna da tufãfin alharini.
013_00	Sunã mãsu zaman ginciri, a cikinta, a kan karagu, bã su ganin rãnã a cikinta, kuma bã su ganin jaura.
014_00	Kuma, inuwõyinta suna kusa, a kansu, an hõre nunannun 'yã'yan itãcenta, hõrẽwa.
015_00	Kuma ana kẽwayãwa a kansu da finjãlai na azurfa da kofuna waɗanda suka kasance na ƙarau.
016_00	¡arau na azurfa, sun ƙaddara su ƙaddarawa, daidai bukãta.
017_00	Ana shayarwa da su, a cikinta, finjalan giya, wadda abin gaurayarta ya kasance zanjabil ne.
018_00	Wani marmaro ne, a cikinta, ana kiran sa salsabil.
019_00	Kuma wasu yara samãrin dindindin na kẽwayãwa, a kansu, idan ka gan su, zã ka zaci sũ lu'ulu'u ne wanda aka wãtsa.
020_00	Kuma idan kã ga wannan wurin, to, kã ga wata irin ni'ima da mulki babba.
021_00	Tufãfinsu na sama na alharĩ ni ne, kõre da mai walƙiya, kuma an ƙawãce su da mundãye na wata curin azurfa kuma Ubangijinsu, Ya shãyar da su abin sha mai tsarkakẽwar (ciki).
022_00	(A ce musu) "Lalle ne, wannan ya kasance, a gare ku sakamako, kuma aikink. ya kasance abin gõdewa."
023_00	Lalle, Mũ ne Muka saukar da Alƙur'ãni a gare ka, saukarwa.
024_00	Sabõda haka ka yi haƙuri ga hukuncin Ubangijinka, kuma kada ka bi, daga cikinsu, mai zunubi ko mai kãfirci.
025_00	Kuma ka ambaci sũnan Ubangijinka, sãfe da maraice.
026_00	Daga dare, sai ka yi sujũda gare Shi, kuma ka tsarkake Shi darẽ mai tsawo.
027_00	Lalle ne, waɗannan suna son mai gaugãwa (dũniya) kuma suna bari, a bãyansu, wani yini mai nauyi.
028_00	Mũ ne Muka halitta su kuma Muka, ƙarfafa halittarsu, kuma idan Mun so, za Mu musanyâ su da wasu mutane kwatankwacinsu, musanyawa.
029_00	Lalle ne, wannan wata tunãtarwa ce, saboda wanda ya so ya riƙa hanyar kirki zuwa ga Ubangijinsa.
030_00	Kuma, bã zã ku so ba, sai Allah Ya so, lalle ne Allah Yã kasance Masani' Mai hikima.
031_00	Yana shigar da wanda Ya so a cikin rahamarsa, kuma azzãlumai, Yã yi musu tattalin wata azãba mai raɗaɗi.
