001_00	(Tuhan) Yang Maha Pemurah,
002_00	Yang telah mengajarkan al Quran.
003_00	Dia menciptakan manusia.
004_00	Mengajarnya pandai berbicara.
005_00	Matahari dan bulan (beredar) menurut perhitungan.
006_00	Dan tumbuh-tumbuhan dan pohon-pohonan kedua-duanya tunduk kepada-Nya.
007_00	Dan Allah telah meninggikan langit dan Dia meletakkan neraca (keadilan).
008_00	Supaya kamu jangan melampaui batas tentang neraca itu.
009_00	Dan tegakkanlah timbangan itu dengan adil dan janganlah kamu mengurangi neraca itu.
010_00	Dan Allah telah meratakan bumi untuk makhluk(Nya).
011_00	Di bumi itu ada buah-buahan dan pohon kurma yang mempunyai kelopak mayang.
012_00	Dan biji-bijian yang berkulit dan bunga-bunga yang harum baunya.
013_00	Maka nikmat Tuhan kamu yang manakah yang kamu dustakan?
014_00	Dia menciptakan manusia dari tanah kering seperti tembikar,
015_00	dan Dia menciptakan jin dari nyala api.
016_00	Maka nikmat Tuhan kamu yang manakah yang kamu dustakan?
017_00	Tuhan yang memelihara kedua tempat terbit matahari dan Tuhan yang memelihara kedua tempat terbenamnya
018_00	Maka nikmat Tuhan kamu yang manakah yang kamu dustakan?
019_00	Dia membiarkan dua lautan mengalir yang keduanya kemudian bertemu,
020_00	antara keduanya ada batas yang tidak dilampaui masing-masing.
021_00	Maka nikmat Tuhan kamu yang manakah yang kamu dustakan?
022_00	Dari keduanya keluar mutiara dan marjan.
023_00	Maka nikmat Tuhan kamu yang manakah yang kamu dustakan?
024_00	Dan kepunyaan-Nya lah bahtera-bahtera yang tinggi layarnya di lautan laksana gunung-gunung.
025_00	Maka nikmat Tuhan kamu yang manakah yang kamu dustakan?
026_00	Semua yang ada di bumi itu akan binasa.
027_00	Dan tetap kekal Dzat Tuhanmu yang mempunyai kebesaran dan kemuliaan.
028_00	Maka nikmat Tuhan kamu yang manakah yang kamu dustakan?
029_00	Semua yang ada di langit dan bumi selalu meminta kepada-Nya. Setiap waktu Dia dalam kesibukan.
030_00	Maka nikmat Rabb-mu yang manakah yang kamu dustakan?
031_00	Kami akan memperhatikan sepenuhnya kepadamu hai manusia dan jin.
032_00	Maka nikmat Tuhan kamu yang manakah yang kamu dustakan?
033_00	Hai jama'ah jin dan manusia, jika kamu sanggup menembus (melintasi) penjuru langit dan bumi, maka lintasilah, kamu tidak dapat menembusnya kecuali dengan kekuatan.
034_00	Maka nikmat Tuhan kamu yang manakah yang kamu dustakan?
035_00	Kepada kamu, (jin dan manusia) dilepaskan nyala api dan cairan tembaga maka kamu tidak dapat menyelamatkan diri (dari padanya).
036_00	Maka nikmat Tuhan kamu yang manakah yang kamu dustakan?
037_00	Maka apabila langit telah terbelah dan menjadi merah mawar seperti (kilapan) minyak.
038_00	Maka nikmat Tuhan kamu yang manakah yang kamu dustakan?
039_00	Pada waktu itu manusia dan jin tidak ditanya tentang dosanya.
040_00	Maka nikmat Tuhan kamu yang manakah yang kamu dustakan?
041_00	Orang-orang yang berdosa dikenal dengan tanda-tandannya, lalu dipegang ubun-ubun dan kaki mereka.
042_00	Maka nikmat Tuhan kamu yang manakah yang kamu dustakan?
043_00	Inilah neraka Jahannam yang didustakan oleh orang-orang berdosa.
044_00	Mereka berkeliling di antaranya dan di antara air mendidih yang memuncak panasnya.
045_00	Maka nikmat Tuhan kamu yang manakah yang kamu dustakan?
046_00	Dan bagi orang yang takut akan saat menghadap Tuhannya ada dua surga.
047_00	Maka nikmat Tuhan kamu yang manakah yang kamu dustakan?,
048_00	kedua surga itu mempunyai pohon-pohonan dan buah-buahan.
049_00	Maka nikmat Tuhan kamu yang manakah yang kamu dustakan?
050_00	Di dalam kedua surga itu ada dua buah mata air yang mengalir
051_00	Maka nikmat Tuhan kamu yang manakah yang kamu dustakan?
052_00	Di dalam kedua surga itu terdapat segala macam buah-buahan yang berpasangan.
053_00	Maka nikmat Tuhan kamu yang manakah yang kamu dustakan?
054_00	Mereka bertelekan di atas permadani yang sebelah dalamnya dari sutera. Dan buah-buahan di kedua surga itu dapat (dipetik) dari dekat.
055_00	Maka nikmat Tuhan kamu yang manakah yang kamu dustakan?
056_00	Di dalam surga itu ada bidadari-bidadari yang sopan menundukkan pandangannya, tidak pernah disentuh oleh manusia sebelum mereka (penghuni-penghuni surga yang menjadi suami mereka), dan tidak pula oleh jin.
