001_00	Apabila langit terbelah,
002_00	dan patuh kepada Tuhannya, dan sudah semestinya langit itu patuh,
003_00	dan apabila bumi diratakan,
004_00	dan dilemparkan apa yang ada di dalamnya dan menjadi kosong,
005_00	dan patuh kepada Tuhannya, dan sudah semestinya bumi itu patuh, (pada waktu itu manusia akan mengetahui akibat perbuatannya).
006_00	Hai manusia, sesungguhnya kamu telah bekerja dengan sungguh-sungguh menuju Tuhanmu, maka pasti kamu akan menemui-Nya.
007_00	Adapun orang yang diberikan kitabnya dari sebelah kanannya,
008_00	maka dia akan diperiksa dengan pemeriksaan yang mudah,
009_00	dan dia akan kembali kepada kaumnya (yang sama-sama beriman) dengan gembira.
010_00	Adapun orang-orang yang diberikan kitabnya dari belakang,
011_00	maka dia akan berteriak: "Celakalah aku".
012_00	Dan dia akan masuk ke dalam api yang menyala-nyala (neraka).
013_00	Sesungguhnya dia dahulu (di dunia) bergembira di kalangan kaumnya (yang sama-sama kafir).
014_00	Sesungguhnya dia menyangka bahwa dia sekali-kali tidak akan kembali (kepada Tuhannya).
015_00	(Bukan demikian), yang benar, sesungguhnya Tuhannya selalu melihatnya.
016_00	Maka sesungguhnya Aku bersumpah dengan cahaya merah di waktu senja,
017_00	dan dengan malam dan apa yang diselubunginya,
018_00	dan dengan bulan apabila jadi purnama,
019_00	sesungguhnya kamu melalui tingkat demi tingkat (dalam kehidupan),
020_00	Mengapa mereka tidak mau beriman?
021_00	dan apabila Al Quran dibacakan kepada mereka, mereka tidak bersujud,
022_00	bahkan orang-orang kafir itu mendustakan(nya).
023_00	Padahal Allah mengetahui apa yang mereka sembunyikan (dalam hati mereka).
024_00	Maka beri kabar gembiralah mereka dengan azab yang pedih,
025_00	tetapi orang-orang yang beriman dan beramal saleh, bagi mereka pahala yang tidak putus-putusnya.
