001_00	Alif, Lâm, Mîm, Sâd,
002_00	è un Libro che è stato fatto scendere su di te, non sia, a causa sua, alcuna oppressione sul tuo petto, ché con esso tu ammonisca e sia un monito per i credenti.
003_00	Seguite quello che vi è stato rivelato dal vostro Signore e non abbiate altri patroni, che Lui. Quanto poco ve ne ricordate!
004_00	Quante città abbiamo distrutte! Le colpì la Nostra severità di notte o durante il riposo notturno o pomeridiano.
005_00	Quando li colpì la Nostra severità, non poterono implorare, ma solo dire: “Sì, siamo stati ingiusti!”.
006_00	Certamente interrogheremo coloro a cui inviammo e certamente interrogheremo gli inviati.
007_00	Poi riferiremo loro [le loro azioni] con perfetta conoscenza, poiché mai siamo stati assenti.
008_00	In quel Giorno la pesatura sarà conforme al vero e coloro, le cui bilance saranno pesanti, prospereranno,
009_00	mentre coloro le cui bilance saranno leggere, sono coloro che perderanno le anime, poiché hanno prevaricato sui Nostri segni.
010_00	In verità vi abbiamo posti sulla terra e vi abbiamo provvisti in essa di sostentamento. Quanto poco siete riconoscenti!
011_00	In verità vi abbiamo creati e plasmati, quindi dicemmo agli angeli: “Prosternatevi davanti ad Adamo”. Si prosternarono ad eccezione di Iblîs, che non fu tra i prosternati.
012_00	Disse [Allah]: “Cosa mai ti impedisce di prosternarti, nonostante il Mio ordine?”. Rispose: “Sono migliore di lui, mi hai creato dal fuoco, mentre creasti lui dalla creta”.
013_00	“Vattene! - disse Allah - Qui non puoi essere orgoglioso. Via! Sarai tra gli abietti.”
014_00	“Concedimi una dilazione - disse - fino al Giorno in cui saranno risuscitati.”
015_00	“Sia - disse Allah - ti è concessa la dilazione.”
016_00	Disse: “Dal momento che mi hai sviato, tenderò loro agguati sulla Tua Retta via,
017_00	e li insidierò da davanti e da dietro, da destra e da sinistra, e la maggior parte di loro non Ti saranno riconoscenti”.
018_00	“Vattene - disse [Allah] - scacciato e coperto di abominio. Riempirò l'Inferno di tutti voi, tu e coloro che ti avranno seguito.”
019_00	[E disse]: “O Adamo, abita il Paradiso insieme con la tua sposa; mangiate a vostro piacere ma non avvicinatevi a questo albero, ché allora sareste tra gli ingiusti”.
020_00	Satana li tentò per rendere palese [la nudità] che era loro nascosta. Disse: “Il vostro Signore vi ha proibito questo albero,
020_01	affinché non diventiate angeli o esseri immortali”.
021_00	E giurò: “In verità sono per voi un consigliere sincero”.
022_00	Con l'inganno li fece cadere entrambi. Quando ebbero mangiato [dei frutti] dell'albero, si accorsero della loro nudità e cercarono di coprirsi con le foglie del Giardino.
022_01	Li richiamò il loro Signore: “Non vi avevo vietato quell'albero, non vi avevo detto che Satana è il vostro dichiarato nemico?”.
023_00	Dissero: “O Signor nostro, abbiamo mancato contro noi stessi. Se non ci perdoni e non hai misericordia di noi, saremo certamente tra i perdenti”.
024_00	“Andatevene via - disse Allah - nemici gli uni degli altri! Avrete sulla terra dimora e godimento prestabilito.
