001_00	سوێند به‌کێوی _ طور _ (که‌خوای گه‌وره‌گفتوگۆی له‌گه‌ڵ موسادا له نزیکی ئه‌نجامدا).
002_00	سوێند به‌کتێبی نوسراو که (لوح المحفوظه‌).
003_00	که‌له‌لاپه‌ڕه‌ی ته‌نگی گرنگدایه‌
004_00	: سوێند _ به‌که‌عبه‌_ که‌هه‌میشه ئاوه‌دانه به نوێژكه‌ران، وه (ئه‌وانه‌ی بۆ حه‌ج و عه‌مره‌ده‌چن) هه‌روه‌ها (بیت المعمور) شوێنێکه له‌ئاسمانی حه‌وته‌م که‌دیاریکراوه بۆ خواپه‌رستی فریشته‌کان هه‌روه‌ک چۆن که‌عبه پیرۆزه لای ئیمانداران، (له‌فه‌رموده‌یه‌کی ڕاست و دروستدا ئاماژه‌ی بۆ کراوه‌).
005_00	هه‌روه‌ها سوێند به‌سه‌قفی به‌رزو بڵند (که‌ئاسمان ده‌گرێته‌وه‌، خوای گه‌وره‌ده‌یه‌وێت سه‌رنجمان ڕاکێشێت بۆ لای).
006_00	سوێند به‌ده‌ریای پڕ له‌ئاو یان ده‌ریای داگیرساو (که‌قیامه‌ت داده‌گرسێت و ده‌ته‌قێته‌وه‌).
007_00	(په‌روه‌ردگاری مه‌زن سوێند به‌و هه‌موو شتانه‌ده‌خوات، ئینجا ده‌فه‌رموێت): به‌ڕاستی سزاو ئازاری په‌روه‌ردگاری تۆ ئه‌ی محمد (صلی الله علیه وسلم) هه‌ر پێش دێت.
008_00	که‌سیش ناتوانێت به‌ری بگرێت و ده‌ستی پێوه بنێت و نه‌هێڵێت.
009_00	ئه‌و ڕۆژه ئه‌ستێره وهه‌سه‌ره‌کانی ئاسمان هه‌موو به‌یه‌کدا ده‌ده‌ن، (خوای گه‌وره‌تێکیان ده‌دات وهه‌ڵیان ده‌وه‌شێنێت)
010_00	کێوه‌کانیش له‌جێی خۆیان ده‌جوڵێن و ده‌ڕۆن، (وه‌ک خۆری، وه‌ک هه‌ور، زه‌ویان پێ ته‌خت ده‌کرێت).
011_00	که‌واته واوه‌یلا و هاوار بۆ ئه‌وانه‌ی که‌باوه‌ڕیان به‌حه‌ق و ڕاستی نه‌کرد و به‌درۆیان ده‌زانی له‌و ڕۆژه‌دا.
012_00	ئه‌وانه‌ی که‌رۆچووه و گاڵته ده‌که‌ن به‌ئیسلام و پێغه‌مبه‌ر و قورئان.
013_00	رۆژێک دێت به‌توندی پاڵیان پێوه ده‌نرێت بۆ ناو دۆزه‌خ (ده‌نگ له‌سینه‌وه‌یانه‌وه دێت ئه‌وه‌نده‌پاڵه‌که تونده‌).
014_00	پێیان ده‌وترێت ئه‌مه‌ئه‌و ئاگرو دۆزه‌خه‌یه که‌کاتی خۆی بڕواتان پێی نه‌بوو به‌گاڵته‌تان گرتبوو
015_00	باشه‌، ئه‌مه‌جادووه‌نیشانتان ده‌درێت یان ئێوه ڕاستی نابینن؟!
016_00	ده‌بێت بچنه‌ناوی و سزا بچێژن، جا ئیتر خۆڕاده‌گرن یان خۆڕاناگرن وه‌ک یه‌که بۆتان، بێگومان یان خۆڕاناگرن وه‌ک یه‌که بۆتان، بێگومان تۆڵه‌ی ئه‌و کاروکرده‌وانه‌تان هه‌ر ده‌درێته‌وه که‌ده‌تانکرد.
017_00	له‌ولاشه‌وه‌به‌ڕاستی ئه‌وانه‌ی که‌له‌دنیادا خواناس و دینداربوون، له‌باخه‌کانی به‌هه‌شت و ناز و نیعمه‌تدا، ژیانی پڕ له‌به‌ختیاری و کامه‌رانی ده‌به‌نه‌سه‌ر.
018_00	زۆر که‌یف خۆش و دڵخۆش و ڕووخۆشن به‌و به‌خششانه‌ی که په‌روه‌ردگاریان پێی به‌خشیون، هه‌ر په‌روه‌ردیگاریشیان له‌سزاو تاڵاوی دۆزه‌خ پاڕاستونی.
019_00	پێیان ده‌وترێت بخۆن و بخۆنه‌وه نۆشی گیانتان بێت له‌پاداشتی کرده‌وه‌ی چاک و ڕێک و پێکتاندا
020_00	ئه‌و به‌خته‌وه‌رانه‌به‌که‌ماڵی ئیسراحه‌ت) پاڵیان داوه‌ته‌وه‌له‌سه‌ر کورسی و قه‌نه‌فه‌رازاوه‌کان، که‌به‌شێوه‌یه‌کی جوان و ڕێک ڕیز کراون، ئێمه هاوسه‌رانی حۆری چاوگه‌شه‌مان لێ ماره‌کردوون
021_00	جا ئه‌وانه‌ی باوه‌ڕیان هێناوه و نه‌وه‌کانیشیان به‌ئیمان و باوه‌ڕه‌وه شوێنیان که‌وتوون، ئه‌وانه‌له‌به‌هه‌شتدا پێک شاد ده‌که‌ینه‌وه (تا کامه‌رانی و خۆشییان زیاتر بێت)،
021_01	وه‌نه‌بێت ئه‌وانه‌ی که‌پله‌ی به‌رزیان ده‌ستکه‌وتووه‌دایان به‌زێنین بۆ پله‌ی نزمتر، چونکه‌ئێمه پاداشتی کرده‌وه‌ی که‌س که‌م ناکه‌ینه‌وه (ئه‌گه‌ر زیادی نه‌که‌ین) له‌هه‌مان کاتدا هه‌رکه‌سه‌بارمته‌ی کرده‌وه‌ی خۆیه‌تی
022_00	به‌رده‌وام حه‌زیان له‌هه‌ر میوه و گۆشتێک بێت پێشکه‌شیان ده‌که‌ین
023_00	به‌دڵ خۆشیه‌وه له‌کاسی تایبه‌تیدا شه‌راب ده‌نۆشن، جار جار بۆ خۆشی له‌یه‌کتری ده‌سێنن، دوور له‌ره‌فتاری ناشیرین و گوناهو تاوانبارکردنی یه‌کتر
024_00	هه‌روه‌ها منداڵانی جوان و ئێسک سووک به‌ده‌وریاندا دێن و خزمه‌تیان ده‌که‌ن ده‌ڵێی مرواری پاک و بێگه‌ردن
025_00	(جا دوای ئه‌و عه‌یش و نۆش و که‌یف و ئاهه‌نگه‌) ڕووده‌که‌نه‌یه‌کترو ده‌سته‌ده‌سته‌له‌یه‌ک نزیک ده‌بنه‌وه‌، پرسیار له‌رابوردوی یه‌کتر ده‌که‌ن (دیاره هه‌رکه‌سه‌له‌و به‌یه‌کگه‌یشتنانه‌دا به‌شێک له‌سه‌رگوزه‌شته‌ی خۆی نیشانی ئیماندارانی هاوه‌ڵ و میوانی ده‌دات، له‌گه‌ڵ ڕوونکردنه‌وه‌ی پێویستدا، که‌به‌ده‌زگای زۆر پێشکه‌وتوو تۆمارکراوه‌)
026_00	سه‌ره‌نجام هه‌موو به‌یه‌ک ده‌نگ ده‌ڵێن: به‌ڕاستی (کارێکی چاکمان ده‌کرد سوپاس بۆ خوا) چونکه‌کاتی خۆی که‌له‌ناو ماڵ و خێزانماندا بووین، ترسی لێپرسینه‌وه‌ی ڕۆژی قیامه‌تمان هه‌بوو، هه‌روه‌ها به‌به‌زه‌ییش بووین له‌ناویاندا و مه‌به‌ستمان بوو ئه‌وانیش وه‌ک ئێمه خواناس بن
027_00	به‌هۆی ئه‌وه‌وه‌خوای میهره‌بانیش لای ڕه‌حمه‌تی لێ کردینه‌وه و منه‌تباری کردین و له‌سزای دۆزه‌خی پڕئێش پاڕاستینی
028_00	به‌ڕاستی ئێمه کاتی خۆی هاناو هاوارمان هه‌ر بۆ ئه‌و ده‌بردو ده‌مانپه‌رست، چونکه‌بێگومان هه‌ر ئه‌و زاته‌خوایه‌کی چاکه‌خوازو میهره‌بان و دلۆڤانه‌
029_00	ئه‌ی محمد (صلی الله علیه وسلم) ئامۆژگاری ئه‌وخه‌ڵکه بکه‌، چونکه‌به‌هۆی نازو نیعمه‌تی په‌روه‌ردگارته‌وه‌نه‌فاڵچیت، نه‌شێتی
030_00	خوانه‌ناس و دڵڕه‌قه‌کان ده‌ڵێن: ئه‌مه‌شاعیرێکه و چاوه‌ڕوانی مه‌رگی ده‌که‌ین!!
031_00	پێیان بڵێ: چاوه‌ڕێ بن منیش له‌گه‌ڵ ئێوه‌دا چاوه‌ڕێم (بزانین سه‌رئه‌نجام کێ سه‌رده‌که‌وێت، کێ سه‌رفرازه‌؟)
032_00	ئایا پیاوه ژیره‌کانیان پێیان ده‌ڵێت: ئه‌و قسه‌ناڕه‌وایانه بکه‌ن، نه‌خێر ئه‌مانه‌هه‌ر خۆیان که‌سانێکی سته‌مکارن؟
033_00	یان ده‌ڵێن: ئه‌م قورئانه‌خۆی هه‌ڵیبه‌ستووه‌و دایڕشتووه‌، نه‌خێر ئه‌وانه‌، هه‌ر ئیمان و باوه‌ڕیان نیه (ئه‌گینا چۆن وا ده‌ڵێن).
034_00	(ده‌ی که‌واته‌خۆ ئه‌وانیش قسه‌زان و لێزانن) ده‌با فه‌رمایشتێکی ئاوا وه‌ک ئه‌م قورئانه‌بهێنن ئه‌گه‌ر ڕاست ده‌که‌ن؟!
035_00	ئایا ئه‌وانه‌به‌بێ هیچ شتێک، هیچ هۆیه‌ک، هاتوونه‌ته‌کایه‌وه؟! یان هه‌ر خۆیان دروستکارن؟!
036_00	یان ئه‌و بێ باوه‌ڕانه ئاسمانه‌کان و زه‌ویان دروستکردووه‌؟ نه‌خێر ئه‌وانه‌هه‌ر دڵنیا نابن
037_00	یان ئه‌وه‌یه گه‌نجینه‌ی ڕزق و ڕۆزیه‌کانی په‌روه‌ردگاری تۆیان به‌ده‌سته‌؟! یان ئه‌وه‌یه ده‌سه‌ڵاتیان بێ سنووره‌؟ (تا ئاوا بوێرن له‌خوا یاخی بن؟)
038_00	یان ئه‌وانه‌په‌یژه‌یان هه‌یه‌و پیایدا سه‌رده‌که‌ون، تا گوێ له‌نهێنیه‌کانی ئاسمان بگرن؟! ده‌با گوێگره‌کانیان به‌ڵگه‌یه‌کی ئاشکرا په‌یدا بکه‌ن (ئه‌وسا مله‌جه‌ڕی بکه‌ن).
039_00	ئایا ئه‌وه‌ڕاسته‌که‌کچان، نه‌وه‌ی خوابن و کوڕانیش نه‌وه‌ی ئێوه؟! (به‌مه‌رجێک خۆیان له‌کچان بێزاربوون، به‌ڵام بۆ خوا به‌ره‌وایان بینیوه؟!).
040_00	یان ئه‌وه‌یه داوای کرێ و پاره‌یان لێ ده‌که‌یت، تا بارێکی گران بده‌ی به‌کۆڵیانداو پێیان هه‌ڵنه‌سوڕێت!!
041_00	یان ئه‌وه‌یه که‌نهێنی و شاراوه‌کان لای ئه‌وانه‌و، ئه‌وان یاداشتی خه‌ڵکی ده‌نووسن، (یان ئه‌وان بڕیاری به‌سه‌رهاته‌کان ده‌ده‌ن)؟!
042_00	یان ئه‌وانه‌ده‌یانه‌وێت پیلان و ته‌ڵه‌یه‌ک ڕێک بخه‌ن (دژی پێغه‌مبه‌ر و ئیمانداران، به‌ڵام خه‌یاڵیان خاوه‌) ئه‌وانه‌ی که‌کافروخوانه‌ناسن هه‌ر خۆیان که‌وتوونه‌ته‌ناو پیلانه‌وه و بون به‌ته‌ڵه‌ی خۆیانه‌وه‌، پیلانه‌کانیان به‌سه‌ر خۆیاندا شکاوه‌ته‌وه‌.
043_00	یان ئه‌وانه‌وابیرده‌که‌نه‌وه که‌خوایه‌کی تریان جگه‌له (الله) هه‌یه؟! پاکی و بێگه‌ردی بۆ خوا (له‌بیروباوه‌ڕی چه‌وتیان)، له‌و شتانه‌ی که‌ئه‌وان ده‌یکه‌نه هاوه‌ڵ بۆ خوا.
044_00	خۆ ئه‌گه‌ر (له‌ئه‌نجامی لادان و بیروباوه‌ڕی چه‌وتیان و کاری نادروستیان خوای گه‌وره‌سزایه‌کیان بۆ بنێرێت) و پارچه (ئه‌ستێره‌یه‌کیان) تێ بگرێت و ڕوو به‌زه‌وی دابه‌زێت ئه‌و نه‌فامانه‌ده‌ڵێن: هیچ نیه!! په‌ڵه هه‌وره‌و نیشتۆته سه‌ریه‌ک!!
045_00	وازیان لێ بهێنه هه‌تا به‌و ڕۆژه ده‌گه‌ن که‌تایدا تیاده‌چن و لاڵ و پاڵ ده‌که‌ون
046_00	ئه‌و ڕۆژه ئیتر فێڵ و ته‌ڵه‌که‌یان به‌هیچ جۆرێک فریایان ناکه‌وێت و سه‌رکه‌وتوو سه‌رفراز نابن
047_00	بێگومان بۆ ئه‌وانه‌ی که‌سته‌میان کردووه‌سزای تریش هه‌یه بێجگه له‌وه‌ی که‌جار جار بۆیان پێش دێت پێش تیاچوونی یه‌کجاری، به‌ڵام زۆربه‌یان نافامن و نازانن (هه‌ست به‌ده‌ستی قه‌ده‌ر ناکه‌ن له‌رووداوه‌کاندا)
048_00	ئه‌ی پێغه‌مبه‌ر (چلی الله علیه وسلم) خۆگربه له‌به‌رامبه‌ر به‌جێهێنانی فه‌رمانی په‌روه‌ردگارته‌وه‌، دڵنیابه که‌تۆ له‌ژێر چاودێری ئێمه‌دایت، هه‌روه‌ها ته‌سبیحات و ستایش و سوپاسگوزاری په‌روه‌ردگارت بكه‌کاتێک که‌به‌ره‌به‌یان هه‌ڵده‌سێت
049_00	له‌شه‌وگاریشدا هه‌ر بیپه‌رسته و ستایشی بکه‌، هه‌روه‌ها کاتێک ئه‌ستێره‌کان ون ده‌بن له‌چاو دیار نامێنن
