001_00	کاتێك دێت ئاسمان له‌ت و په‌ت ده‌بێت.
002_00	گوێڕایه‌ڵی فه‌رمانی په‌روه‌ردگاری ده‌بێت، حه‌ق وایه و پێویسته له‌سه‌ری ئاوا فه‌رمانبه‌ردار بێت.
003_00	هه‌روه‌ها کاتێك دێت زه‌ویش پان و به‌رین ده‌بێته‌وه (تا جێگه‌ی هه‌مووانی له‌سه‌ر ببێته‌وه‌، که ئه‌مه ئاماژه‌یه‌، بۆ ته‌خت بوونی).
004_00	هه‌رچی له‌ناویدا هه‌یه فڕێی ده‌داته سه‌ر ڕووکاری و خۆی خاڵی ده‌کات.
005_00	گوێڕایه‌ڵی فه‌رمانی په‌روه‌ردگاری ده‌بێت، حه‌ق وایه و پێویسته له‌سه‌ری ئاوا فه‌رمانبه‌ردار بێت.
006_00	ئه‌ی ئینسان به‌ڕاستی تۆ خۆت زۆر ماندوو ده‌که‌یت، زۆر ڕه‌نج و زه‌حمه‌ت ده‌کێشیت، سه‌رئه‌نجامیش ده‌بێ بگه‌ڕێیته‌وه بۆ لای په‌روه‌ردگارت (تا پاداشتی ڕه‌نج و هه‌وڵه‌که‌ت وه‌ربگریت).
007_00	جا ئه‌وه‌ی دۆسیه‌ی کرده‌وه‌کانی درایه ده‌ستی ڕاستی...
008_00	ئه‌وه له‌مه‌ودا لێپرسینه‌وه‌یه‌کی زۆر ئاسانی له‌گه‌ڵدا ده‌کرێت.
009_00	به‌دڵی خۆش و ڕووی خۆشه‌وه ده‌گه‌ڕێته‌وه بۆ ناو که‌سوکاری چاکو خواناسی، بۆ ناو ئیمانداران (سه‌ره‌ڕای حۆری و غلمان و ولدان).
010_00	(به‌ڵام) ئه‌وه‌ی دۆسیه‌ی کرده‌وه‌کانی له پشتیه‌وه درایه ده‌ستی.
011_00	ئه‌وه له‌مه‌ولا هاوارو دادی لێبه‌رزدبێته‌وه و ده‌ڵێت: خوایه مه‌رگ، خوایه بمکوژه‌، خوا له‌ناوم به‌ره‌.
012_00	ده‌خرێته ناو دۆزه‌خ.
013_00	چونکه به‌ڕاستی ئه‌و جۆره که‌سه کاتی خۆی له‌ناو ماڵ و خێزانیدا به‌که‌یف و ئاهه‌نگی ناشه‌رعی، به به‌رپاکردنی سفره‌و خوانی حه‌رام دڵی خۆش بوو (مه‌به‌ستی ڕابواردنی حه‌رام بوو).
014_00	بڕوای وابوو که هه‌رگیز زیندوو بوونه‌وه و گه‌ڕانه‌وه و لێپرسینه‌وه نیه‌.
015_00	نه‌خێر به‌گومانی ئه‌و نه‌بوو، په‌روه‌ردگاری چاك ئاگاداری کارو کرده‌وه‌کانی بوو و ده‌یبینی چی ده‌کات.
016_00	سوێندم (به‌و کاته‌ی دوای خۆرئاوا بوون) ئاسۆ سوور هه‌ڵده‌گه‌ڕێت.
017_00	به شه‌وو ئه‌وه‌ی که کۆی ده‌کاته‌وه (شه‌وگار ئاده‌میزاد له‌ماڵی خۆیدا و، گیانداران له شوێنی خۆیان و باڵنده‌کان له هێلانه‌کانیاندا کۆده‌کاته‌وه‌).
018_00	به‌مانگی چوارده‌ش کاتێك تێرو ته‌واوو گه‌وره و دره‌خشان ده‌بێت.
019_00	ئێوه تێده‌په‌ڕن و گۆڕانکاری و حاڵاتی زۆرتان به‌سه‌ردێت (بۆ نموونه‌: له مناڵی، بۆ لاوی، بۆ پیری، بۆ مه‌رگ، بۆ به‌رزه‌خ، بۆ قیامه‌ت، له‌وه‌ودواش بۆ به‌هه‌شت یان دۆزه‌خ)، یاخود له ساغی، بۆ نه‌خۆشی یان به‌پێچه‌وانه‌وه‌.. له هه‌ژاریی، بۆ ده‌وڵه‌مه‌ندی یان پێچه‌وانه‌وه‌، له قیامه‌تیشدا له به‌هه‌شتدا ئیمانداران به‌رده‌وام به‌ره‌و ته‌واوترو چاکتر ده‌برێن).
020_00	که‌واته‌، ئه‌و خوانه‌ناسانه چیانه و بۆچی ئیمان ناهێنن؟
021_00	کاتێک قورئانیش به‌سه‌ریاندا ده‌خوێنرێته‌وه‌، سوژده نابه‌ن و ملکه‌چ نابن؟
022_00	دیاره که بێ باوه‌ڕان به‌رده‌وام ڕاستیه‌کان به‌درۆ ده‌زانن، به‌ڵکو باوه‌ڕی پێناکه‌ن.
023_00	خوایش چاک ئاگاو زانایه به‌وه‌ی که له دڵ و ده‌روونیاندا شاردوویانه‌ته‌وه (له بوغزو کینه و پیلان، دژی ئیسلام و موسڵمانان).
024_00	(که‌واته‌)، مژده‌ی ئازارو سزایه‌کی به‌ئێشیان پێ بده‌!!
025_00	جگه له‌وانه‌ی که ئیمان و باوه‌ڕیان هێناوه و کارو کرده‌وه‌ی چاکیان ئه‌نجامداوه‌، پاداشتی نه‌بڕاوه و بێ منه‌ت چاوه‌ڕێیانه‌.
