001_00	Kâf Ha Ya 'Ain Shâd,
002_00	(Dit is) een vermelding van Barmhartigheid van jouw Heer aan Zijn dienaar Zakariyyâ.
003_00	(Gedenkt) toen hij zachtjes zijn smeekbeden tot zijn Heer richtte.
004_00	Hij (Zakariyyâ) zei: "O mijn Heer, voorwaar, mijn botten zijn zwak en mijn haar is grijs glanzend, nooit ben ik, O Heer, teleurgesteld geraakt in mijn smeekbeden tot U.
005_00	En ik bein bang voor (het ontbreken van) mijn nakomelingen na mij, want mijn vrouw is onvruchtbaar. Dus schenk mij van Uw Zijde een nakomeling.
006_00	Die van mij zal erven en van de familie van Ya'qôeb. Mijn Heer, maak hem U welgevallig."
007_00	(Allah zei:) "O Zakariyyâ, Wij brengen jou de verbeugende tijding van een jongen, Yahya genaamd. Wij gaven niemand eerder deze naam."
008_00	Hij (Zakariyyâ) zei: "O mijn Heer, voorwaar, hoe kan ik een jongen krijgen terwijl mijn vrouw onvruchtbaar is? En waarlijk, ik heb een hoge leeftijd bereikt."
009_00	Hij (Allah) zei: "Zo zal het zijn, jouw Heer zegt: het is makkelijk voor Mij. En voorwaar. Ik heb jou hiervoor geschapen toen jij niets was."
010_00	Hij zei: "O mijn Heer, geef mij een Teken." Hij (Allah) zei: "Jouw Teken is dat jij gedurende drie nachten niet zult spreken met de mensen, hoewel jij gezond bent."
011_00	Toen kwam hij van de plaats van gebed naar zijn volk, en gebaarde hen: "Looft (Allah's) glorie in de ochtend en de avond."
012_00	(Allah zei:) "O Yahya, neem de Schrift stevig aan." En Wij gaven de Wijsheid aan hem, terwijl hij jong was.
013_00	Als genegenbeid van Onze Zijde en reiniging. En hij vreesde (Allah).
014_00	En hij was goed voor zijn ouders en hij was niet arrogant en ongehoorzaam.
015_00	Vrede zij met hem op de dag dat hij geboren werd en de dag dat hij sterft en op de dag dat hij tot leven wordt opgewekt.
016_00	En noem in het boek (de Koran) Maryam, toen zij zich terugtrok van haar familie naar een oostelijke plaats (in de tempel).
017_00	En zich van hen afzonderde achter een scherm. Vervolgens zonden Wij haar Onze Geest (Djibrîl) en hij verscheen aan haar als een volmaakt mens.
018_00	Zij zei: "Ik zoek mijn bescherming bij de Barmhartige tegen jou, als jij (Allah) vreest."
019_00	Hij zei: "Voorwaar, ik ben slechts een gezant van jouw Heer, om jou een reine jongen te schenken."
020_00	Zij zei: "Hoe kan ik een jongen krijgen terwijl geen man mij heeft aangeraakt, ik ben geen onzedelijke vrouw."
021_00	Hij zei: "Zo is het, jouw Heer heeft gezegd: 'Dit is makkelijk voor Mij. En opdat Wij hem tot een Teken voor de mensen maken en als Barmhartigheid van Ons. En het is een vastgestelde zaak."
022_00	En zo droeg zij hem en trok zich niet hem terug op een verre plek.
023_00	En de geboorteweeën dwongen haar naar de stam van een palmboom te gaan. Zij zei: "Was ik maar hiervoor gestorven en volledig vergeten geweest."
024_00	Toen riep hij (Djibrîl) haar van beneden de palmboom: "Treur niet, want jouw Heer heeft een boekje beneden jou verschaft.
025_00	En schud de stam van de palmboom naar jou toe, dan zullen er rijpe dadels op jou vallen.
