001_00	Ha Mîm.
002_00	Bij het duidelijke Boek. (de Koran)
003_00	Voorwaar, Wij hebben hem als een Arabische Koran gemaakt Hopelijk zullen jullie begrijpen.
004_00	En voorwaar, bij is bij Ons vastgelegd in de Moeder van de Schrift (Lauhoelmahfôezh), verheven en wijs.
005_00	Zullen Wij dan de Vermaning van jullie weghouden, Ons afwendend, omdat jullie een buitensporig volk zijn?
006_00	En hoeveel Profeten hebben Wij niet gezonden naar de vroegeren?
007_00	En er kwam geen Profeet tot hen, of zij dreven de spot met hem.
008_00	En Wij hebben (volken) vernietigd die machtiger waren dan zij. En de voorbeelden van de vroegeren zijn (hen) voorafgegaan.
009_00	En als jij hen vraagt wie de hemelen en de aarde heeft geschapen, dan zullen zij zeker zeggen: "De Almachtige, de Alwetende heeft hen geschapen."
010_00	Degene Die de aarde tot een uitspreide plaats heeft gemaakt en Die daarin voor jullie wegen heeft gemaakt. Hopelijk zullen jullie Leiding volgen.
011_00	En Degene Die uit de hemel water heeft doen neerdalen, volgens een bepaalde maat. Dan doen Wij daarmee dode aarde leven. Op die manier zullen jullie opgewekt worden.
012_00	En Degene Die alle soorten heeft geschapen en Die voor jullie schepen en vee heeft gemaakt, waarop jullie kunnen rijden.
013_00	Opdat jullie stevig op hun ruggen zullen zitten en dan de gunst van jullie Heer gedenken. Wanneer jullie op hen zitten, zeggen jullie: "Soebhânalladzi sachchara lanâ hâdzâ wâ mâ koennâ lahoe moeqrimîn, " (Heilig is Degene Die dit voor ons dienstbaar heeft gemaakt, en wij hebben er geen macht over)
014_00	"Wa innâ ilâ rabbinâ lamoenqalibôen." (En voorwaar, tot onze Heer zullen wij zeker terugkeren.)
015_00	En zij stelden naast Hem dienaren van Hem aan als een deel van Hem. Voorwaar, de mens is zeker een duidelijke zeer ondankbare.
016_00	Of heeft Hij zich van wat Hij geschapen heeft dochters genomen en voor jullie zonen verkozen?
017_00	En wanneer een van hen het verheugende bericht wordt gegeven over wat zij de Erbarmer toeschrijven (een dochter), dan betrekt zijn gezicht en is hij verbitterd.
018_00	En is hij die temidden van sieraden is grootgebracht en die in het debat geen duidelijk argument kain aanvoeren (een kind van Allah)?
019_00	En zij maken de Engelen, degenen die dienaren van de Erbarmer zijn, tot vrouwen. Getuigden zij van hun schepping? Hun getuigenissen zullen worden opgetekend en zij zullen worden ondervraagd.
020_00	En zij zeiden: "Als de Erbarmer het had gewild, dan zouden wij hen niet hebben aanbeden. Zij hebben daarover geen kennis, zij liegen slechts.
021_00	Of hebben Wij hun v??r hem (de Koran) een Boek gegeven, dat zij daarna vasthielden?
022_00	Zij zeiden zelfs: "Voorwaar, Wij troffen onze voorvaderen aan in een godsdienst. En voorwaar, wij volgen hun geloof."
023_00	En zo zonden Wij v??r jou geen waarschuwer naar een stad, of de bewoners ervan, die in weelde leefden, zeiden: "Voorwaar, wij troffen onze voorvaderen aan in een godsdienst. En voorwaar, Wij volgen hun godsdienst."
024_00	Hij (de Boodschapper) zei: "Ook als ik jullie een rechtere Leiding heb gebracht do wat jullie bij jullie voorvaderen hebben aangetroffen?" Zij zeiden: "Voorwaar, wij verwerpen dat waar jullie mee gezondest zijn."
025_00	Toen vergolden Wij hun, en zie wat het einde was van de leugenaars.
026_00	En (gedenkt) toen Ibrâhîm tot zijn vader en zijn volk zei: "Voorwaar, Ik ben niet verantwoordelijk voor wat jullie aanbidden.
027_00	Behalve (voor mijn aanbidding van) Degene Die mij heeft geschapen: voorwaar, Hij zal mij leiden."
028_00	En hij maakte het (getuigen van de eenheid van Allah) tot een blijvend woord onder zijn nakomelingen. Hopelijk zullen zij terugkeren.
029_00	Ik gaf zelfs genietingen aan hen en aan hun vaderen, totdat de Waarheid en een verduidelijkende Boodschapper tot hen kwamen.
030_00	Maar toen de Waarheid tot hen kwam, zeiden zei: "Dit is tovenarij: en voorwaar, wij geloven er niet in."
031_00	En zij zeiden: "Was deze Koran maar neergezonden aan en vooraanstaande man in (ieder van) de twee steden!"
032_00	Zijn zij het, die de Barmhartigheid van jouw Heer uitdelen? Wij zijn het, die hun levensonderhoud uitdelen in het wereldse leven.
032_01	En Wij verhieven sommigen van het in rang boven sommige anderen, opdat de ene groep de andere groep tot een bron van bespotting zal maken. En de Barmhartigheid van jouw Heer is beter dan wat zij verzamelen.
033_00	En als de mensheid dan niet tot één (ongelovige) godsdienst zou worden, dan hadden Wij voor degenen die niet in de Erbarmer geloven, de daken van hun huizen van zilver gemaakt, en ook de trappen waarlangs zij omhoog gaan.
034_00	En voor hun huizen (zilveren) deuren en rustbanken waarop zij zich neervleien.
035_00	En (gouden) versieringen. En dat alles is slechts een vergankelijke genieting van het aardse leven, mar het Hiernamaals is bij jouw Heer voor de Moettaqôen.
036_00	Ein wie nalating is in het gedenken van de Erbarmer; voor hem zullen Wij een Satan aanstellen en die zal een metgezel voor hem zijn.
037_00	En voorwaar, zij zullen hen zeker afhouden van de Weg en zij denken dat zij rechtgeleid zijn.
038_00	Totdat, wanneer hij tot Ons komt, hij (tot zijn metgezel) zegt: "O wee, was de afstand tussen mij en jou maar als die tussen de zonsopgang en de zonsondergang, (jij bent) de slechtste metgezel."
039_00	Maar het zal jullie op die Dag niet baten, wanneer jullie onrecht pleegden, dat jullie in de bestraffing bijelkaar zijn.
040_00	Kan jij dan de dove doen horen, of de blinde (van hart) leiden, of hij die in duidelijke dwaling verkeert?
041_00	Als Wij jou dan wegnemen (v??rdat Wij hen bestraffen), dan zullen Wij hen zeker bestraffen.
042_00	Of Wij laten jou zien, wat Wij hun hebben aangezegd: voorwaar, Wij zijn Machthebbers over hen.
043_00	Houd je daarom vast aan wat aan jou is geopenbaard. Voorwaar, jij bevindt je op het rechte Pad.
044_00	En voorwaar, hij (de Koran) is een eer voor jou en jouw volk. En zij zullen worden ondervraagd.
045_00	En vraag aan wie Wij v??r jou hebben gezonden van Onze Boodschappers: "Hebben Wij naast de Erbarmer goden gemada om te aanbidden?"
046_00	En voorzeker, Wij hebben Môesa met Onze Tekenen naar Fir'aun en zijn vooraanstaanden gezonden, en hij zei toen: "Voorwaar, ik ben een Boodschapper van de Heer der Werelden."
047_00	Toen hij tot hen met Om Tekenen kwam, toen lachten zij erom.
048_00	En Wij lieten hun geen Teken zien, of het ene was nog erger dan het andere. En Wij grepen ben met de bestraffing. Hopelijk zullen zij terugkeren.
049_00	En zij zeiden: "O tovenaar, roep voor ons jouw Heer aan op grond van wat Hij jou beloofd heeft. Voorwaar, wij zullen zeker rechtgeleidenen worden."
050_00	Toen Wij dan de bestraffing van hen hadden weggenomen, braken zij hun belofte.
051_00	En Fir'aun riep tot zijn volk, hij zei: "O mijn volk, is het koninkrijk van Mishr (Egypte) niet van mij? En deze rivieren, stromen die niet onder mij? Zien jullie dat niet in?
052_00	Ik ben zelfs beter dan die veractelijke en hij kan bijna niet duidelijk spreken.
053_00	Waren er maar gouden sieraden om hem gehangen of Engelen met hem meegekomen die hem vergezelden."
054_00	Hij (Fir'aun) misleidde zijn volk, zodat zij hem volgden. Voorwaar, zij waren een zwaar zondig volk.
055_00	Toen zij Onze woede hadden opgewekt bestraften Wij hen en verdronken Wij hen allen.
056_00	Toen maakten Wij hen tot een voorbeeld en een lering voor de lateren.
057_00	En toen de zoon van Maryam als een voorbeeld werd genomen, schreeuwde jouw volk (O Moehammad) daarover.
058_00	En zij zeiden: "Zijn onze goden beter, of hij ('Isa)?" En zij gaven dit voorbeeld slechts om te redetwisten. Zij zijn zelfs een volk van redetwisters.
059_00	Hij is slechts een dienaar aan wie Wij genietingen hebben geschonken. En Wij maakten hem tot een voorbeeld voor de Kinderen van Israël.
060_00	En als Wij zouden willen, dan zouden Wij zeker op aarde Engelen maken die jullie opvolgen.
061_00	En voorwaar, het (terugkeren van 'Isa op de aarde) is een Teken (van het naderen) van het Uur. Twijfelt er daarom niet aan en volgt Mij. Dit is het rechte Pad.
062_00	En laat de Satan jullie niet affhouden: voorwaar, hij is voor jullie een duidelijke vijand.
063_00	En toen 'Isa met de duidelijk bewijzen kwam, zei hij: "Ik heb jullie waarlijk de wijsheid gebracht zodat ik jullie een aantal zaken, waarover jullie van mening verschillen, verduidelijk. Vreest daarom Allah en gehoorzaamt mij.
064_00	Voorwaar, Allah is mijn Heer en jullie Heer, aanbidt Hem daarom. Dit is het rechte Pad."
065_00	De groeperingen werden het toen met elkaar oneens. Wee degenen die niet geloven in de bestraffing van een pijnlijke Dag.
066_00	Zij wachten slechts op het Uur, dat plotseling tot hen zal komen, terwijl zij niet beseffen.
067_00	De boezemvrienden zullen op die Dag elkaars vijanden zijn, behalve de Moettaqôen.
068_00	O Mijn dienaren, op die Dag zal er geen vrees voor jullie zijn en jullie zullen niet treuren.
069_00	(Zij zijn) degenen die in Onze Tekenen geloofden en die zich (aan Ons) overgaven.
070_00	(Er wordt gezegd:) "Treedt het Pandijs binnen, jullie en jullie echtgenotes, in blijdschap."
071_00	Er zal tussen hen worden rondgegaan met schalen van goud en bekers. Daarin is wat de zielen verlangen, en de verrukking van de ogen. En jullie zullen er eeuwig levenden zijn.
072_00	En dat is het Paradijs dat jullie hebben geërfd wegens wat jullie hebben verricht
073_00	Daarin zijn voor jullie vele vruchten waarvan jullie eten.
074_00	Voorwaar, de misdadigers zullen eeuwig in de bestraffing van de Hel verkeren.
075_00	De bestraffing zal voor hen niet verlkht worden, terwijl zij daarin wanhopigen zijn.
076_00	Wij hebben hun geen onrecht aangedaan, maar zij hebben zichzelf onrecht aangedaan.
077_00	Zij roepen: "O Mâlik (bewaker van de Hel), laat jouw Heer een eind aan ons maken." Hij zegt: "Voorwaar, jullie blijven hier."
078_00	Voorzeker, Wij hebben jullie de Waarheid gebracht, maar de meesten van jullie haten de Waarheid.
079_00	Zij hebben zelfs een plan beraamd, daarom hebben Wij een plan beraamd.
080_00	Of denken zij, dat Wij hun geheimen en hun gefluister niet horen? Welzeker! Onze gezanten (Engelen) zijn bij hen, zij schrijven.
081_00	Zeg (O Moehammad): "Als de Erbarmer een zoon zou hebben, dan zou ik de eerste zijn om hem te dienen."
082_00	Heilig is de Heer van de hemelen en de aarde, de Heer van de Troon, boven wat zij (Hem) toeschrijven.
083_00	Laat hen in hun dwaling blijven en spelen totdat zij hun Dag ontmoeten die hun is aangezegd.
084_00	En Hij is Degene Die de God in de hemel is en de God op de aarde is. En Hij is de Alwijze, de Alwetende.
085_00	En gezegend is Degene aan Wie de heerschappij van de hemelen en de aarde behoort en wat er tussen is. En bij Hem is de kennis over het Uur en tot Hem zullen jullie terugkeerd worden.
086_00	En degenen die zij naast Hem aanroepen beschikken niet over de mogelijkheid tot voorspraak, behalve wie van de Waarheid getuigen terwijl zij kennis hebben.
087_00	En als jij hun vraagt wie hen geschapen heeft, dan zullen zij zeker zeggen: "Allah." Waarom worden zij dan belogen?
088_00	En (Allah kent) zijn (Moehammad's) woorden: "O mijn Heer, voorwaar, zij zijn een volk dat niet gelooft."
089_00	Verdraag hen maar, en zeg: "Vaarwel!" Zij zullen het weten.
