001_00	O jij ommantelde.
002_00	Sta op en waarschuw.
003_00	En prijs de grootheid van jouw Heer
004_00	En reinig jouw kleding.
005_00	En vermijd de zondigheid.
006_00	En geef niet om meer te ontvangen.
007_00	En wees geduldig omwille van jouw Heer.
008_00	Als dan op de bazuin geblazen wordt.
009_00	Dan is dat die Dag, een zware Dag.
010_00	(Die Dag is) voor de ongelovigen niet gemakkelijk.
011_00	Laat hem aan Mij over die Ik alleenstaand geschapen heb.
012_00	En Ik heb hem vele bezittingen ter beschikking gesteld.
013_00	En kinderen, voortdurend aan zijn zijde.
014_00	En Ik verschafte hem gemak in ruime mate.
015_00	En vervolgens verlangt hij dat Ik (voor hem) vermeerder.
016_00	Nee! Hij is opstandig tegen Onze Verzen.
017_00	Ik zal hem beladen met een zware bestraffing.
018_00	Voorwaar, hij dacht na en nam een besluit.
019_00	Verdoemd is hij daarom. Hoe vreemd was zijn besluit!
020_00	Nogmaals, verdoemd is hij! Hoe vreemd was zijn besluit!
021_00	Toen dacht hij weer na.
022_00	Daarna fronste hij en keek somber.
023_00	Vervolgens keerde hij zijn rug toe en was hoogmoedig.
024_00	En hij zei: "Deze (Koran) is slechts overgedragen tovenarij.
025_00	Dit is slechts het woord van een mens."
026_00	Ik zal hem doen braden in Saqar (de Hel).
027_00	En wat doet jou weten wat Saqar is?
028_00	Zij (de Hel) laat niet achter en zij laat niet met rust.
029_00	Zij verschroeit (de huid) van de mens.
030_00	Over haar waken negentien (Engelen).
031_00	En Wij hebben geen anderen dan Engelen aangesteld als wachters van de Hel.
031_01	En Wij hebben hun aantal slechts vastgesteld als een beproeving voor degenen die niet geloven en opdat degenen aan wie de Schrift gegeven is overtuigd zullen zijn.
031_02	En opdat degenen die geloven zullen toenemen in geloof, en opdat degenen aan wie de Schrift is gegeven en de gelovigen niet zullen twijfelen.
031_03	En opdat degenen in wier harten een ziekte is en de ongelovigen zullen zeggen: "Wat wil Allah met dit voorbeeld zeggen?" Zo laat Allah dwalen wie Hij wil, en leidt Hij wie Hij wil. En niemand kent de troepenmacht van jouw Heer dan Hij. En dit is niets anders dan een Vermaning voor de mensheid.
032_00	Nee, bij de maan!
033_00	En de nacht wanneer hij terugkeert.
034_00	En de dageraad wanneer hij gloort.
035_00	Voorwaar, zij (de Hel) is zeker een van de grootste verschrikkingen.
036_00	(Zij is er) als een waarschuwing voor de mensheid.
037_00	Voor degenen onder hen die voort willen gaan (door goede daden te verrichten) of achter willen blijven (door slechte daden te verrichten).
038_00	Iedere ziel is een borg voor wat zij heeft verricht.
039_00	Behalve de mensen van de rechterzijde.
040_00	In Tuinen (het Paradijs) vragen zij elkaar.
041_00	Over de misdadigers.
042_00	(Zij zeggen:) "Wat heeft hen naar Saqar (de Hel) gevoerd?"
043_00	Zij zeiden: "Wij behoorden niet tot degenen die de shalât verrichten.
044_00	En wij voedden de armen niet.
045_00	En wij plachten ijdele gesprekken te voeren met degenen die ijdel praatten.
046_00	En wij plachten de Dag des Oordeels te loochenen.
047_00	Tot het zekere (de dood) tot ons kwam."
048_00	De voorspraak van de voorsprekers baat hen niet.
049_00	Wat is er met hen dat zij zich van de Vermaning afwenden?
050_00	Alsof zij opgeschrikte ezels zijn.
051_00	Die vluchten voor een leeuw.
052_00	Toch wil een ieder van hen, dat hun opengespreidde bladen (van een Openbaring) worden gegeven.
053_00	Nee! Zij vrezen zelfs het Hiernamaals niet.
054_00	Nee, voorwaar, hij (de Koran) is een Vermaning.
055_00	Wie wil trekt er lering uit.
056_00	En zij trekken er geen lering uit, behalve als Allah het wil. Hij is het Die vrees toekomt en Hij is het Die het toekomt om te vergeven.
