001_00	Bij het ochtendlicht.
002_00	En bij de nacht wanneer het geheel donker is.
003_00	Jouw Heer heeft jou (O Moehammad) niet verlaten en Hij is niet kwaad (op jou).
004_00	En het latere (het Hiernamaals) is zeker beter voor jou dan het eerste (het wereldse leven).
005_00	En jouw Heer zal jou zeker gunsten schenken, zodat jij tevreden zult zijn.
006_00	Heeft Hij jou niet als wees gevonden en jou in bescherming genomen?
007_00	En Hij heeft jou dwalend gevonden en jou geleid.
008_00	En Hij heeft jou behoeftig gevonden en rijk gemaakt.
009_00	Wat de wees betreft: beledig hem niet.
010_00	En wat de bedelaar betreft: wijs hem niet af.
011_00	En wat de gunsten van jouw Heer betreft: spreek daarover!
