001_00	از تو در بارۀ انفال (= غنایم) سؤال می کنند، بگو: «انفال از آنِ خدا و پیامبر است,
001_01	پس از خدا بترسید؛ و میانۀ خودتان را اصلاح کنید, وخدا و پیامبرش را اطاعت کنید؛ اگر ایمان دارید.
002_00	مؤمنان تنها کسانی هستند که چون نام خدا برده شود, دلهایشان ترسان گردد, وچون آیات او بر آنها خوانده شود, ایمانشان افزون گردد, و بر پروردگارشان توکل می کنند.
003_00	کسانی که نماز را بر پا می دارند, واز آنچه به آنان روزی داده ایم, انفاق می کنند.
004_00	اینان, مؤمنان حقیقی هستند, برای آنان درجاتی پیاپی (عالی) نزد پروردگارشان است, و(همچنین) آمرزش, وروزی فراوان ونیکو (در بهشت) است.
005_00	همانگونه که پروردگارت تو را به حق از خانه ات (= مدینه, به سوی میدان بدر) بیرون آورد, در حالی که گروهی از مؤمنان نا خشنود بودند.
006_00	آنها پس از آن که حقیقت آشکار شد؛ در بارۀ حق (= جهاد) با تو مجادله می کنند, گویی به سوی مرگ رانده می شوند, وخود می نگرند.
007_00	و (به یاد آورید) هنگامی را که خداوند به شما وعده داد که یکی از دو گروه (= کاروان تجاری یا لشکر) نصیب شما خواهد بود, وشما
007_01	دوست می داشتید که کاروان غیر جنگی (تجاری) برای شما باشد, وخداوند می خواست با سخنان خویش حق را پا یدار (واستوار) کند وریشۀ کافران را قطع کند.
008_00	تا حق را ثابت, وباطل را از میان بر دارد, اگر چه گنهکاران نا خشنود باشند.
009_00	(بیاد آورید) هنگامی که از پروردگارتان (فریاد و) یاری می خواستید, پس او (خواستۀ) شما را پذیرفت. (وفرمود:): «من شما را با يک هزار از فرشتگان, که پیاپی فرود می آیند, یاری می کنم».
010_00	وخداوند این (یاری ومدد) را تنها برای شادی واطمینان قلب شما قرار داد, وگرنه, پیروزی جز از طرف خدا نیست, به راستی خداوند پیروزمند حکیم است.
011_00	(وبه یاد آورید) هنگامی را که خواب سبکی که آرامشی از سوی او بود, شما را فرا گرفت, واز آسمان آبی بر شما فرو فرستاد, ت
011_01	ا شما را با آن پاک کند, وپلیدی شیطان را از شما دور سازد, ودلهای شما را محکم بدارد, و گامهایتان را با آن استوار کند.
012_00	(وبه یاد آور) هنگامی که پروردگارت به فرشتگان وحی کرد: « من با شما هستم, پس کسانی را که ایمان آورده اند؛ ثابت قدم دارید, به زودی دردل کسانی که کافر شدند؛ ترس وهراس می افکنم,
012_01	پس بر فراز گردنها بزنید, وهمۀ انگشتانشان را بزنید (وقطع کنید).
013_00	این بخاطر آن است که آنها با خدا ورسولش مخالفت کردند, وهر کس با خدا و رسولش مخالفت کند, پس (بداند که) خداوند سخت کیفراست.
014_00	(ای کافران) شما این (عذاب ومجازات در دنیا) را بچشید! و(بدانید) که برای کافران (در قیامت) عذاب آتش است.
015_00	ای کسانی که ایمان آورده اید! چون با انبوه کافران (در میدان جنگ) روبرو شوید, پس به آنها پشت نکنید.
016_00	وهر کس در آن روز به آنها پشت کند ـ مگر آنکه (هدفش از کناره گیری) برای حملۀ دوباره یا ( به قصد) پیوستن به گروهی (دیگر باشد) ـ به خشم خدا بازگشته (وسزاوار) است, وجایگاه او جهنم است,
016_01	وچه بد جایگاهی است.
017_00	پس شما آنها را نکشتید, بلکه خداوند آنها را کشت. وهنگامی که (به سوی آنها خاک وسنگ) انداختی, تو نینداختی, بلکه خدا انداخت, تا مؤمنان را به آزمایشی نیکو از جانب خود بیازماید,
017_01	بی گمان خداوند شنوای داناست.
018_00	این (واقعه) چنین بود (که دیدید) و(بدانید که) همانا خداوند سست کنندۀ مکر (ونقشه های) کافران است.
019_00	(ای کافران!) خواهان فتح وپیروزی (حق) هستید, پس بی گمان فتح وپیروزی (مسلمانان) برایتان آمد, واگر (از کفر ومخالفت وجنگ) دست بردارید, برای شما بهتراست.
019_01	واگر باز گردید, (ما هم) باز خواهیم گشت, وگروه شما هر چند زیاد باشد, شما را بی نیاز نخواهد کرد, (زیرا) که خداوند با مؤمنان است.
020_00	ای کسانی که ایمان آورده اید! خدا و رسولش را اطاعت کنید, و از او روی نگردانید در حالی که (سخن او را) می شنوید.
021_00	و مانند کسانی نباشید که گفتند: «شنیدیم» حال آنکه آنان نمی شنیدند.
022_00	همانا بدترین جنبدگان نزد خدا, (افراد) کر و لالی هستند, که نمی اندیشند.
023_00	واگر خداوند خیری در آنها می دانست, قطعاً به آنان می شنواند, واگر (هم با این حال) به آنان می شنواند, باز روی می گرداندند و اعراض (وسرپیچی) می کردند.
024_00	ای کسانی که ایمان آورده اید! (دعوت) خدا و پیامبر (او) را اجابت کنید, هنگامی که شما را به سوی چیزی فرا می خواند که شما را حیات (وزندگی) می بخشد,
024_01	وبدانید که خداوند میان شخص وقلب او حایل می شود, و(بدانید) که به سوی او محشور خواهید شد.
025_00	واز فتنه ای بپرهیزید که تنها به ستمکاران شما نمی رسد, (بلکه همه را فرا می گیرد) وبدانید که خداوند سخت کیفراست!
026_00	وبه یاد آورید زمانی را که شما در روی زمین اندک وناتوان بودید, می ترسیدید که مردم شما را بربایند, پس خداوند شما را پناه داد, وبا یاری خود شمارا تأیید (وتقویت) کرد,
026_01	واز چیزهای پاکیزه به شما روزی بخشید, شاید شما سپاسگزار باشید.
027_00	ای کسانی که ایمان آورده اید! به خدا وپیامبر (او) خیانت نکنید, و(نیز) در امانتهای خود, در حالی که می دانید خیانت نورزید.
028_00	وبدانید که اموال شما, واولاد شما, (وسیلۀ) آزمایش است, وهمانا خداوند است که پاداش بزرگ نزد اواست.
029_00	ای کسانی که ایمان آورده اید! اگر از خدا بترسید برای شما راه نجات (و وسیله ای برای جدایی حق از باطل) قرار می دهد, وگناهانتان را می پوشاند, وشما را می آمرزد, وخداوند صاحب فضل وبخشش بزرگ است.
030_00	و (به یاد آور) آنگاه که کافران در (بارۀ) تو نقشه می کشیدند, که تو را به زندان بیفکنند, یا تو را بکشند, ویا (از مکه) بیرونت کنند, آنها چاره ومکرمی اندیشیدند, وخدا (هم) تدبیر می کرد, وخداوند بهترین (چاره جویان و) تدبیر کنندگان است.
031_00	وچون آیات ما بر آنها خوانده شود, گویند: «همانا شیندیم, اگر ما (هم) بخواهیم, مانند آن را می گوییم, اینها جز افسانه های پیشینیان نیست».
032_00	و (به یاد آور) آنگاه که گفتند: «پروردگارا! اگر این (قرآن) حق است, واز جانب توست, پس از آسمان سنگی بر ما بباران, یا عذاب دردناکی بر ما بفرست».
033_00	وتا تو (ای پیامبر) در میان آنها هستی, خداوند آنها را عذاب نخواهد کرد, و(نیز) تا زمانی که استغفار می کنند؛ خداوند عذابشان نمی کند.
034_00	وچرا خداوند آنها را عذاب نکند, حال آنکه آنان (مردم را) از مسجد الحرام باز می دارند,
034_01	در حالی که آنان متولیان و سرپرست آن نیستند (ولیاقت آن را ندارند) متولی و سرپرست آن تنها پرهیزگارانند, ولی بیشترشان نمی دانند.
035_00	ونمازشان نزد خانۀ (کعبه) چیزی جز سوت کشیدن وکف زدن نبود, پس به (کیفر) کفرتان, عذاب را بچشید.
036_00	به راستی کسانی که کافر شدند, اموالشان را برای بازداشتن (مردم) از راه خدا خرج می کنند, پس به زودی همه را خرج می کنند, آنگا
036_01	ه (مایۀ) حسرت وپیشمانی بر آنان خواهد بود, سپس شکست می خورند, و(سرانجام) کسانی که کافر شدند, بسوی (آتش) جهنم رانده می شوند.
037_00	تا خداوند پلید را از پاک جدا سازد, وپلیدان را روی هم بگذارد, آنگاه همگی را متراکم سازد, وسپس یک جا در دوزخ قرار دهد, اینها همان زیانکاران (واقعی) هستند.
038_00	(ای پیامبر!) به کسانی که کافر شدند بگو: «اگر (از کفر ودشمنی) دست بر دارند, گذشته هایشان آمرزیده می شود, واگر (به همان اعمال خود) بازگردند, پس بی گمان سنت (وروش خداوند دربارۀ) پیشینیان گذشته است (ودربارۀ آنها نیزاجرا می شود).
039_00	و با آنها پیکار کنید, تا فتنۀ (شرک) ریشه کن شود, و(پرستش و) دین , همه از آن خدا باشد, پس اگر آنها (از شرک وآزار واذیت) دست بر دارند, خداوند به آنچه می کنند؛ بیناست.
040_00	واگر (سرپیچی و) روی گردانی کنند, پس بدانید که خداوند سرپرست (ومولای) شماست, چه نیکو سرپرست وچه نیکو یاوری است.
041_00	وبدانید که هرگونه غنیمتی به دست آوردید, یک پنجمش برای خدا, وبرای پیامبر, وبرای خویشان, ویتیمان ومسکینان ودر راه ماندگان است, اگر به خدا وآنچه ب
041_01	ر بندۀ خود در روز فرقان (= جدایی حق از باطل), روز بر خورد دو گروه (مؤمنین ومشرکین در بدر) نازل کردیم, ایمان آورده اید, وخداوند بر هرچیز تواناست.
042_00	آنگاه که شما به کنارۀ نزدیکتر بودید، وآنها به کنارۀ دورتر بودند، وکاروان (قریش) پایین تر از شما بود, واگر با یکدیگر وعده می گذاشتید, قطعاٌ در(ا
042_01	نجام) وعدۀ (خود) اختلاف می کردید, ولی خداوند (بدون میعاد, شما را جمع کرد وروبروی یکدیگر قرار داد) تا کاری را که می بایست انجام شود, به انجام بر
042_02	ساند, تا آن که هلاک (ونابود) می شود, از روی دلیل (وحجت) هلاک شود, وکسی که زنده می ماند, از روی دلیل (وحجت) زنده ماند, وهمانا خداوند شنوای داناست.
