001_00	الر. (الف . لام . را) این آیات کتاب محکم (و با حکمت) است .
002_00	آیا برای مردم موجب شگفتی است که به مردی از خودشان وحی کرده ایم که : « مردم را بترسان و کسانی که ایمان آورده اند بشارت ده که برای آنها سابقه ی نیکو (و پاداشی حتمی) نزد پروردگارشان است ».
002_01	کافران گفتند :«این (مرد) جادوگرآشکاری است ».
003_00	بی گمان پروردگار شما ، الله است ، که آسمانها وزمین را درشش روز آفرید ، سپس بر عرش مستوی شد ، کار (جهان) را تدبیر می کند .
003_01	هیچ شفاعت کننده ای نیست ، مگر بعد از فرمان او ، این است الله پروردگار شما ، پس او را پرستش کنید ، آیا پند نمی گیرید ؟!
004_00	باز گشت همه شما به سوی اوست ، وعدۀ خداوند حق است ، بی گمان او آفرینش را آغاز می کند ، سپس آنها را باز می گرداند ، تا کسانی را که ایمان آورده و ک
004_01	ارهای شایسته کرده اند به عدالت پاداش دهد ، و کسانی که کافر شدند ، برای شان نوشیدنی از آب جوشان است ، وعذابی دردناک، به سبب آنکه کفر می ورزیدند .
005_00	او کسی است که خورشید را روشنایی ، و ماه را نور قرار داد ، و برای آن منازلی مقدر کرد ، تا عدد سالها و حساب
005_01	را بدانید ، خداوند این را جز به حق نیافریده است ، آیات را برای گروهی که می دانند ، به تفصیل بیان می کند .
006_00	بی گمان در آمد وشد شب وروز ، و آنچه خدا در آسمانها و زمین آفریده است ، نشانه های است برای گروهی که پرهیز گاری می کنند .
007_00	همانا کسانی که ملاقات ما را (در روز قیامت ) امید ندارند ، وبه زندگی دنیا خشنود شده و بدان دل بسته اند، و کسانی که از آیات ما غافلند،
008_00	آنها (همه ) جایگاهشان آتش (جهنم) است ، به سبب کارهایی که انجام می دادند .
009_00	بی گمان کسانی که ایمان آوردند و کارهای شایسته کردند ، پروردگارشان به سبب ایمانشان آنها را به باغهای (بهشت) پر نعمت هدایت می کنند که نهرها زیر (درختان) آن جاری است .
010_00	دعایشان در آن :«خداوندا! تو منزهی» باشد ، و تحیت شان در آن : «سلام» و پایان دعایشان این است که :«حمد وسپاس،مخصوص خدا ، پروردگار جهانیان است ».
011_00	و اگر خداوند زود مردم را مجازات می کرد ، همانگونه که آنها برای خیر عجله دارند ، عمرشان به پایان می رسید ، (و
011_01	نابود می شدند) پس کسانی که به ملاقات ما امید ندارند (به حال خود ) رها می کنیم تا در طغیان خود سرگردان بمانند .
012_00	وچون به انسان زیان (و رنجی) برسد ، (در هر حال که باشد) به پهلو خوابیده ، یا نشسته ، یا ایستاده، ما را می خواند .
012_01	پس هنگامی که آن زیان (و رنج) از او بر طرف کریم ، چنان می رود که گویی هرگز ما را برای دفع زیان (و رنج) که به او رسیده بود ، نخوانده است ، این گونه برای اسرافکاران ،آنچه می کردند (در نظرشان) زینت داده شده است .
013_00	به راستی که ما امتهای پیش از شما را هنگامی که ستم کردند ، هلاک کردیم ، در حالی که پیامبران آنها با دلیل روشن به سوی آنان آمدند وآنها ایمان نیاوردند ،
013_01	این گونه گروه مجرمان را کیفر می دهیم.
014_00	سپس شما را پس از آنها (روی) زمین جانشینان قرار دادیم ، تا بنگریم که چگونه عمل می کنید .
015_00	و هنگامی که آیات روشن ما بر آنها خوانده شود ، کسانی که به ملاقات ما (در روز قیامت ) امید ندارند ، گویند : «قرآنی غیر از این بیاور یا آن را تغییر بده ».
015_01	( ای پیامبر!) بگو : «من حق ندارم که آن را از پیش خود تغییر دهم ، و من پیروی نمی کنم مگر آنچه را که بر من وحی می شود ، ومن اگر پروردگارم را نافرمانی کنم از عذاب روز بزرگ می ترسم »
016_00	بگو: « اگر خدا می خواست من آن را بر شما نمی خواندم، ونه(خداوند ) شما را از آن آگاه می کرد ، به راستی که پیش از این عمری را در میان شما گذرانده ام ، آیا نمی اندیشید ؟!»
017_00	پس چه کسی ستمکارتر است از آن کسی که برخدا دروغ می بندد، ویا آیات او را تکذیب می کند؟! بی گمان مجرمان رستگار نخواهند شد .
018_00	و غیر از خدا چیزهای را می پرستند که نه به آنها زیانی می رساند ونه سودشان می بخشد، و می گویند : «اینها (= بتها ) شفیعان ما نزد خدا هس
018_01	تند » بگو: «آیا خدا را به چیزی که در آسمانها ودر زمین نمی داند، خبر می دهید ؟!» منزه است او،و از آنچه با او شریک می سازند برتر است .
019_00	(در آغاز) مردم جز امت واحدی نبودند ، پس اختلاف کردند ، و اگر فرمانی نبود پیش از این ، از پروردگار صادر شده بود ، در میان آنها در آنچه که در آن اختلاف داشتند، داوری می شد .
020_00	و می گویند «چرا معجزه ای از (جانب ) پروردگارش بر او نازل نشده است ؟ » . پس بگو :«(علم) غیب تنها از آن خداست، پس شما انتظار بکشید که من (نیز) با شما ازمنتظرانم ».
021_00	وهنگامی که به مردم ، پس از رنج (و زیانی) که به آنها رسیده است رحمتی بچشانیم ، آنگاه آنها در آیات ما نیرنگ می
021_01	کنند ، بگو: «خداوند در نیرنگ زدن سریعتر است ،بی تردید رسولان (= فرشتگان) ما آنچه نیرنگ می کنید ،می نویسند ».
022_00	او کسی است که شما را در خشکی و دریا به حرکت در می آورد ، تا آنگاه که در کشتی قرار می گیرید ، و(کشتیها) با بادی ملایم آنها را (به سوی مقصد
022_01	) حرکت می دهند و (آنها) به آن شادمان می شوند . (نا گهان) طوفان شدیدی می وزد ، و موج از هر سو (به سوی آنها ) بیاید ، وگمان کنند، که راه گر
022_02	یزی ندارند(و هلاک خواهند شد) ، خدا را از روی اخلاص می خوانند که :«که اگر ما را از این (گرفتاری) نجات دهی،قطعاً از سپاسگزاران خواهیم بود ».
023_00	پس چون (خداوند) آنها را نجات داد ، آنها به نا حق در زمین سرکشی ( وستم ) می کنند ای مردم!
023_01	سر کشی(و ستم) شما تنها به زیان خوددتان است ، متاع (چند روز) زندگی دنیاست ، سپس باز گشتتان به سوی ماست ، پس شما را به آنچه انجام می دادید، خبر می دهیم .
024_00	مثل زندگی دنیا، همانند آبی است که از آسمان نازل کردیم، سپس براثر آن گیاهان گوناگون زمین از آنچه مردم وچهارپایان می خورند ؛ رویید، تا زما
024_01	نی که زمین پیرایه خود بگرفت ، و آراسته شد، و اهل آن گمان کردند که خود بر آن چیره اند ،(نا گهان) فرمان ما در شب یا روزی فرا رسد، و آنچنان
024_02	آن (کشتزار) را درو کنیم که گوی دیروز هرگز (کشتزاری) نبوده است . این گونه آیات (خود) را برای گروهی که می اندیشند به تفصیل بیان می کنیم .
025_00	و خداوند به سرای سلامتی (= بهشت) دعوت می کند ، و هر کس را بخواهد به راه راست هدایت می کند .
026_00	برای کسانی که نیکی کردند ، پاداش نیک (= بهشت) است وافزون بر آن (=رؤیت باری تعالی است ). و تیرگی و خواری چهره هایشان را نپوشاند، اینان اهل بهشتند ، و جاودانه در آن خواهند ماند .
027_00	و کسانی که مرتکب بدیها شدند، پاداش هر بدی همانند آن است ، و خواری (چهره های) آنها را می پوشانند و هیچ کسی نمی تواند آنها را از(عذاب) خد
027_01	ا نگه دارد (چنان شوند که ) گوی با پاره ای از شب تاریک چهره هایشان پوشیده شده است ،اینان اهل آتش (دوزخ) اند و جاودانه در آن خواهند ماند.
028_00	(و به یاد آورید ) روزی که همه ی آنها را گرد آوریم ، سپس به کسانی که شرک آوردند گویم: «شما و معبودهایتان در مکان
028_01	خوددتان بمانید » پس آنها را از یکدیگر جدا می کنیم ، و معبودهایشان (به آنها) می گویند :«شما ما را عبادت نمی کردید،
029_00	پس ، بس است که خدا میان ما و شما گواه باشد ، که ما یقیناً از عبادت شما بی خبر بودیم ».
030_00	آنجا هر کس هر چه پیش فرستاده است ، می آزماید ، و همه به سوی الله مالک حقیقی شان بازگردانده می شوند ، وچیزها ی را که افترا می بستند (از نظرشان ) گم ونابود می شوند .
031_00	بگو: «چه کسی شما را از آسمان و زمین روزی می دهد ؟کیست که مالک شنوایی وبینوایی هاست ؟ و چه کسی زنده را از مرده بیرون می آورد ، و م
031_01	رده را از زنده بیرون می آورد؟ وچه کسی کار(جهان) را تدبیر می کند ؟ پس بی درنگ خواهند گفت: «الله» پس بگو: «آیا (از او) نمی ترسید ؟!
032_00	پس آن الله پروردگار حقیقی شماست ، پس بعد از حق ، چه چیزی است جز گمراهی ؟ پس چگونه (از پرستش او) روی گران می شوید ؟! ».
033_00	این چنین سخن پروردگارت بر کسانی که فاسق شدند؛ ثابت شده که آنها ایمان نمی آورند .
034_00	بگو: «آیا از این معبودها ی شما کسی هست که آفرینش شما را آغاز می کند ،سپس آن را باز می گرداند؟!» بگو:«الله آفرینش را آغاز می کند ، سپس آن را باز می گرداند ،پس چگونه (از حق ) منحرف می شوید ؟! ».
035_00	بگو :«آیا از این معبودهای شما کسی هست که به (سوی) حق هدایت می کند ؟! » بگو:«الله به(سوی) حق هدایت می کند، آیا کسی که به (سوی) حق هدایت می کند، برای پیروی سزاوارتر است یا کسی که خود هدایت نمی شود؛ مگر آن که هدایتش کنند؟ً!
035_01	پس شما را چه شده ؟! چگونه داوری می کنید؟!».
