001_00	ای مردم! از پروردگارتان بترسید، بدون شک زلزله ی قیامت حادثه ی عظیمی است.
002_00	روزی که آن را می بینید، هر مادر شیر دهی، (کودک) شیر خوارش از یاد خود می برد، و هر (زن) بارداری، بار خود را بر زمین می گذارد،
002_01	و مردم را مست می بینی، در حالی که مست نیستند، و لیکن عذاب خدا شدید است.
003_00	و بعضی از مردم، بدون (هیچ) علم ودانشی، در (باره ی) خداوند به مجادله بر می خیزند، و از هر شیطان سرکشی پیروی می کنند،
004_00	(در قضای الهی) بر او (= شیطان) نوشته شده که هر کس با او دوستی کند، مسلماً او گمراهش می کند، و او را به عذاب (آتش) سوزان (جهنم) می کشاند.
005_00	ای مردم! اگر از بر انگیخته شدن در شک هستید، پس (به این نکته دقت کنید:) همانا ما شما را از خاک آفریدیم، سپس از نطفه، و بعد از خون بسته شده،
005_01	سپس از مضغه (= پاره گوشتی) شکل یافته و شکل نایافته، تا (قدرت و حکمت خود را) برای شما آشکار سازیم، و هر چه را که بخواهیم تا زمانی معین در رح
005_02	م (مادران) نگه می داریم، آنگاه شما را به صورت طفل بیرون می آوریم، سپس تا به حد رشد (و بلوغ) خود برسید، و از شما کسی هست که می میرد، و از شم
005_03	ا کسی هست که (آنقدر عمر می کند که) به نهایت فرتوتی (و پیری) باز برده می شود، تا آنکه پس از (آن همه) علم ودانش، چیزی نداند، و (به مثال دیگر
005_04	توجه کنید :) زمین را خشکیده می بینی، پس هنگامی که آب (باران) بر آن فرو فرستیم، به حرکت در آید، و رشد کند، و از هرنوع گیاه زیبا (و خرم) برویاند.
006_00	این به خاطر آن است که (بدانید) خداوند حق است، و آنکه او مردگان را زنده می کند، و آن که او بر هر چیز تواناست .
007_00	و آنکه قیامت آمدنی است، شکی در آن نیست، و آنکه خداوند (همه ی) کسانی که در گورها هستند، بر می انگیزد.
008_00	از مردم کسی است که بدون هیچ دانش و هیچ هدایت و کتاب روشنی بخشی درباره ی خدا مجادله می کند .
009_00	(تکبر کنان) پهلو (و گردن) خود را می پیچد، تا (مردم را) از راه خدا گمراه سازد، برای او در دنیا رسوایی است، و روز قیامت آتش سوزان را به او می چشانیم.
010_00	(و به او می گوییم :) این (کیفر) در برابر چیزی است که دستهایت از پیش فرستاده است، و بی گمان خداوند (هرگز) به بندگان ستم نمی کند .
011_00	و از (میان) مردم کسی است که خدا را بر کناره (با تردید) می پرستد (و ایمانش بسیار ضعیف و سست است) پس اگر خیری به او برسد(دلش) به آن آرام می گیرد،
011_01	و اگر بلایی (برای آزمایش) به او برسد، روی می گرداند (و به کفر باز می گردد)، در دنیا و آخرت زیان کرده است، این همان زیان آشکار است،
012_00	(او) به جای خدا چیزی را می خواند که نه زیانی به او می رساند و نه سودی به او می بخشد، این همان گمراهی دور است.
013_00	(او) کسی را می خواند که زیانش نزدیکتر از نفعش است، چه بد (سر پرست و) یاوری است، و چه بد(همدم و) معاشری است.
014_00	بی گمان خداوند کسانی را که ایمان آوردند و کارهای شایسته انجام دادند، به باغهایی (از بهشت) وارد می کند که نهرها از زیر (درختان) آن جاری است، مسلماً خداوند آنچه را می خواهد، انجام می دهد.
015_00	کسی که گمان می کند که خداوند او (= پیامبر) را در دنیا و آخرت یاری نخواهد کرد، (و بدین خاطر عصبانی است) پس ریسمانی به سقف (خانه اش) بیاویزید (و خود را حلق آویز کند) سپس آن را قطع کند، آنگاه بنگرد آیا (این) تدبیرش خشم او را از میان خواهد برد ؟!
016_00	و این گونه (ما) آن (= قرآن) را (بصورت) آیات روشن نازل کردیم، و بی گمان خداوند هر کس را بخواهد هدایت می کند.
017_00	یقیناً کسانی که ایمان ایمان آوردند، و کسانی که یهودی شدند، و صابئان (= بی دینان) و نصاری و مجوس و کسانی که (به خدا) شرک آوردند، خداوند در میان آنها روز قیامت داوری می کند،
017_01	بی گمان خداوند بر هر چیز گواه است .
018_00	آیا ندیدی که هر کس در آسمانها و هر کس که در زمین است، و خورشید و ماه و ستارگان و کوهها و درختان و جنبندگان و بسیاری از مردم برای خدا سجده می کنند،
018_01	و بسیارند که (فرمان) عذاب برآنان تحقق یافته است، و هر که را خدا خوارسازد، پس کسی او را گرامی نخواهد داشت، بی گمان خداوند هر چه را بخواهد، می کند .
019_00	این دو (گروه) دشمنان یکدیگرند درباره ی پروردگارشان (ستیز و ) خصومت کردند، پس کسانی که کافر شدند لباسهایی از آتش برای آنها بریده شده است، از بالای سرشان آب سوزان ریخته می شود.
020_00	که آنچه در درونشان است و (نیز) پوستها (یشان) با آن گداخته می شود.
021_00	و برای (زدن) آنها گرزهای از آهن (داغ) است.
022_00	هر گاه بخواهند از (شدت) اندوه از آنجا (= دوزخ) خارج شوند، به آن باز گردانده می شوند، و (به آنها گفته می شود: ) عذاب سوزان (جهنم) را بچشید .
