001_00	ص (صاد) سوگند به قرآنی که دارای پند و اندرز است.
002_00	بلکه، کسانی که کافر شدند در سر کشی و اختلافند.
003_00	چه بسیار نسلهای را که پیش از آنها هلاک کردیم، پس (هنگام نزول عذاب) فریاد می زدند، اما (آن زمان) وقت نجات نبود.
004_00	و آنها به شگفت آمدند که (پیامبر) هشدار دهنده ای از میان (خود) شان به سوی شان آمده است، و کافران گفتند: «این جادوگری بسیار دروغگو است،
005_00	آیا (همه ی) معبودان را یک معبود قرار داده است؟ بی گمان این چیز عجیبی است».
006_00	و بزرگان (و اشراف) شان، به راه افتادند و گفتند: « بروید و بر (پرستش) خدایانتان پایدار باشید، بی گمان این (دعوت) چیزی است خواسته شده (که شما را گمراه کنند).
007_00	ما (هرگز) این (چنین سخنی) در آیین واپسین نشنیده ایم، این جز دروغ (چیزی) نیست.
008_00	آیا از میان (همه ی) ما قرآن بر او نازل شده است؟!» (در حقیقت چنین نیست که آنها می گویند) بلکه آنها در (وحی و) قرآن من تردید دارند، بلکه هنوز عذاب را نچشیده اند.
009_00	یا آنکه گنجینه های رحمت پروردگار پیروزمند بخشنده ات نزد آنهاست؟
010_00	یا فرمانروایی آسمانها و زمین و آنچه میان آن دوست از آن آنهاست؟! پس (اگر چنین است) با ریسمان (و هر وسیله ای دیگر به آسمان) بالا روند.
011_00	(اینها) لشکری شکست خورده ی از احزاب هستند.
012_00	پیش از آنها قوم نوح و عاد و فرعون صاحب میخها (و سپاه، نیز پیامبران ما را) تکذیب کردند.
013_00	و (نیز) ثمود، و قوم لوط، و اصحاب ایکه (= قوم شعیب) اینها احزاب (و گروههای) بودند (که پیامبران را تکذیب کردند).
014_00	هر یک (از اینها) بودند که پیامبران را تکذیب کردند، پس عقوبت (من) تحقق یافت.
015_00	و اینها جز بانگی سهمناک را انتظار نمی کشند، که هیچ مهلت بازگشتی ندارد.
016_00	و (آنها) گفتند:« پروردگارا! بهره ی ما را (از عذاب) پیش از فرا رسیدن روز حساب به ما بده».
017_00	بر آنچه می گویند، صبر کن، و بنده ی ما داود صاحب (نیرو و) قوت را یاد آور، بی گمان او بسیار رجوع کننده بود.
018_00	همانا ما کوهها را با او مسخر (و رام) کردیم، که شامگاهان و صبحگاهان (با او) تسبیح می گفتند.
019_00	و پرندگان را (نیز، مسخر او کردیم) که گرد می آمدند، همه ی (اینها) فرمانبردار (و باز گشت کننده به سوی) او بودند.
020_00	و فرمانروایی او را استوار کردیم، و به او حکمت و سخنان فصیح (فیصله کننده) عطا کردیم.
021_00	و آیا خبر شاکیان هنگامی که از (دیوار) عبادتگاه (داود) بالا رفتند، به تو رسیده است؟!
022_00	چون بر داود وارد شدند، پس (او) از آنها وحشت کرد، (آنها) گفتند: «نترس، دو نفر شاکی هستیم که یکی به دیگران ستم کرده است.
022_01	پس بین ما به حق داوری کن، و ستم نکن، و ما را به راه راست راهنمایی کن.
023_00	بی گمان این برادر من است، او نود و نه میش دارد، و من یک میش دارم. پس (او) می گوید: آن (یک میش) را به من واگذار، و در سخن بر من غلبه کرده است».
024_00	(داوود) گفت: به راستی او با در خواست یک میش تو که آن را به میشهایش بیفزاید بر تو ستم کرده است، و البته بسیاری از شریکان به یکدیگر ستم می کنند،
024_01	مگر کسانی که ایمان آورده اند و کارهای شایسته انجام داده اند، و اینان (نیز) اندک هستند.
024_02	و داوود دانست که ما او را آزموده ایم، پس از پروردگارش آمرزش خواست، (و فرو تنانه) به (رکوع =) سجده افتاد( ) و (به سوی خدا) رجوع کرد.
025_00	پس ما او را بخشیدیم، و بی گمان برای او نزد ما (قرب و) مقامی والا و باز گشت نیکوست.
026_00	ای داوود! ما تو را در زمین خلیفه (= فرمانروا) قرار دادیم، پس به حق در میان مردم داوری کن،
026_01	و از هوای (نفس) پیروی نکن که تو را از راه خدا گمراه می کند، بی گمان کسانی که از راه خدا گمراه می شوند، به خاطر آنکه روز حساب را فراموش کردند، عذاب شدیدی (در پیش) دارند.
027_00	(ما) آسمان و زمین و آنچه میان آنهاست بیهوده نیافریده ایم، این گمان کسانی است که کافر شدند، پس وای بر کسانی که کافر شدند از آتش (دوزخ).
028_00	آیا کسانی که ایمان آورده اند و کارهای شایسته انجام داده اند، مانند مفسدان در زمین قرار می دهیم؟! آیا پرهیزگاران را مانند بدکاران قرار می دهیم؟
029_00	کتابی است پر برکت، که آن را بر تو نازل کردیم، تا در آیاتش تدبّر کنند، و خردمندان پند گیرند.
030_00	و (ما) سلیمان را به داود عطا کردیم، چه بنده ی خوبی! بی گمان او بسیار رجوع کننده بود.
031_00	(به یاد بیاور) چون عصرگاهان اسبان چابک تیزرو بر او عرضه شد،
032_00	پس گفت:« من این اسبان را به خاطر (فرمان) پروردگارم دوست دارم» (و پیوسته به آنها نگاه می کرد) تا از دیدگانش پنهان شدند( ).
033_00	گفت: «آن اسبان را نزد من باز گردانید». سپس به ساقها و گردنها (ی آنها) دست کشید (و نوازش کرد)( ).
034_00	و به راستی (ما) سلیمان را آزمودیم، و بر تخت او جسدی افکندیم، سپس (او) رو (به درگاه خداوند) آورد (و توبه کرد).
035_00	گفت: «پروردگارا! مرا ببخش، و به من فرمانروایی عطا فرما که پس از من کسی را سزاوار نباشد، بی گمان تو بخشاینده ای»( ).
036_00	پس (ما) باد را برای او مسخر کردیم، تا به فرمانش به نرمی حرکت کند، هر کجا می خواست، برود.
037_00	و (نیز) دیوان را، هر بنا و غواصی (از آنها برای او مسخر کردیم).
038_00	و (گروه) دیگری (از دیوان) را (که همه) در غل و زنجیر بودند (برایش مسخر کردیم).
039_00	این عطای ماست، پس (به هر کس می خواهی) ببخش، و یا نگه دار، حسابی بر تو نیست.
040_00	و بی گمان برای او (= سلیمان) نزد ما (قرب و) مقامی والا، و بازگشت نیکوست.
041_00	و به یاد بیاور، بنده ی ما ایوب را، هنگامی که پروردگارش را ندا داد که: همانا شیطان به من رنج و عذاب رسانده است.
042_00	(به او فرمان دادیم:) پای خود را بر زمین بکوب، (چشمه ای می جوشد) این (چشمه آبی) خنک برای شستشو و آشامیدنی است.
043_00	و خانواده اش و همانند آنان همراهشان را به او بخشیدیم، که رحمتی از سوی ما و اندرزی برای خردمندان باشد.
044_00	و (به او فرمان دادیم) دسته ای از شاخه ها (ی باریک) را برگیر، پس با آن (همسرت را) بزن، و سوگند خود را مشکن( )، بی گمان ما او را شکیبا یافتیم، چه بنده ی خوبی، که بسیار رجوع کننده بود.
045_00	و (ای پیامبر) به یاد آور، بندگان ما، ابراهیم، و اسحاق و یعقوب را، صاحبان دستها (ی توانمند) و چشمها (ی بینا).
046_00	ما آنها را با خصلت ویژه ای، که آن یاد سرای آخرت بود، خالص گرداندیم،
047_00	و یقیناً آنها نزد ما از بر گزیدگان نیکان بودند.
048_00	و به یاد آور، اسماعیل، و الیسع و ذوالکفل را که همگی از نیکان بودند.
049_00	این (قرآن) پندی است، و بی گمان برای پرهیزگاران منزلگاهی نیکوست.
050_00	باغهای جاویدان (بهشتی) که درهایش برای آنان باز است.
051_00	در آنجا تکیه زده اند، و در آن میوه ی فراوان و نوشیدنی را می طلبند.
052_00	و نزد آنان (همسرانی) فرو هشته چشم همسال (که تنها به شوهران خود نظر دارند) است.
053_00	این است چیزهایی که برای روز حساب به شما وعده داده می شود.
054_00	بی گمان این روزی ماست که آن را هیچ پایانی نیست.
055_00	این (پاداش پرهیزگاران) است، و بی گمان برای سرکشان بدترین بازگشتهاست.
056_00	جهنم، که در آن وارد می شوند، پس چه بد آرامگاهی است.
057_00	این(عذاب) آب جوشان و چرک و خونابه است، که باید آن را بچشند.
058_00	و (کیفرهای) دیگر همانند آن به انواع گوناگون (دارند)
059_00	(به سرداران آنها گفته می شود:) این گروهی است که با شما (به جهنم) وارد می شوند، (آنها می گویند:) خوش آمد (و گشایش) بر آنها مباد. بی گمان آنها داخل شدگان به آتش هستند.
060_00	(پیروان) گویند: «بلکه، شما را خوشامد مباد، که این (عذاب) را پیشاپیش شما برای ما فراهم کرده اید، پس چه بد قرار گاهی است».
061_00	(سپس) گویند: پروردگارا! هر کس که این (عذاب) را پیشاپیش برای ما فراهم کرده است، پس عذابی دو چنان در آتش بر او بیفزار» .
062_00	و گویند: «ما را چه شده است، مردمانی را که ما آنها را اشرار می شمردیم، (در جهنم) نمی بینیم؟!
063_00	آیا آنها را به مسخره گرفتیم یا (اینکه) از نظرها دور مانده اند؟!»
064_00	بی گمان این مخاصمه (و گفتگوی) دوزخیان حق (و واقعیت) است.
065_00	(ای پیامبر) بگو: من تنها یک هشدار دهنده ام، و هیچ معبودی (به حق) جز خداوند یکتای قهّار نیست.
066_00	پروردگار آسمانها و زمین و آنچه میان آن دواست، (آن) پیروزمند آمرزنده».
067_00	(ای پیامبر) بگو:«این خبری بزرگ است،
068_00	که شما از آن روی گردانید!
069_00	مـن از سـاکـنان عــالــم بالا (= فرشتگان) چون (درباره ی آفرینش آدم) با یکدیگر جدال می کردند، خبری ندارم( ).
070_00	به من وحی نمی شود مگر این که من هشدار دهنده ای آشکار هستم».
071_00	(و به یاد آور) هنگامی که پروردگارت به فرشتگان گفت: بی تردید من بشری را از گل می آفرینم،
072_00	پس هنگامی که درستش کردم، و از روح خود در آن دمیدم، برای او سجده کنان بیفتید».
073_00	پس فرشتگان همگی یکپارچه سجده کردند.
074_00	جز ابلیس که تکبّر ورزید و از کافران بود.
075_00	(خداوند) فرمود:« ای ابلیس! چه چیز مانع تو شد، از آنکه برای آنچه من با دو دست خود آفریده ام، سجده کنی؟ آیا تکبر ورزیدی یا از بلند پایگان هستی؟!»
076_00	گفت: « من از او بهترم، مرا از آتش آفریده ای، و او را از گل آفریده ای».
077_00	فرمود: «پس از اینجا بیرون شو، که تو رانده شدی.
078_00	و همانا لعنت من تا روز قیامت بر تو خواهد بود».
079_00	(ابلیس) گفت: «پروردگارا! پس مرا تا روزی که (دوباره) برانگیخته می شوند، مهلت ده».
080_00	(خداوند) فرمود: «همانا تو از مهلت یافتگانی،
081_00	تا آن روز زمان معین».
082_00	(ابلیس) گفت: «پس به عزتت سوگند، که همه ی آنها را گمراه خواهم کرد،
083_00	مگر بندگان مخلص تو را، از میان آنها».
084_00	(خداوند) فرمود: «پس (این سخن) حق است، و حق را می گویم،
085_00	یقیناً جهنم را از تو و از آنان که از تو پیروی کنند، پر خواهم کرد».
086_00	(ای پیامبر) بگو: «من بر (رساندن) این (دین) هیچ مزدی از شما در خواست نمی کنم، و من از متکلفان نیستم ».
087_00	این (قرآن) جزپند برای جهانیان نیست.
088_00	و قطعاً خبر (صدق) آن را بعد از مدتی خواهید دانست.
