001_00	نازل شدن (این) کتاب از سوی خداوند پیروزمند حکیم است.
002_00	بی گمان ما (این) کتاب را به حق بر تو نازل کردیم، پس خدا را پرستش کن و دین را برای او خالص گردان.
003_00	آگاه باشید که دین خالص از آن خداست،
003_01	و کسانی که به جای او معبودان (و اولیای) گرفتند که بی گمان خداوند (روز قیامت) میان آنها در آنچه اختلاف داشتند، داوری می کند،
003_02	خداوند آن کسی که دروغگوی ناسپاس است، هدایت نمی کند.
004_00	اگر (به فرض محال) خداوند می خواست فرزندی بگیرد، مسلماً از میان آنچه را می آفریند، چیزی را که می خواست بر می گزید، او پاک و منزه است، او خداوند یکتای قهار است.
005_00	آسمانها و زمین را به حق آفرید، شب را بر روز می پیچد، و روز را بر شب می پیچد، و خورشید و ماه را مسخر (و رام) گردانید،
005_01	هر کدام تا زمانی معین در حرکتند، آگاه باشید، که او پیروزمند آمرزنده است.
006_00	(او) شما را از یک تن آفرید، سپس همسرش را از آن پدید آورد، و از چهار پایان برای شما هشت جفت
006_01	فرو فرستاد، و شما را در شکمهای مادرانتان آفرینشی بعد از آفرینش دیگر، در تاریکهای سه گانه، می آفریند، این خداوند، پروردگار شماست که فرمانروایی از آن اوست،
006_02	و جز او معبودی (به حق) نیست، پس چگونه (از حق) منحرف ( وروی گردان) می شوید؟!
007_00	اگر ناسپاسی کنید، پس (بدانید که) خداوند از شما بی نیاز است، و هرگز ناسپاسی را برای بندگانش نمی پسندد.و اگر شکر او را به جای آورید آن را برای شما می پسندد.و
007_01	هیچ کس بار گناه دیگررا بر دوش نمی کشد، پس بازگشتتان به سوی پروردگارتان است، آنگاه شما را به آنچه انجام می دادید، آگاه می کند، یقیناً او به راز دلها آگاه است.
008_00	وهنگامی که به انسان (رنج و) زیانی برسد، پروردگارش را می خواند، و به سوی او باز می گردد، پس هنگامی كه نعمتی از سوی خود به او بخشید، آنچه را که از پیش برای آن دعا می کرد فراموش می کند،
008_01	و برای خداوند همتایانی قرار می دهد، تا (مردم را) از راه او گمراه کند. بگو: « اندکی از کفرت (در دنیا) بهره مند شو، بی شک تو از دوزخیان خواهی بود».
009_00	آیا (این مشرک بهتر است، یا) کسی که در ساعات شب در حال سجده و قیام به عبادت مشغول است، و از (عذاب) آخرت بیم ناک است، و به رحمت پروردگارش امیدوار است؟!
009_01	بگو: «آیا کسانی که می دانند، و کسانی که نمی دانند یکسان هستند؟! تنها خردمندان پند می پذیرند».
010_00	(ای پیامبر) بگو: «ای بندگان من که ایمان آورده اید! از پروردگارتان بترسید، برای کسانی که در این دنیا نیکی کرده اند، پاداش نیکوست، و (اگر در شکنجه و آزار مشرکان بودید، هجرت کنید،كه) زمين خدا وسیع است،
010_01	جز این نیست که صابران، پاداش خود را بی شمار و تمام دریافت می دارند».
011_00	بگو: «من مأمور شده ام که خدا را پرستش کنم،(و) دینم را برای او خالص گردانم».
012_00	و مأمور شده ام که نخستین مسلمانان باشم».
013_00	بگو: «همانا من اگر نافرمانی پروردگارم کنم، از عذاب روزبزرگ ( قیامت) می ترسم».
014_00	(ای پیامبر) بگو: « من خدا را می پرستم، در حالی که دینم را برای او خالص می گردانم،
015_00	پس شما هر چه را که می خواهید به جای او پرستش کنید. بگو: «بی گمان زیانکاران (واقعی) کسانی اند که خود و خاندانشان را در روز قیامت از دست داده اند، آگاه باشید این همان زیان آشکار است.
016_00	برای آنها از بالای (سر) شان سایبانهایی از آتش، و در زیر (پای) شان (نیز) سایبانهایی است، این (چیزی) است که خداوند با آن بندگانش را می ترساند، ای بندگان من! از من بترسید.
017_00	و کسانی که از طاغوت(= شیطان و بتها) اجتناب کردند از آنکه آن را عبادت کنند، و رو به سوی خدا آوردند، برای آنان بشارت است، پس بندگان مرا بشارت ده.
018_00	(همان) کسانی که سخن (ها) را می شنوند، پس (از) نیکوترین آن پیروی می کنند، آنها کسانی هستند که خداوند هدایتشان کرده است، و آنها خردمندانند.
019_00	آیا (تو می توانی) کسی که فرمان عذاب بر او تحقق یافته است (نجات دهی؟!) آیا تو (می توانی) کسی که در آتش است نجات دهی؟!
020_00	لکن برای کسانی که از پروردگارشان ترسیدند، غرفه هایی( ) (در بهشت) است، که بر فراز آنها غرفه های دیگر بنا شده است، و از زیر آنها نهرها جاری است، (این) وعده ی خداوند است (و) خداوند وعده ی خود را خلاف نمی کند.
021_00	آیا ندیدی که خداوند از آسمان آبی را نازل کرد، پس آن را بصورت چشمه هایی در زمین به جریان در آورد، سپس با آن کشت و زرعی که رنگهای گوناگون دارد بیرون می آورد،
021_01	آنگاه خشک می شود، و آن را زرد می بینی، سپس آن را (ریزه ریزه و) درهم می شکند؟! بی گمان در این (امر) پندی برای خردمندان است.
022_00	آیا کسی که خدا سینه اش را برای (پذیرش) اسلام گشوده است، پس او از سوی پروردگارش بر نور (وروشنی) است (همچون سخت دلان است؟!) پس وای بر آنان که دلهایشان در برابر ذکر خدا سخت است. آنان در گمراهی آشکار هستند.
023_00	خداوند بهترین سخن را نازل کرده است، کتابی که (آیاتش) متشابه (= همانند یکدیگر، و) مکرر است‘که از (شنیدن) آن پوستهای کسانی که از پروردگارشان می ترسند، به لرزه می افتد، آنگاه پوستهایشان و دلهایشان با یاد خدا نرم می شود (و آرام می گیرد) .
023_01	این هدایت خداست که هر کس را بخواهد با آن هدایت می کند، و هر کس را که گمراه سازد، پس برای او هیچ هدایت کننده ای نخواهد بود.
024_00	آیا کسی که با چهره اش سختی عذاب روز قیامت را (از خود) دور می سازد، (همانند بهشتیان هستند؟!) و به ستمکاران گفته می شود: « بچشید (کیفر) آنچه را که بدست می آوردید».
025_00	کسانی که پیش از آنها بودند (نیز آیات ما را) تکذیب کردند، پس عذاب (الهی) از جایی که نمی دانستند، به سراغشان آمد.
026_00	پس خداوند (طعم) خواری را در زندگی دنیا به آنها چشاند، و مسلماً عذاب آخرت بزرگتر (و سخت تر) است، اگر می دانستند.
027_00	و به راستی ما برای مردم در این قرآن از هر (نوع) مثلی زده ایم، شاید که آنان پند گیرند.
028_00	قرآنی عربی، بی هیچ انحراف (و کجی را نازل کردیم) شاید آنان تقوا پیشه کنند.
029_00	خداوند مردی (مملوک) را مثل زده که در (بردگی) او شریکانی است که پیوسته با هم اختلاف (و مشاجره) دارند، و مردی (مملوک) که تنها تسلیم یک شخص است، آیا (این دو) در وصف یکسانند؟! حمد و ستایش مخصوص خداوند است، بلکه بیشتر آنها نمی دانند.
030_00	(ای پیامبر) قطعاً تو خواهی مرد، و آنها (نیز) خواهند مرد.
031_00	سپس بی گمان شما روز قیامت نزد پروردگارتان مخاصمه( ) (و جدال) می کنید.
032_00	پس چه کسی ستمکار تر است از کسی که بر خدا دروغ ببندد، و سخن راست را چون به سراغ او آمد تکذیب کند؟ آیا در جهنم جایگاهی برای کافران نیست؟!
033_00	و کسی که سخن راست را آورد و آن را تصدیق کرد، اینانند که پرهیزگارانند.
034_00	برای شان هر چه بخواهند نزد پروردگارشان (آماده) است، این پاداش نیکوکاران است.
035_00	تا خداوند بدترین اعمالی را که مرتکب شده اند، از آنها دور کند (و بزداید) و آنها را به بهترین اعمالی که انجام می دادند پاداش دهد( ).
