001_00	حم (حا . میم).
002_00	نازل شدن (این) کتاب از سوی خداوند پیروزمند حکیم است.
003_00	یقیناً در آسمانها وزمین نشانه های برای مومنان است.
004_00	و (نیز) در آفرینش شما, و(در) آنچه از جنبندگان پراکنده می سازد, نشانه های است برای گروهی که یقین دارند.
005_00	و (نیز در) آمد وشد شب وروز, ورزقی (= بارانی) که خداوند از آسمان نازل کرده پس بوسیلۀ آن زمین را بعد از مردنش زنده گرداند و(نیز در) وزش بادها, نشانه های است برای گروهی که خرد می ورزند.
006_00	اینها آیات خداوند است که ما آنها را به حق, بر تو می خوانیم, پس به کدام سخن بعد (از سخن) خدا, وآیات او ایمان می آورند؟!
007_00	وای بر هر دروغگوی گنهکار.
008_00	که آیات خدا را که بر او خوانده می شود, می شنود, سپس متکبرانه اصرار (بر کفر) دارد, گویی که آن را نشینده است, پس او را به عذابی دردناک بشارت ده.
009_00	و هرگاه چیزی از آیات ما را فراگیرد, آن را به مسخرۀ می گیرد, اینان برایشان عذاب خوار کننده ای است.
010_00	از پشت سرشان جهنم است, وآنچه را بدست آورده اند به حالشان سودمند نخواهد بود, ونه آنچه به جای خدا (برای خود) دوست (ومعبود) بر گزیده اند (آنها را نجات می دهد) وبرای آنها عذاب بزرگی است.
011_00	این (قرآن) هدایت است, وکسانی که به آیات پروردگارشان کافر شدند, برای شان عذابی از سخت ترین عذابهای درد آور است.
012_00	خداوند (همان) کسی است که دریا را برای شما مسخر کرد, تا کشتیها به فرمان او در آن روان باشند, و(نیز) تا شما (با سفر وتجارت) از فضل او (روزی) بجویید, وباشد که شما سپاسگزارید.
013_00	وآنچه را که در آسمانها وآنچه را که در زمین است همگی از آن اوست که برای شما مسخّر (و رام) کرد, بی گمان در این نشانه های است برای گروهی که اندیشه می کنند.
014_00	(ای پیامبر) به مؤمنان بگو: « از (خطای) کسانی که به ایام الله (= روزهای گرفت وپیروزی ایمان بر کفر) امید ندارند, در گذرند( ), تا (خداوند) هر گروهی را به (سبب) آنچه که انجام می دادند, سزا دهد».
