001_00	حم,
002_00	نازل شدن (این) کتاب از سوی خداوند پیروزمند حکیم است.
003_00	ما آسمانها وزمین وآنچه را که در میان آن دواست جز به حق و(برای) مدتی معین نیافریده ایم.وکسانی که کافر شدند از آنچه بیم شان می دهند روی گردانند.
004_00	(ای پیامبر, به آنها) بگو: «آیا دیده اید آنچه را که جز خدا می خوانید, به من نشان دهید چه چیزی از زمین را آفریده اند؟ یا اینکه آنها در (آفرینش) آسمانها شرکت داشته اند؟!
004_01	اگر راست می گویید کتابی (آسمانی) پیش از این (قرآن), یا اثری از علم (گذشتگان, بر صدق ادعای خود) برای من بیاورید».
005_00	وچه کسی گمراه تراست از آن که (معبودی) غیر از الله را می خواند که تا روز قیامت (هم دعای) او را اجابت نکند, وآنها (= معبودان باطل) از خواندن (ودعای) ایشان (کاملاً) بی خبرند؟!
006_00	وهنگامی که مردم (در قیامت) گرد آورده شوند, آنها (معبودان باطل) دشمنانشان خواهند بود, وعبادت شان را انکار می کنند( ).
007_00	و هنگامی که آیات روشن ما بر آنها خوانده شود, کسانی که کافر شدند, در برابر حقی که برای آنها آمده است گویند: «این جادویی آشکار است».
008_00	یا می گویند: «(پیامبر خود) آن را بافته (وبه خدا نسبت داده) است».
008_01	(ای پیامبر) بگو: «اگر من آن را بافته (وبه خدا نسبت داده) باشم پس شما نمی توانید در برابر (عذاب و خشم) خداوند از من دفاع کنید, (تنها) او به آنچه شما دربارۀ آن (= قرآن می گویید وگفتگو می کنید) آگاه تراست, وگواهی او (= خداوند) میان من وشما کافی است, و او آمرزندۀ مهربان است».
009_00	(ای پیامبر) بگو: «من از میان پیامبران (وجودی) نو ظهور نیستم. ونمی دانم که با من وشما چگونه رفتار خواهد شد, من تنها از چیزی پیروی می کنم که به من وحی می شود, وجز بیم دهنده ی آشکاری نیستم».
010_00	(ای پیامبر) بگو: «به من خبر دهید اگر (این قرآن) از سوی خدا باشد, وشما به آن کافر شوید, وشاهدی از بنی اسرائیل بر (نشانه های) آن (در تورات) شهادت داد پس (او) ایمان آورد( ), وشما سرکشی (وتکبر) می وزرید (چه بر سر شما خواهد آمد؟) 
010_01	مسلماً خداوند گروه ستمگر را هدایت نمی کند».
011_00	و کسانی که کافر شدند به کسانی که ایمان آوردند گفتند: «اگر (این دین) بهتر بود, هرگز آنها (در پذیرش آن) بر ما پیشی نمی گرفتند». وچون بدان هدایت نشدند, خواهند گفت: «این (یک) دروغ قدیم است».
012_00	وپیش از آن, کتاب موسی پیشوا ورحمت بود, واین (قرآن) کتابی است تصدیق کنندۀ (آن) که به زبان عربی است, تا کسانی که ستم کردند بیم دهد وبرای نیکوکاران بشارتی باشد.
013_00	بی گمان کسانی که گفتند: «پروردگار ما الله است, سپس استقامت کردند, پس بر آنها ترسی نیست ونه آنها اندوهگین شوند.
014_00	آنها اهل بهشتند, جاودانه در آن باشند, (این) پاداش اعمالی است که انجام می دادند.
015_00	ما به انسان سفارش کردیم که به پدر ومادرش نیکی کند( ), مادرش او را به دشواری حمل می کند, وبه دشواری بر زمین گذارد, ودوران حمل او و از شیر باز گرفتن او سی ماه ا
015_01	ست( ), تا هنگامی که به کمال (توانمندی و) رشدش برسد, وبه (سن) چهل سالگی برسد, گوید: «پروردگارا! مرا توفیق ده تا شکر نعمتت را که بر من وبر پدر ومادرم ارزانی داش
015_02	ته ای به جای آورم وکار شایسته ای انجام دهم که تو از آن خشنود شوی, وفرزندانم را صالح گردان, بی گمان من به سوی تو بازگشتم (وتوبه نمودم), وبی شک من از مسلمانانم».
016_00	آنها کسانی هستند که ما نیکوترین کارشان را می پذیریم, واز گناهانشان می گذریم ودر زمرۀ اهل بهشت هستند, این وعدۀ راستی است که وعده داده می شدند.
017_00	وکسی که به پدر ومادرش گفت: «اف بر شما! آیا شما به من وعدۀ می دهید که (از گورم) بیرون آورده می شوم؟ در حالی که نسلها پیش از من گذشته اند؟!
017_01	(وهرگز برانگیخته نشدند) وآن دو (= پدر ومادر) خدا را به یاری می طلبند که: «وای برتو! ایمان بیا ور, یقیناً وعدۀ خدا حق است», پس (او) می گوید: «اینها چیزی جز افسانه های پیشینیان نیست».
018_00	آنها کسانی هستند که همان سخن (= وعدۀ عذاب) در (زمرۀ) امتهای که پیش از آنها از جن وانس گذشته اند, بر آنها محقق شده است, بی گمان آنها زیانکار بودند.
019_00	وبرای هر یک (از آنها) درجاتی است به (حسب) آنچه انجام داده اند, وتا خداوند (پاداش) کارهایشان را به تمامی به آنها بدهد, وبه آنها هیچ ستمی نخواهد شد.
020_00	وروزی که کسانی که کافر شدند بر آتش عرضه کنند, (وبه آنها گفته شود:) «در زندگی دنیا (نعمتهای) پاکیزه (ولذتهای) خود را از بین بردید واز آنها بهره مند شدید, پس (ای کافر
020_01	ان) امروز به عذاب خوار کننده پاداشتان می دهند, (و این) به (خاطر) گردنکشی (واستکباری) که به نا حق در زمین می کردید, وبه (خاطر) نا فرمانی (وگناهانی) که انجام می دادید.
021_00	(ای پیامبر, داستان هود) برادر (قوم) عاد, را به یاد آور که چون قومش را در (سرزمین) "احقاف" (= ریگستانها) هشدار داد, ـ و به راستی هشدار دهندگانی پیش از او و بعد از او گذشته بودند ـ
021_01	که: جز الله را نپرستید, بی گمان من از عذاب روزی بزرگ بر شما می ترسم.
022_00	(آنها) گفتند: «آیا آمده ای تا ما را از (پرستش) معبودهایمان برگردانی, پس اگر از راستگویانی آنچه به ما وعده داده ای برایمان بیاور».
023_00	(هود) گفت: «علم (تحقق آن وعده ها) تنها نزد خداست, ومن آنچه را که به آن فرستاده شده ام به شما می رسانم, ولیکن من شما را قومی می بینم که (پیوسته) نادانی می کنید».
024_00	پس هنگامی که آن (عذاب) را به صورت ابری که رو به راه وادیهایشان است, دیدند, (خوشحال شدند) گفتند: «این ابری است که بر ما (باران) می بارد»( ). (هود گفت: نه,) بلکه این همان (عذابی) است که در آمدنش شتاب می کردید, بادی است که عذاب دردناکی در آن است.
025_00	همه چیز را به فرمان پروردگارش (ویران و) نا بود می کند, پس چنان شدند که جز خانه هایشان دیده نمی شد, ما این گونه گروه مجرمان را کیفر می دهیم.
026_00	به راستی ما به آنها (= قوم عاد) چنان (تمکّن و) قدرتی دادیم که به شما آن قدرت (وتمکن) نداده ایم وبرای آنها گوش وچشمها و دلها قرار دادیم.
026_01	پس گوشهایشان ونه چشمهایشان ونه دلهایشان چیزی (از عذاب الهی) را از آنها دفع نکرد (وبه حالشان سودی نبخشید), چون آیات خدا را انکار می کردند, و(سرانجام) آنچه را که به (مسخره و) ریشخند می گرفتند آنها را فرو گرفت.
027_00	وبه راستی ما قریه ها (وآبادیها) یی را که اطراف شما بوده اند هلاک کردیم, وآیات (خود) را (به صورتهای) گوناگون (برای آنها) بیان کردیم, تا شاید باز گردند.
028_00	پس چرا کسانی را که آنها به جای خداوند برای (قصد) تقرب (به خدا) معبود (خود) گرفتند, یاریشان نکردند؟ بلکه از نظرشان گم شدند, واین بود (نتیجۀ) دروغشان, وآنچه را افترا می بستند.
029_00	و(بیاد آور, ای پیامبر) هنگامی که گروهی از جن را به سوی تو متوجه ساختیم که قرآن را بشنوند( ), پس چون نزد او (= پیامبر) حضور یافتند, (به یکدیگر) گفتند: «خاموش باشید» آنگاه چون (تلاوت قرآن) به پایان رسید, (همچون) بیم دهندگانی به سوی قوم خود بازگشتند.
030_00	گفتند: «ای قوم ما! یقیناً ما کتابی را شنیدیم که بعد از موسی نازل شده است که تصدیق کنندۀ (کتابهای) پیش از خود است, به سوی حق وبه سوی راه راست هدایت می کند.
031_00	ای قوم ما! (دعوت, این) دعوت کنندۀ خدا را اجابت کنید, و به او ایمان آورید تا (خداوند) برخی از گناهانتان را برای شما بیامرزد, وشما را از عذابی دردناک پناه دهد.
