001_00	آنچه در آسمان‌ها و آنچه در زمین است برای الله تسبیح می‌گویند، و او پیروزمند حکیم است.
002_00	او کسی است که کسانی از اهل کتاب را که کافر شدند، با نخستین برخورد (و گرد‌آوری لشکر) از دیارشان بیرون راند،
002_01	گمان نمی‌کردید که آنها خارج شوند، و خودشان (نیز) گمان می‌کردند که دژهای (محکم) شان آنها را از (عذاب) الله مانع می‌شود، پس (عذاب) الله از جایی که گمان نمی‌کردند به سراغ‌شان آمد،
002_02	و در دل‌هایشان ترس و وشحت افکند، (به گونه‌ای که) خانه‌های خود را با دست خود، و با دست مؤمنان ویران می‌کردند، پس ای دیده وران عبرت گیرید.
003_00	و اگر الله ترک وطن (و آوارگی) را بر آنان مقرر نداشته بود، یقیناً آنها را در (همین) دنیا عذاب می‌کرد، و برای آنان در آخرت عذاب آتش (جهنم) است.
004_00	این (آوارگی و عذاب) به خاطر آن است که آنها با الله و پیامبرش مخالفت (و دشمنی) کردند وهرکس با الله مخالفت (و دشمنی) کند، پس بی‌گمان الله سخت کیفر است.
005_00	آنچه از درخت خرما بریدید، و یا آن را ایستاده بر ریشه اش باقی گذاردید، به فرمان الله بود، تا فاسقان را خوار (و رسوا) سازد.
006_00	و آنچه الله از (اموال) آنها به پیامبرش بازگردانده (و بخشیده) است، پس برآن (اموال) نه اسبی تاختید و نه شتری، و لیکن الله رسولانش را بر هرکس بخواهد چیره می‌گرداند،
006_01	و الله بر هرچیز تواناست.
007_00	و آنچه الله از (اموال) اهل آبادی‌ها به پیامبرش بازگردانده (و بخشیده) است، پس از آنِ الله و رسول، و خویشاوندان او، و یتی
007_01	مان، و بینوایان، و در راه ماندگان است. تا (این اموال) در میان ثروتمندان شما دست به دست نشود، و آنچه که رسول الله به شما
007_02	بدهد آن را بگیرید، و از آنچه که شما را از آن نهی کرده است پس خودداری کنید، و از الله بترسید، بی‌گمان الله سخت کیفر است.
008_00	(این اموال فَی) برای فقرای مهاجری است که از خانه و اموال‌شان بیرون رانده شدند، از الله فضل و خشنودی می‌طلبند، و الله و پیامبرش را یاری می‌کنند،
008_01	آنها راستگویانند.
009_00	و (نیز برای) کسانی که پیش از آنان در دیار خود (مدینه دار الاسلام) جای گرفتند و (نیز) ایمان آورده بودند، کسانی را که به سویشان هجرت کنند دوست می‌دارند، و در دل‌های خود از آنچه (به مهاجران) داده شده احساس حسد (و نیازی) نمی‌کنند، و آنها را بر خود مقدم می‌دارند،
009_01	هرچند خودشان نیازمند باشند، و کسانی که از بخل (و حرص) نفس خویش باز داشته شده اند، پس آنها راستگارانند.
010_00	و (نیز) کسانی که بعد از آنها (بعد از مهاجران و انصار) آمدند، می‌گویند: ,,پروردگارا! ما را و برادرانمان را که در ایمان بر ما پیشی گرفتند بیامرز، و در دل‌هایمان کینه‌ای نسبت به کسانی که ایمان آورده اند قرار مده، پروردگارا!
010_01	بی‌گمان تو رؤوف و مهربانی،،.
011_00	آیا منافقان را ندیدی که پیوسته به برادران اهل کتاب‌شان که کفر ورزیده اند می‌گویند: ,,اگر شما را (از سرزمین تان) بیرون کنند، ما (نیز) با شما بیرون خواه
011_01	یم آمد، و هرگز (سخن) کسی را در مورد شما اطاعت نخواهیم کرد، و اگر با شما جنگ شود، البته یاریتان خواهیم کرد!،، و الله گواهی می‌دهد که آنها دروغگو هستند.
012_00	اگر آنها را (از وطن) بیرون کنند با آنها بیرون نمی‌روند، و اگر با آنها جنگ شود یاریشان نخواهند کرد، و اگر (هم) یاریشان کنند، البته پشت (به میدان) کرده فرار می‌کنند، سپس یاری نمی‌شوند.
013_00	(ای مؤمنان) همانا وحشت از شما در دلهای آنها بیشتر از (ترسشان از) الله است، این بدان سبب است که آنها قومی هستند که نمی‌فهمند.
014_00	آنها (یهود) هرگز دسته‌جمعی با شما نمی‌جنگند جز در آبادیها (و دژهای) محکم یا از پشت دیوارها، نزاع (و جنگ) شان در میان خودشان سخت است، تو آنها را متحد می‌پنداری، در حالی که دلهایشان پراکنده است،
014_01	این بدان سبب است که آنها قومی هستند که تعقل نمی‌کنند.
015_00	(داستان اینها) مانند (داستان) کسانی است که اندکی پیش از آنان بودند، (طعم) عاقبت کار (بد) شان را چشیدند، و برای آنها عذاب دردناکی است.
016_00	همچون (داستان شیطان است، هنگامی که به انسان گفت: «کافر شو» پس چون کافر شد، گفت: «بی‌گمان من از تو بیزارم، من از الله پروردگار جهانیان می‌ترسم».
017_00	پس سرانجام (کار) هردوی آنها این شد که هردوی آنهادر آتش (دوزخ) خواهند بود، جاودانه در آن می‌مانند، و این است کیفر ستمکاران!.
018_00	ای کسانی که ایمان آوریده اید! از الله بترسید، وهرکس باید بنگرد که برای فردا چه پیش فرستاده است، و از الله بترسید، بی‌گمان الله به آنچه انجام می‌دهید آگاه است.
019_00	و همچون کسانی نباشید که الله را فراموش کردند، پس الله (نیز) خودشان را فراموش‌شان ساخت، آنها (بدکار و) نافرمانند.
020_00	هرگز اهل جهنم و اهل بهشت یکسان نیستند، اهل بهشت رستگارانند.
021_00	اگر این قرآن را بر کوهی نازل می‌کردیم، یقیناً آن را از ترس الله خاکسار و ا
021_01	ز هم پاشیده می‌دیدی( ) و این مثلها را برای مردم می‌زنیم، شاید که بیندیشند.
022_00	او الله است که جز او معبودی (راستین) نیست، دانای غیب و آشکار است، او بخشندة مهربان است.
023_00	او الله است که جز او معبودی (راستین) نیست، پادشاه، نهایت پاک، منزّه (و سالم از هر عیب)، ایمنی دهنده، نگهبان پیروزمند، جبار (جبران‌کننده) و شایستة عظمت و بزرگی است.
023_01	الله پاک و منزّه است از آنچه (برای او) شریک می‌آورند.
024_00	او الله است، خالق، نوآفرین، نقشبند (بی‌نظیر) برای او نامهای نیک است، آنچه در آسمانها و زمین است تسبیح او می‌گویند، و او پیروزمند حکیم است.
