001_00	وای بر کم فروشان.
002_00	کسانی که چون (برای خود) از مردم پیمانه می کنند, حق خود را کامل می گیرند.
003_00	وهنگامی که (می خواهند) برای آنان پیمانه یا وزن کنند, کم می گذارند.
004_00	آیا آنها گمان نمی کنند که (قیامت فرا می رسد واز قبرها) برانگیخته می شود.
005_00	در روزی بزرک؟!
006_00	(همان) روزی که مردم در پیشگاه پروردگار جهانیان می ایستند.
007_00	هرگز چنین نیست (که کافران پنداشته اند) حقا که نامۀ (اعمال) بدکاران در سجین است.
008_00	و تو چه دانی که سجین چیست؟!
009_00	کتابی است که (اعمال بدکاران در آن) نوشته شده است.
010_00	در آن روز وای بر تکذیب کنندگان!
011_00	آنان که روز جزا را (انکارو) تکذیب می کنند.
012_00	وجز ستمکاران گنهکار (کسی) آن (روز) را تکذیب نمی کنند.
013_00	چون آیات ما بر آنها تلاوت شود, گوید: «(این) افسانه های گذشتگان است».
014_00	هرگز چنین نیست (که آنها گمان می کنند) بلکه (بسب) آنچه کرده اند بر دلهایشان زنگار بسته است.
015_00	هرگز چنین نیست (که آنها می پندارند) بی گمان آنها در آن روز از (دیدار) پروردگارشان یقیناً محجوب و محرومند.
016_00	سپس (بعد از حساب) مسلماً وارد دوزخ می شوند.
017_00	آنگاه به آنها گفته می شود: «این (آتش) همان جیزی است که آن را تکذیب می کردید!».
018_00	هرگز چنین نیست (که آنها می پندارند) بی گمان نامۀ (اعمال) نیکوکاران در علیین است.
019_00	و تو چه دانی که علیین چیست؟!
020_00	کتابی است که (اعمال نیکوکاران در آن) نوشته شده است.
021_00	که مقربان (درگاه الهی) بر آن حاضر شوند (وگواهی دهند).
022_00	همانا نیکوکاران در نعمت (های بهشت) هستند.
023_00	برتختها (تکیه زده و) می نگرند.
024_00	خرمی ونشاط نعمت را در چهره هایشان (می بینی و) می شناسی.
025_00	آنها از شواب ناب مهرشده, (نوشانده و) سیراب می شوند.
026_00	مهری که بر آن نهاده شده از شک است, ودر این (شراب ونعمتهایی دیگر بهشت) مشتاقان باید بر یکدیگر پیشی گیرند.
027_00	و آمیزه اش از تسنیم است.
028_00	(همان) چشمه ای که مقربان (درگاه الهی) از آن می نوشنده.
029_00	همانا کسانی که جرم وگناه کردند پیوسته (در دنیا) بر کسانی که ایمان آورده بودند می خندیدند.
030_00	وهرگاه (مؤمنان) از کنارشان می گذشتند با چشم وابرو بهم اشاره می کردند.
031_00	و چون به سوی خانوارۀ خود باز می گشتند, شادمان وخندان باز می گشتند.
032_00	و هنگامی که مؤمنان را می دیدند می گفتند: «بی گمان اینها گمراهانند».
033_00	در حالی که آنان برای مراقبت (ونگهبانی) بر مؤمنان فرستاده نشده بودند.
034_00	پس امروز کسانی که ایمان آورده اند به کافر می خندند.
035_00	بر تختها (ی آراسته نشته و) می نگرند.
036_00	آیا کافران پاداش آنچه می کردند دریافت کرده اند؟!
