001_00	Alef, Lam, Mim.
002_00	Deus! Não há mais divindade além d'Ele, o Vivente, o Subsistente.
003_00	Ele te revelou (ó Mohammad) o Livro (paulatinamente) com a verdade corroborante dos anteriores, assim como haviarevelado a Tora e Evangelho,
004_00	Anteriormente, para servir de orientação aos humanos, e relevou ainda o Discernimento. Aqueles que negarem osversículos de Deus, sofrerão um severo castigo, e Deus é Punidor, Poderosíssimo.
005_00	De Deus nada se oculta, tanto na terra como nos céus.
006_00	Ele é Quem vos configura nas entranhas, como Lhe apraz. Não há mais divindades além d'Ele, o Poderoso, oPrudentíssimo.
007_00	Ele foi Quem te revelou o Livro; nele há versículos fundamentais, que são a base do Livro, havendo outros alegóricos.
007_01	Aqueles cujos abrigam a dúvida, seguem os alegóricos, a fim de causarem dissensões, interpretando-os capciosamnte.
007_02	Porém, ninguém, senão Deus, conhece a sua verdadeira interpretação. Os sábios dizem: Cremos nele (o Alcorão); tudoemana do nosso Senhor. Mas ninguém o admite, salvo os sensatos.
008_00	(Que dizem:) Ó Senhor nosso, não desvies os nossos corações, depois de nos teres iluminados, e agracia-nos com a TuaMisericórdia, porque Tu és o Munificiente por excelência.
009_00	Ó Senhor nosso, Tu consagrarás os humanos para um dia indubitável. E Deus não faltará com a promessa.
010_00	Quanto aos incrédulos, nem as suas riquezas, nem os seus filhos, de nada lhes servirão ante Deus, e serão combustível doinferno.
011_00	Terão a mesma sorte do povo do Faraó e dos seus antecessores, que desmentiram os Nossos versículos; porém, Deus oscastigou por seus pecados, porque Deus é Severíssimo na punição.
012_00	Dize (ó Profeta) aos incrédulos: Sereis vencidos e congregados para o inferno. Que funesto leito!
013_00	Tivestes um exemplo nos dois grupos que se enfrentaram: um combatia pela causa de Deus e outro, incrédulo, via com osseus próprios olhos o (grupo) fiel, duas vezes mais numeroso do que na realidade o era;
013_01	Deus reforça, com Seu socorro, quem Lhe apraz. Nisso há uma lição para os que têm olhos para ver.
014_00	Aos homens foi abrilhantado o amor à concupiscência relacionada às mulheres, aos filhos, ao entesouramento do ouro eda prata, aos cavalos de raça, ao gado e às sementeiras.
014_01	Tal é o gozo da vida terrena; porém, a bem-aventurança está ao lado de Deus.
015_00	Dize (ó Profeta): Poderia anunciar-vos algo melhor do que isto?
015_01	Para os que temem a Deus haverá, ao lado do seu Senhor, jardins, abaixo dos quais correm rios, onde morarão eternamente, junto a companheiros puros,
015_02	e obterão acomplacência de Deus, porque Deus é observador dos Seus servos,
016_00	Que dizem: ó Senhor nosso, cremos! Perdoa os nossos pecados e preserva-nos do tormento infernal.
017_00	São perseverantes, verazes, consagrados (a Deus), caritativos, e nas horas de vigília imploram o perdão a Deus.
018_00	Deus dá testemunho de que não há mais divindade além d'Ele; os anjos e os sábios O confirmam Justiceiro; não há maisdivindades além d'Ele, o Poderoso, o Prudentíssimo.
019_00	Para Deus a religião é o Islam. E os adeptos do Livro só discordaram por inveja, depois que a verdade lhes foirevelada.
019_01	Porém, quem nega os versículos de Deus, saiba que Deus é Destro em ajustar contas.
020_00	E se eles discutirem contigo (ó Mohammad), dize-lhes: Submeto-me a Deus, assim como aqueles que me seguem!
020_01	Pergunta aos adeptos do Livro e aos iletrados: Tornai-vos-ei muçulmanos? Se se tornarem encaminhar-se-ão; se negarem, sabe que a ti só compete a proclamação da Mensagem. E Deus é observador dos Seus servos.
021_00	Alerta aqueles que negam os versículos de Deus, assassinam iniquamente os profetas e matam os justiceiros,
021_01	dentre os homens, de que terão um doloroso castigo.
022_00	São aqueles cujas obras tornar-se-ão sem efeito, neste mundo e no outro, e não terão socorredores.
023_00	Não reparaste nos que foram agraciados com uma parte do Livro, e mesmo quando foram convocados para o Livro deDeus, para servir-lhes de juiz, alguns deles o negaram desdenhosamente?
024_00	E ainda disseram: O fogo infernal não nos atingirá, senão por alguns dias. Suas próprias invenções os enganaram, em suareligião.
025_00	Que será deles, quando os congregarmos, no Dia Indubitável, em que cada alma será recompensada segundo o seumérito, e não será defraudada?
026_00	Dize: Ó Deus, Soberano do poder! Tu concedes a soberania a quem Te apraz e a retiras de quem desejas; exaltas quemqueres e humilhas a Teu belprazer.
026_01	Em Tuas mãos está todo o Bem, porque só Tu és Onipotente.
027_00	Tu inseres a noite no dia e inseres o dia na noite; extrais o vivo do morto e o morto do vivo,
027_01	e agraciasimensuravelmente a quem Te apraz.
028_00	Que os fiéis não tomem por confidentes os incrédulos, em detrimento de outros fiéis. Aqueles que assim procedem, de maneira alguma terão o auxílio de Deus, salvo se for para vos precaverdes e vos resguardardes.
028_01	Deus vos exorta a d'Ele vos lembrardes, porque para Ele será o retorno.
029_00	Dize: Quer oculteis o que encerram os vossos corações, quer o manifesteis, Deus bem o sabe, como também conhecetudo quanto existe nos céus e na terra, porque é Onipotente.
030_00	No dia em que cada alma se confrontar com todo o bem que tiver feito e com todo o mal que tiver cometido, ansiará paraque haja uma grande distância entre ela e ele (o mal).
030_01	Deus vos exorta a d'Ele vos lembrardes, porque Deus é Compassivopara com os Seus servos.
031_00	Dize: Se verdadeiramente amais a Deus, segui-me; Deus vos amará e perdoará as vossas faltas, porque Deus éIndulgente, Misericordiosíssimo.
032_00	Dize: Obedecei a Deus e ao Mensageiro! Mas, se se recusarem, saibam que Deus não aprecia os incrédulos.
033_00	Sem dúvida que Deus preferiu Adão, Noé, a família de Abraão e a de Imran, aos seus contemporâneos,
034_00	Famílias descendentes umas das outras, porque Deus é Oniouvinte, Sapientíssimo.
035_00	Recorda-te de quando a mulher de Imran disse: Ó Senhor meu, é certo que consagrei a ti, integralmente, o fruto do meuventre; aceita-o, porque és o Oniouvinte, o Sapientíssimo.
036_00	E quando concebeu, disse: Ó Senhor meu, concebi uma menina. Mas Deus bem sabia o que eu tinha concebido, e ummacho não é o mesmo que uma fêmea.
036_01	Eis que a chamo Maria; ponho-a, bem como à sua descendência, sob a Tua proteção, contra o maldito Satanás.
037_00	Seu Senhor a aceitou benevolentemente e a educou esmeradamente, confiando-a a Zacarias. Cada vem que Zacarias avisitava, no oratório, encontrava-a provida de alimentos, e lhe perguntava: Ó Maria, de onde te vem isso?
037_01	Ela respondia: De Deus!, porque Deus agracia imensuravelmente quem Lhe apraz.
038_00	Então, Zacarias rogou ao seu Senhor, dizendo: Ó Senhor meu, concede-me uma ditosa descendência, porque és Exorável, por excelência.
039_00	Os anjos o chamaram, enquanto rezava no oratório, dizendo-lhe: Deus te anuncia o nascimento de João, que corroborará o Verbo de Deus,
039_01	será nobre, casto e um dos profetas virtuosos.
040_00	Disse: Ó Senhor meu, como poderei ter um filho, se a velhice me alcançou a minha mulher é estéril? Disse-lhe (o anjo): Assim será. Deus faz o que Lhe apraz.
041_00	Disse: Ó Senhor meu, dá-me um sinal. Asseverou-lhe (o anjo): Teu sinal consistirá em que não fales com ninguémdurante três dias, a não ser por sinais. Recorda-te muito do teu Senhor e glorifica-O à noite e durante as horas da manhã.
042_00	Recorda-te de quando os anjos disseram: Ó Maria, é certo que Deus te elegeu e te purificou, e te preferiu a todas asmulheres da humanidade!
043_00	Ó Maria, consagra-te ao Senhor! Prostra-te e genuflecte, com os genuflexos!
044_00	Estes são alguns relatos do incognoscível, que te revelamos (ó Mensageiro). Tu não estavas presente com eles (osjudeus) quando, com setas, tiravam a sorte para decidir quem se encarregaria de Maria; tampouco estavam presentes quandorivalizavam entre si.
045_00	E quando os anjos disseram: Ó Maria, por certo que Deus te anuncia o Seu Verbo, cujo nome será o Messias, Jesus, filho de Maria, nobre neste mundo e no outro,
045_01	e que se contará entre os diletos de Deus.
046_00	Falará aos homens, ainda no berço, bem como na maturidade, e se contará entre os virtuosos.
047_00	Perguntou: Ó Senhor meu, como poderei ter um filho, se mortal algum jamais me tocou? Disse-lhe o anjo: Assim será. Deus cria o que deseja, posto que quando decreta algo, diz: Seja! e é.
048_00	Ele lhe ensinará o Livro, a sabedoria, a Tora e o Evangelho.
049_00	E ele será um Mensageiro para os israelitas, (e lhes dirá): Apresento-vos um sinal d vosso Senhor: pla
049_01	smarei de barro afigura de um pássaro, à qual darei vida, e a figura será um pássaro, com beneplácito
049_02	de Deus, curarei o cego de nascença e oleproso; ressuscitarei os mortos, com a anuência de Deus, e vos
049_03	revelarei o que consumis o que entesourais em vossas casas. Nisso há um sinal para vós, se sois fiéis.
050_00	(Eu vim) para confirmar-vos a Tora, que vos chegou antes de mim, e para liberar-vos algo que vos está vedado.
050_01	Eu vim com um sinal do vosso Senhor. Temei a Deus, pois, e obedecei-me.
051_00	Sabei que Deus é meu Senhor e vosso. Adorai-O, pois. Essa é a senda reta.
052_00	E quando Jesus lhes sentiu a incredulidade, disse: Quem serão os meus colaboradores na causa de Deus?
052_01	Os discípulos disseram: Nós seremos os colaboradores, porque cremos em Deus; e testemunhamos que somos muçulmanos.
053_00	Ó Senhor nosso, cremos no que tens revelado e seguimos o Mensageiro; inscreve-nos, pois, entre os testemunhadores.
054_00	Porém, (os judeus) conspiraram (contra Jesus); e Deus, por Sua parte, planejou, porque é o melhor dos planejadores.
055_00	E quando Deus disse: Ó Jesus, por certo que porei termo à tua estada na terra; ascender-te-ei até Mim e salvar-te-ei dos incrédulos, fazendo prevalecer sobre eles os teus prosélitos, até ao Dia da Ressurreição.
055_01	Então, a Mim será o vosso retorno e julgarei as questões pelas quais divergis.
056_00	Quanto aos incrédulos, castigá-los-ei severamente, neste mundo e no outro, e jamais terão protetores.
057_00	Em troca, aos fiéis, que praticam o bem, Deus os recompensará; sabei que Deus não aprecia os iníquos.
058_00	Estes são os versículos que te ditamos, acompanhados de prudente Mensagem.
059_00	O exemplo de Jesus, ante Deus, é idêntico ao de Adão, que Ele criou do pó, então lhe disse: Seja! e foi.
060_00	Esta é a verdade emanada do teu Senhor. Não sejas, pois, dos que (dela) duvidam.
061_00	Porém, àqueles que discutem contigo a respeito dele, depois de te haver chegado o conhecimento, dize-lhes: Vinde! Convoquemos os nossos filhos e os vossos, e as nossas mulheres e as vossas,
061_01	e nós mesmos; então, deprecaremos para que amaldição de Deus caia sobre os mentirosos.
062_00	Esta é a puríssima verdade: não há mais divindade além de Deus e Deus é o Poderoso, o Prudentíssimo.
063_00	Porém, se desdenharem, saibam que Deus bem conhece os corruptores.
064_00	Dize-lhes: Ó adeptos do Livro, vinde, para chegarmos a um termo comum, entre nós e vós: Comprometamo-nos, formalmente, a não adorar senão a Deus, a não Lhe atribuir parceiros e a não nos tomarmos uns aos outros por senhores, emvez de Deus.
064_01	Porém, caso se recusem, dize-lhes: Testemunhais que somos muçulmanos.
065_00	Ó adeptos do Livro, por que discutis acerca de Abraão, se a Tora e o Evangelho não foram revelados senão depoisdele? Não raciocinais?
066_00	Vá lá que discutais sobre o que conheceis. Por que discutis, então, sobre coisas das quais não tendes conhecimentoalgum? Deus sabe e vós ignorais.
067_00	Abraão jamais foi judeu ou cristão; foi, outrossim, monoteísta, muçulmano, e nunca se contou entre os idólatras.
068_00	Os mais chegados a Abraão foram aqueles que o seguiram, assim como (o são) este Profeta e os que creram; e Deus éProtetor dos fiéis.
069_00	Uma parte dos adeptos do Livro tentou desviar-vos; porém, sem o perceber, não fez mais do que desviar a si mesma.
070_00	Ó adeptos do Livro, por que negais os versículos de Deus, conhecendo-os?
071_00	Ó adeptos do Livro, por que disfarçais a verdade com a falsidade, e ocultais a verdade com pleno conhecimento?
072_00	E há uma parte dos adeptos do Livro que diz: Crede, ao amanhecer, no que foi relevado aos fiéis, e negai-o ao anoitecer! Talvez assim renunciem à sua religião.
073_00	E não confieis senão naqueles que professam a vossa religião. Dize-lhes (ó Profeta): A verdadeira orientação é a deDeus.
