001_00	Yá, Sin.
002_00	Pelo Alcorão da Sabedoria.
003_00	Que tu és dos mensageiros,
004_00	Numa senda reta.
005_00	É uma revelação do Poderoso, Misericordiosíssimo.
006_00	Para que admoestes um povo, cujos pais não foram admoestados e permaneceram indiferentes.
007_00	A palavra provou ser verdadeira sobre a maioria deles, pois que são incrédulos.
008_00	Nós sobrecarregamos os seus pescoços com correntes até ao queixo, para que andem com as cabeças hirtas.
009_00	E lhes colocaremos uma barreira pela frente e uma barreira por trás, e lhes ofuscaremos os olhos, para que não possamver.
010_00	Tanto se lhes dá que os admoestes ou não; jamais crerão.
011_00	Admoestarás somente quem seguir a Mensagem e temer intimamente o Clemente; anuncia a este, pois, uma indulgência euma generosa recompensa.
012_00	Nós ressuscitaremos os mortos, e registraremos as suas ações e os seus rastros, porque anotaremos tudo num Livrolúcido.
013_00	E lembra-lhes a parábola dos moradores da cidade, quando se lhes apresentaram os mensageiros.
014_00	Enviamos-lhes dois (mensageiros), e os desmentiram; e, então, foram reforçados com o envio de um terceiro; (osmensageiros) disseram-lhes: Ficai sabendo que fomos enviados a vós.
015_00	Disseram: Não sois senão seres como nós, sendo que o Clemente nada revela que seja dessa espécie; não fazeis mais doque mentir.
016_00	Disseram-lhes: Nosso Senhor bem sabe que somos enviados a vós.
017_00	E nada nos compete, senão a proclamação da lúcida Mensagem.
018_00	Disseram: Auguramos a vossa desgraça e, se não desistirdes, apedrejar-vos-emos e vos infligiremos um dolorosocastigo.
019_00	Responderam-lhes: Que vosso augúrio vos acompanhe! Maltratar-nos-eis, acaso, porque fostes admoestados? Sois, certamente, um povo transgressor!
020_00	E um homem, que acudiu da parte mais afastada da cidade, disse: Ó povo meu, segui os mensageiros!
021_00	Segui aqueles que não vos exigem recompensa alguma e são encaminhados!
022_00	E por que não teria eu de adorar Quem me criou e a Quem vós retornareis?
023_00	Deverei, acaso, adorar outros deuses em vez d'Ele? Se o Clemente quisesse prejudicar-me, de nada valeriam as suasintercessões, nem poderiam salvar-me.
024_00	(Se eu os adorasse), estaria em evidente erro.
025_00	Em verdade, creio em vosso Senhor, escutai-me pois!
026_00	Ser-lhe-á dito: Entra no Paraíso! Dirá então: Oxalá meu povo soubesse,
027_00	Que meu Senhor me perdoou e me contou entre os honrados!
028_00	E depois dele não enviamos a seu povo hoste celeste alguma, nem nunca enviaremos.
029_00	Foi só um estrondo, e ei-los inertes!, feito cinzas, prostrados e silentes.
030_00	Ai dos (Meus) servos! Não lhes foi apresentado mensageiro algum sem que o escarnecessem!
031_00	Não reparam, acaso, em quantas gerações, antes deles, aniquilamos? Não retornarão a eles.
032_00	Todos, unanimemente, comparecerão ante Nós.
033_00	Um sinal, para eles, é a terra árida; reavivamo-la e produzimos nela o grão com que se alimentam.
034_00	Nela produzimos, pomares de tamareiras e videiras, em que brotam mananciais,
035_00	Para que se alimentem dos seus frutos, coisa que suas mãos não poderiam fazer. Não agradecerão?
036_00	Glorificado seja Quem criou pares de todas as espécies, tanto naquilo que a terra produz como no que eles mesmosgeram, e ainda mais o que ignoram.
037_00	E também é sinal, para eles, a noite, da qual retiramos o dia, e ei-los mergulhados nas trevas!
038_00	E o sol, que segue o seu curso até um local determinado. Tal é o decreto do Onisciente, Poderosíssimo.
039_00	E a lua, cujo curso assinalamos em fases, até que se apresente como um ramo seco de tamareira.
040_00	Não é dado ao sol alcançar a lua; cada qual gira em sua órbita; nem a noite, ultrapassar o dia.
041_00	Também é um sinal, para eles, o fato de termos levado os seus concidadãos na arca carregada.
042_00	E lhes criamos similares a ela, para navegarem.
043_00	E, se quiséssemos, tê-los-íamos afogada, e não teriam quem ouvisse os seus gritos, nem seriam salvos,
044_00	A não ser com a nossa misericórdia, como provisão, por algum tempo.
045_00	E quando lhes é dito: Temei o que está antes de vós e o que virá depois de vós, talvez recebereis misericórdia, (desdenham-no)
046_00	Não lhes foram apresentados quaisquer dos versículos do seu Senhor, sem que os desdenhassem!
047_00	E quando lhes é dito: Fazei caridade daquilo com que Deus vos agraciou!, os incrédulos dizem aos fiéis: Havemos nósde alimentar alguém a quem, se Deus quisesse, poderia fazê-lo? Certamente estais em evidente erro.
048_00	E dizem (mais): Quando se cumprirá essa promessa? Dizei-no-lo, se estiverdes certos.
049_00	Não esperam nada, a não ser um estrondo que os fulmine enquanto estão disputando.
050_00	E não terão oportunidade de deixar testamento, nem de voltar aos seus.
051_00	E a trombeta será soada, e ei-los que sairão dos seus sepulcros e se apressarão para o seu Senhor.
052_00	Dirão: Ai de nós! Quem nos despertou do nosso repouso? (Ser-lhes-á respondido): Isto foi o que prometeu o Clemente, eos mensageiros disseram a verdade.
053_00	Bastará um só toque (de trombeta), e eis que todos comparecerão ante Nós!
054_00	Hoje nenhuma alma será defraudada, nem sereis retribuídos, senão pelo que houverdes feito.
055_00	Em verdade, hoje os diletos do Paraíso estarão em júbilo.
056_00	Com seus consortes, estarão à sombra, acomodados sobre almofadas.
057_00	Aí terão frutos e tudo quanto pedirem.
058_00	Paz! Eis como serão saudados por um Senhor Misericordiosíssimo.
059_00	E vós, ó pecadores, afastai-vos, agora, dos fiéis!
060_00	Porventura não vos prescrevi, ó filhos de Adão, que não adorásseis Satanás, porque é vosso inimigo declarado?
061_00	E que Me agradecêsseis, porque esta é a senda reta?
062_00	Não obstante, ele desviou muita gente, dentre vós. Por que não raciocinastes?
063_00	Eis aí o inferno, que vos foi prometido!
064_00	Entrai nele e sofrei hoje, por vossa descrença.
065_00	Neste dia, selaremos as suas bocas; porém, as suas mãos Nos falarão, e os seu pés confessarão tudo quanto tiveremcometido.
066_00	E, se quiséssemos, ter-lhes-íamos cegado os olhos; lançar-se-iam, então, precipitadamente pela senda. Porém, como averiam?
067_00	E se quiséssemos, tê-los-íamos transfigurado em seus lares e não poderiam avançar, nem retroceder.
068_00	E se concedemos vida longa a alguém reverter-lhe-emos a natureza: não o compreendem?
069_00	E não instruímos (o Mensageiro) na poesia, porque não é própria dele. O que lhe revelamos não é senão uma Mensageme um Alcorão lúcido,
070_00	Para admoestador quem estiver vivo, e para que a palavra seja provada, a respeito dos incrédulos.
071_00	Porventura, não reparam em que entre o que Nossas Mãos fizeram (entre outras coisas) está o gado, de que estão deposse?
072_00	E os submetemos a eles (para seu uso)? Entre eles, há os que lhes servem de montarias e outros de alimento.
073_00	E deles obtêm proveitos (outros) e bebidas (leite). Por que, então, não agradecem?
074_00	Todavia, adora outras divindades, em vez de Deus, a fim de que os socorram!
075_00	Porém, não podem socorrê-los; outrossim, são eles que serão trazidos como legiões.
076_00	Que seus dizeres não te atribulem, porque conhecemos tanto o que ocultam, como o que manifestam.
077_00	Acaso, ignora o homem que o temos criado de uma gota de esperma? Contudo, ei-lo um oponente declarado!
078_00	E Nos propõe comparações e esquece a sua própria criação, dizendo: Quem poderá recompor os ossos, quando jáestiverem decompostos?
079_00	Dize: Recompô-los-á Quem os criou da primeira vez, porque é Conhecedor de todas as criações.
080_00	Ele vos propiciou fazerdes fogo de árvores secas, que vós usais como lenha.
081_00	Porventura, Quem criou os céus e a terra não será capaz de criar outros seres semelhantes a eles? Sim! Porque Ele é oCriador por excelência, o Onisciente!
082_00	Sua ordem, quando quer algo, é tão-somente: Seja!, e é.
083_00	Glorificado seja, pois, Aquele em Cujas Mãos está o domínio de todas as coisas, e a Quem retornareis.
