001_00	Ha, Mim.
002_00	(Eis aqui) uma revelação do Clemente, Misericordiosíssimo.
003_00	É um Livro cujos versículos foram detalhados. É um Alcorão árabe destinado a um povo sensato.
004_00	É alvissareiro e admoestador; porém, a maioria dos humanos o desdenha, sem ao menos escutá-lo.
005_00	E afirmaram: Os nossos corações estão insensíveis a isso a que nos incitas; os nosso ouvidos estão ensurdecidos e entretu e nós, há uma barreira. Faze, pois, (por tua religião), que nós faremos (pela nossa)!
006_00	Dize-lhes: Sou tão-somente um mortal como vós, a quem tem sido revelado que vosso Deus é um Deus Único. Consagrai-vos, pois, a Ele, e implorai-Lhe perdão! E ai dos idólatras,
007_00	Que não pagam o zakat e renegam a outra vida!
008_00	Sabei que os fiéis, que praticam o bem, obterão uma recompensa infalível.
009_00	Dize-lhes (mais): Renegaríeis, acaso, Quem criou a terra em dois dias, e Lhe atribuireis rivais? Ele é o Senhor doUniverso!
010_00	E sobre ela (a terra) fixou firmes montanhas, e abençoou-a e distribuiu, proporcionalmente, o sustento aos necessitados, em quatro dias.
011_00	Então, abrangeu, em Seus desígnios, os céus quando estes ainda eram gases, e lhes disse, e também à terra: Juntai-vos, de bom ou de mau grado! Responderam: Juntamo-nos voluntariamente.
012_00	Assim, completou-os, como este céus, em dois dias, e a cada céu assinalou a sua ordem. E adornamos o firmamentoterreno com luzes, para que servissem de sentinelas.
012_01	Tal é o decreto do Poderoso, Sapientíssimo.
013_00	Porém, se desdenharem, dize-lhes: Advirto-vos da vinda de uma centelha, semelhante àquela enviado dos povos de Ad eSamud.
014_00	Pois quando os mensageiros, de todas as partes, se apresentaram a eles, (dizendo-lhes): Não adoreis senão a Deus!, responderam-lhes: Se Deus quisesse isso, teria enviado anjos (para predicá-lo).
014_01	Certamente negaremos a vossa missão.
015_00	O povo de Ad, ainda, ensoberbeceu-se iniquamente na terra; e disse: Quem é mais poderoso do que nós? Porventura, nãorepararam em que Deus, Que os criou, é mais poderoso do que eles?
015_01	Sem dúvida, negaram os nossos versículos.
016_00	Pelo que desencadeamos sobre eles um vento glacial, em dias nefastos, para fazê-los sofrer o castig
016_01	o aviltoso da vidaterrena; porém, o da outra vida será ainda mais aviltante, e não serão socorridos.
017_00	E orientamos o povo de Samud; porém, preferiram a cegueira à orientação. E fulminou-os a centelha do castigoignominioso, pelo que lucraram.
018_00	E salvamos os fiéis tementes.
019_00	E no dia em que os adversários de Deus forem congregados, desfilarão em direção ao fogo infernal.
020_00	Até que, quando chegarem a ele, seus ouvidos, seus olhos e suas peles, testemunharão contra eles a respeito de tudoquanto tiverem cometido.
021_00	E perguntarão às suas peles; Por que testemunhastes contra nós? Responderão: Deus foi Quem nos fez falar; Ele faz falartodas as coisas! Ele vos criou anteriormente e a Ele retornareis.
022_00	E jamais podereis subtrair-vos a que vossos ouvidos, vossos olhos e vossas peles testemunhem contra vós. Nãoobstante, pensastes que Deus não saberia muito do quanto fazíeis!
023_00	E o que vos fez duvidar de vosso Senhor foi o pensamento, o qual vos aniquilou, e fez com que fizésseis parte dosdesventurados!
024_00	E mesmo se perseverarem, terão o fogo por morada; e mesmo se implorarem complacência, não serão dos que foremcompadecidos!
025_00	E lhes destinamos companheiros (da mesma espécie), os quais os alucinam no presente, e o farão no futuro, e
025_01	merecem asentença do castigo das gerações de gênios humanos precedentes, porque (estes) eram desventurados.
026_00	E os incrédulos dizem: Não deis ouvidos a este Alcorão: outrossim, fazei bulha durante a sua leitura. Quiçá, assimvencereis!
027_00	Infligiremos um severo castigo aos incrédulos e os puniremos pelo pior que tiverem feito.
028_00	Tal será o castigo dos adversários de Deus: o fogo, que terão por morada eterna, em punição por terem negado osNossos versículos.
029_00	Os incrédulos dirão: Ó Senhor nosso, mostra-nos os gênios e humanos que vos extraviaram; colocá-los-emos sob osnossos pés, para que se contem entre os mais vis!
030_00	Em verdade, quanto àqueles que dizem: Nosso Senhor é Deus, e se firmam, os anjos descerão sobre eles, os quais lhesdirão: Não temais, nem vos atribuleis; outrossim, regozijai-vos com o Paraíso que vos está prometido!
031_00	Temos sido os vossos protetores na vida terrena e (o seremos) na outra vida, onde tereis tudo quanto anelam as vossasalmas e onde tereis tudo quanto pretendeis.
032_00	Tal é a hospedagem do Indulgente, Misericordiosíssimo!
033_00	E quem é mais eloqüente do que quem convoca (os demais) a Deus, pratica o bem e diz: Certamente sou um dosmuçulmanos?
