001_00	Caf. Pelo Alcorão glorioso (que tu és o Mensageiro de Deus).
002_00	Qual! Admiram-se de que lhes tenha surgido um admoestador de sua estirpe. E os incrédulos dizem: Isto é algoassombroso.
003_00	Acaso, quando morrermos e formos convertidos em pó, (seremos ressuscitados)? Tal retorno será impossível!
004_00	Nós já sabemos a quantos deles tem devorado a terra, porque possuímos um Livro de registros.
005_00	Não obstante, desmentem a verdade quando esta lhes chega, e, ei-los aí em estado caótico.
006_00	Porém, não reparam, acaso, no céu que está acima deles? Como o construímos e o adornamos, sem abertura aparente?
007_00	E dilatamos a terra, fixando nela (firmes) montanhas, produzindo aí toda a formosa espécie, em pares,
008_00	Para a observação e recordação de todo o servo contrito.
009_00	E enviamos do céu a água bendita, mediante a qual produzimos jardins e cereais para a colheita.
010_00	E também as frondosas tamareiras, cujos cachos estão carregados de frutos em simetria,
011_00	Como sustento para os servos; e fazemos reviver, com ela, (a água) uma terra árida. Assim será a ressurreição!
012_00	Antes deles, desmentiram os mensageiros o povo de Noé, os moradores de Arrass e o povo de Samud.
013_00	O povo de Ad, o Faraó, os irmãos de Lot,
014_00	Os habitantes da floresta e o povo de Tubba todos desmentiram os mensageiros e todos mereceram a Minha advertência.
015_00	Porventura, exaurimo-nos com a primeira criação? Qual! Estão em dúvida acerca da nova criação.
016_00	Criamos o homem e sabemos o que a sua alma lhe confidencia, porque estamos mais perto dele do que a (sua) artériajugular.
017_00	Eis que dois (anjos da guarda), são apontados para anotarem (suas obras), um sentado à sua direita e o outro à esquerda.
018_00	Não pronunciará palavra alguma, sem que junto a ele esteja presente uma sentinela pronta (para a anotar).
019_00	E a hora da morte trará a verdade: Eis do que tentáveis escapar!
020_00	E a trombeta soará. Eis aí o dia da advertência.
021_00	E cada alma comparecerá, acompanhada de um anjo, como guia, e outro, como testemunha.
022_00	(Ser-lhe-á dito): Estavas descuidado a respeito disto; porém, agora removemos o teu véu; tua vista será penetrante, nessedia.
023_00	E seu acompanhante dirá: Aí está (o registro dos teus atos) completo comigo.
024_00	(Depois da sentença será dito aos anjos da guarda): Precipitai no inferno todo o incrédulo obstinado,
025_00	Que obstruirá o bem, era profanador, dubitável,
026_00	Que atribuía a Deus outras divindades. Arrojai-o, pois, no severo tormento!
027_00	Seu acompanhante (sedutor) dirá: Ó Senhor nosso, eu não o fiz transgredir; porém, ele é que estava em um erro profundo.
028_00	Dir-lhes-á (Deus): Não disputeis em Minha presença, uma vez que nos enviei antecipadamente a advertência.
029_00	A palavra é insubstituível perante Mim, e jamais sou injusto para com os Meus servos.
030_00	Naquele dia perguntaremos ao inferno: Estás já repleto? E responderá: Há alguém mais?
031_00	E o Paraíso, para os tementes, estará preparado, não longe dali.
032_00	Eis aqui o que se promete a todo o arrependido, observante (dos preceitos),
033_00	Que teme intimamente o Clemente e comparece, com um coração contrito.
034_00	Entrai nele (o Paraíso), em paz! Eis aqui o Dia da Eternidade!
035_00	Lá terão tudo quanto desejarem, e mais ainda, em Nossa presença.
036_00	E quantas gerações, anteriores a eles e mais poderosas do que eles, temos aniquilado! Conquanto percorressem a terra, tiveram porventura, alguma escapatória?
037_00	Em verdade, nisto há uma mensagem para aquele que tem coração, que escuta atentamente e é testemunha (da verdade).
038_00	Criamos os céus e a terra e, quanto existe entre ambos, em seis dias, e jamais sentimos fadiga alguma.
039_00	Tolera, pois, tudo quanto te dizem, e celebra os louvores do teu Senhor, antes do nascer do sol e antes do acaso.
040_00	E glorifica-O ao anoitecer e no fim das prostrações.
041_00	E aguarda o dia em que o convocador fizer a chamada, de um lugar próximo.
042_00	Dia esse em que ouvirão verdadeiramente o estrondo; tal será o dia da Ressurreição!
043_00	Somos Nós que damos a vida e a morte, e a Nós será o retorno.
044_00	Tal acontecerá, no dia em que a terra se fender acima deles (e eles saírem) apressadamente (dos sepulcros): isso será acongregação, fácil para Nós.
045_00	Nós bem sabemos tudo quanto dizem, e tu não és o seu incitador. Admoesta, pois, mediante o Alcorão, a quem tema aMinha ameaça!
