001_00	Pelo monte (Sinai).
002_00	Pelo Livro escrito,
003_00	Em um pergaminho desenrolado.
004_00	Pelo templo freqüentado.
005_00	Pelo céu elevado.
006_00	E pelos oceanos transbordantes.
007_00	Que o castigo do teu Senhor está iminente.
008_00	Ninguém pode evitá-lo.
009_00	(Será) o dia em que o firmamento oscilará energicamente.
010_00	E as montanhas mover-se-ão rapidamente.
011_00	Ai, nesse dia, dos desmentidores.
012_00	Que se houverem dado a veleidades.
013_00	Será o dia em que se verão violentamente impulsionados para o fogo infernal.
014_00	(Ser-lhes-á dito): Eis aqui o fogo, que negastes!
015_00	É isto, acaso, magia, ou não vedes ainda?
016_00	Entrai aí, porque redundará no mesmo, que o suporteis, quer não. Sabei que sempre sereis recompensados pelo quehouverdes feito.
017_00	Quanto aos tementes (a Deus), viverão em jardins e em felicidade.
018_00	Gozando daquilo com que o seu Senhor os houver agraciado; e o seu Senhor os preservará do suplício infernal.
019_00	(Ser-lhes-á dito): Comei e bebei, com proveito, pelo que (de bom) fizestes!
020_00	Estarão recostados sobre leitos enfileirados e os casarmos com huris, de olhos maravilhosos.
021_00	E aqueles que creram, bem como as sua proles, que os seguirem na fé, reuni-los-emos às suas famílias, e não osprivaremos de nada, quanto à sua recompensa merecida.
021_01	Todo o indivíduo será responsável pelos seus atos!
022_00	E os proveremos de frutas e carnes, bem como do que lhes apetecer.
023_00	Aí bridarão de uma taça, cuja bebida não os levará à frivolidade, nem os induzirá ao pecado.
024_00	E serão servidos por mancebos, formosos como se fossem pérolas em suas conchas.
025_00	E acercar-se-ão em tertúlias.
026_00	Dirão: Em verdade, antes estávamos temerosos pelos nossos familiares.
027_00	Portanto, Deus nos agraciou e nos preservou do tormento do vento abrasador.
028_00	Porque antes O invocávamos, por ser Ele o Beneficente, o Misericordiosíssimo!
029_00	Predica-lhes, pois, que, mercê do teu Senhor, não és um adivinho, nem um energúmeno.
030_00	Ou dirão: É um poeta. Aguardamos que lhe chegue a calamidade, (produzida) pelo tempo!
031_00	Dize-lhes: Aguardai, que eu também sou um dos que aguardam convosco!
032_00	São, acaso, suas faculdades mentais que os induzem a isso, ou é que são um povo de transgressores?
033_00	Dirão ainda: Porventura, ele o tem forjado (o Alcorão)? Qual! Não crêem!
034_00	Que apresentem, pois, uma mensagem semelhante, se estivermos certos.
035_00	Porventura, não foram eles criados do nada, ou são eles os criadores?
036_00	Ou criaram, acaso, os céus e a terra? Qual! Não se persuadirão!
037_00	Possuem, porventura, os tesouros do teu Senhor, ou são eles os dominadores?
038_00	Ou possuem alguma escada, para escalar o céu, a fim de detectar ali, os segredos? Que os espreitadores apresentem umaautoridade evidente!
039_00	Ou pertencem a Ele as filhas e a vós os filhos?
040_00	Ou lhes exiges, porventura, alguma recompensa, e por isso ficam sobrecarregados de dívidas?
041_00	Ou pensam estar de posse do incognoscível donde copiam o que dizem?
042_00	Ou (nem suma), intentam conspirar (contra ti)? Qual! Saibam os incrédulos que serão envolvidos na conspiração!
043_00	Ou, por fim, têm outra divindade, além de Deus? Glorificado seja Deus, de tudo quanto Lhe associam!
044_00	E se vissem desabar um fragmento do céu, diriam: São nuvens saturadas!
045_00	Deixa-os, pois, até que se deparem com o seu dia, em que serão fulminados!
046_00	Dia esse em que de nada lhes servirão as suas conspirações, nem serão socorridos.
047_00	Em verdade, os iníquos, além desse, sofrerão outros castigos; porém, a maioria o ignora.
048_00	E tu (ó Mensageiro), aguarda até ao Dia do Juízo do teu Senhor, porque estás ante Nossos olhos. E glorifica os louvoresdo teu Senhor, quando te levantares,
049_00	E numa parte da noite, e glorifica-O ao retirarem-se as estrelas.
