001_00	Ó tu, acobertado,
002_00	Levanta-te à noite (para rezar), porém não durante toda a noite;
003_00	A metade dela ou pouco menos,
004_00	Ou pouco mais, e recita fervorosamente o Alcorão.
005_00	Em verdade, vamos revelar-te uma mensagem de peso.
006_00	Em verdade, o ato de te levantares à noite para rezares é mais marcante e mais adequado.
007_00	Porque durante o dia tens muitos afazeres.
008_00	Porém, recorda-te do teu Senhor e consagra-te integralmente a Ele.
009_00	Ele é o Senhor do Oriente e do Ocidente. Não há mais divindade além d'Ele! Toma-O, pois, por Guardião!
010_00	E tolera tudo quanto te digam, e afasta-te dignamente deles.
011_00	E deixa por Minha conta os desmentidores, opulentos, e tolera-os por curto tempo,
012_00	Porque lhes reservamos os grilhões e o fogo,
013_00	Um alimento que engasga e um doloroso castigo.
014_00	Será o dia em que haverão de tremer a terra e as montanhas, e haverão de se converter, as montanhas, em dunas dispersas.
015_00	Sabei que vos enviamos um Mensageiro, para ser testemunha contra vós, tal como enviamos um mensageiro ao Faraó.
016_00	Porém, o Faraó desobedeceu ao mensageiro, pelo que o castigamos severamente.
017_00	Se não crerdes, como, então, vos precavereis, no dia em que envelhecerão as crianças.
018_00	E o céu se fenderá? Sabei que a Sua promessa se cumprirá!
019_00	Em verdade, esta é uma admoestação, e, quem quiser, poderá encaminhar-se para a senda do seu Senhor.
020_00	Em verdade, o teu Senhor sabe que tu te levantas para rezar, algumas vezes durante dois terços da noite, outras, metade, e outras, ainda, um terço, assim como (o faz) uma boa parte dos teus; mas Deus mede a noite e o dia, e bem sabe que não podeis precisar (as horas), pelo que vos absolve.
020_01	Recitai, pois, o que puderdes do Alcorão!
020_02	Ele sabe que, entre vós, há enfermos, e outros que viajam pela terra, à procura da graça de Deus, e outros, que combatem pela causa de Deus.
020_03	Recitai, oferecei espontaneamente a Deus.
020_04	E todo o bem que fizerdes, será em favor às vossas almas; achareis a recompensa em Deus, porque Deus é Indulgente, Misericordiosíssimo.
