001_00	Pelas horas da manhã,
002_00	E pela noite, quando é serena,
003_00	Que o teu Senhor não te abandonou, nem te odiou.
004_00	E sem dúvida que a outra vida será melhor, para ti, do que a presente.
005_00	Logo o teu Senhor te agraciará, de um modo que te satisfaça.
006_00	Porventura, não te encontrou órgão e te amparou?
007_00	Não te encontrou extraviado e te encaminhou?
008_00	Não te achou necessitado e te enriqueceu?
009_00	Portanto, não maltrates o órfão,
010_00	Nem tampouco repudies o mendigo,
011_00	Mas divulga a mercê do teu Senhor, em teu discurso.
