001_00	Каф. Ха. Йа. Айн. Сад.
002_00	Это является напоминанием о милости твоего Господа, оказанной Его рабу Закарии (Захарии).
003_00	Вот он воззвал к своему Господу в тайне
004_00	и сказал: «Господи! Воистину, кости мои ослабели, а седина уже распространилась по моей голове. А ведь раньше благодаря молитвам к Тебе, Господи, я не был несчастен.
005_00	Я опасаюсь того, что натворят мои родственники после меня, потому что жена моя бесплодна. Даруй же мне от Тебя наследника,
006_00	который наследует мне и семейству Йакуба (Иакова). И сделай его, Господи, угодником».
007_00	О Закария (Захария)! Воистину, Мы радуем тебя вестью о мальчике, имя которому Йахья (Иоанн). Мы не создавали прежде никого с таким именем (или никого подобного ему).
008_00	Он сказал: «Господи! Как может быть у меня мальчик, если моя жена бесплодна, а я уже достиг дряхлого возраста?».
009_00	Он сказал: «Все так и будет! Господь твой сказал: «Это для Меня легко, ведь прежде Я сотворил тебя самого, хотя тебя вообще не было»».
010_00	Он сказал: «Господи! Назначь для меня знамение». Он сказал: «Знамением для тебя станет то, что ты не будешь говорить с людьми в течение трех ночей, будучи в полном здравии».
011_00	Он вышел из молельни к своему народу и дал им понять: «Воздавайте хвалу по утрам и перед закатом!».
012_00	О Йахья (Иоанн)! Крепко держи Писание. Мы одарили его мудростью, пока он был еще ребенком,
013_00	а также состраданием от Нас и чистотой. Он был богобоязнен,
014_00	почтителен к родителям и не был гордецом и ослушником.
015_00	Мир ему в тот день, когда он родился, в тот день, когда он скончался, и в тот день, когда он будет воскрешен к жизни!
016_00	Помяни в Писании Марьям (Марию). Вот она ушла от своей семьи на восток
017_00	и укрылась от них за завесой. Мы же послали к ней Нашего Духа (Джибрила), и он предстал перед ней в облике прекрасно сложенного человека.
018_00	Она сказала: «Я прибегаю к Милостивому, чтобы Он защитил меня от тебя, если только ты богобоязнен».
019_00	Он сказал: «Воистину, я послан твоим Господом, чтобы даровать тебе чистого мальчика».
020_00	Она сказала: «Как у меня может быть мальчик, если меня не касался мужчина, и я не была блудницей?».
021_00	Он сказал: «Вот так! Господь твой сказал: «Это для Меня легко. Мы сделаем его знамением для людей и милостью от Нас. Это дело уже предрешено!»»
022_00	Она понесла его (забеременела) и отправилась с ним в отдаленное место.
023_00	Родовые схватки привели ее к стволу финиковой пальмы, и она сказала: «Лучше бы я умерла до этого и была навсегда забытой!».
024_00	Тогда он (Иса или Джибрил) воззвал к ней из-под нее: «Не печалься! Господь твой создал под тобой ручей.
025_00	Потряси на себя ствол пальмы, и на тебя попадают свежие финики.
026_00	Ешь, пей и радуйся! Если же увидишь кого-либо из людей, то скажи: «Я дала Милостивому обет хранить молчание и не стану сегодня разговаривать с людьми»».
027_00	Она пришла к своим родным, неся его. Они сказали: «О Марьям (Мария)! Ты совершила тяжкий (или небывалый, или удивительный) проступок.
028_00	О сестра Харуна (Аарона)! Твой отец не был скверным человеком, и мать твоя не была блудницей».
029_00	Она показала на него, и они сказали: «Как мы можем говорить с младенцем в колыбели?».
030_00	Он сказал: «Воистину, я - раб Аллаха. Он даровал мне Писание и сделал меня пророком.
031_00	Он сделал меня благословенным, где бы я ни был, и заповедал мне совершать намаз и раздавать закят, пока я буду жив.
032_00	Он сделал меня почтительным к моей матери и не сделал меня надменным и несчастным.
033_00	Мир мне в тот день, когда я родился, в тот день, когда я скончаюсь, и в тот день, когда я буду воскрешен к жизни».
034_00	Таков Иса (Иисус), сын Марьям (Марьям)! Слово Истины, относительно которого они препираются.
035_00	Не подобает Аллаху иметь сына. Пречист Он! Когда Он принимает решение, то стоит Ему сказать: «Будь!». - как это сбывается.
036_00	Иса (Иисус) сказал: «Воистину, Аллах - мой Господь и ваш Господь. Поклоняйтесь же Ему. Это и есть прямой путь».
037_00	Но секты разошлись во мнениях между собой. Горе же неверующим, которые встретят Великий день!
038_00	Как же ясно они будут слышать и видеть в тот день, когда они явятся к Нам! Но сегодня беззаконники пребывают в очевидном заблуждении.
039_00	Предупреди их о Дне печали, когда решение уже будет принято. Но они проявляют беспечность и не веруют.
040_00	Воистину, Мы унаследуем землю и тех, кто на ней, и они вернутся к Нам!
041_00	Помяни в Писании Ибрахима (Авраама). Он был правдивейшим человеком и пророком.
042_00	Вот он сказал своему отцу: «Отец мой! Почему ты поклоняешься тому, что не слышит и не видит и не принесет тебе никакого избавления?
043_00	Отец мой! Мне открылось знание, которое не было открыто тебе. Последуй же за мной, и я поведу тебя верным путем.
044_00	Отец мой! Не поклоняйся дьяволу, поскольку он ослушался Милостивого.
045_00	Отец мой! Я боюсь, что тебя постигнет наказание от Милостивого и что ты станешь помощником дьявола.
046_00	Он сказал: «Неужели ты отворачиваешься от моих богов, Ибрахим (Авраам)? Если ты не перестанешь, то я непременно побью тебя камнями. Оставь же меня надолго!».
047_00	Он сказал: «Мир тебе! Я буду просить моего Господа простить тебя. Воистину, Он снисходителен ко мне.
048_00	Я удаляюсь от вас и от того, чему вы поклоняетесь помимо Аллаха, и обращаюсь с мольбой к моему Господу. Быть может, благодаря молитвам к моему Господу я не буду несчастен».
049_00	Когда он удалился от них и от того, чему они поклонялись помимо Аллаха, Мы даровали ему Исхака (Исаака) и Йакуба (Иакова). Каждого из них Мы сделали пророком.
050_00	Мы одарили их из Нашей милости и оставили о них правдивую молву.
051_00	Помяни в Писании Мусу (Моисея). Воистину, он был избранником (или искренним) и был посланником и пророком.
052_00	Мы подали ему глас с правой стороны горы и подозвали его поближе тихим голосом.
053_00	По милости Своей Мы сделали для него его брата Харуна (Аарона) пророком.
054_00	Помяни в Писании Исмаила (Измаила). Воистину, он был правдивым в обещаниях и был посланником и пророком.
055_00	Он велел своей семье совершать намаз и выплачивать закят, а его Господь был доволен им.
056_00	Помяни в Писании Идриса. Воистину, он был правдивейшим человеком и пророком.
057_00	Мы вознесли его на высокое место.
058_00	Это - те, кого облагодетельствовал Аллах, из числа пророков, которые были потомками Адама и тех, кого Мы спасли вместе с Нухом (Ноем), и потомками Ибрахима (Авраама) и Исраила (Израиля), и из числа тех, кого Мы наставили на прямой путь и избрали.
058_01	Когда им читали аяты Милостивого, они падали ниц и рыдали.
059_00	После них пришли потомки, которые перестали совершать намаз и стали потакать желаниям. Все они понесут убыток (или будут испытывать тяготы; или понесут наказание за невежество; или встретят зло),
060_00	кроме тех, которые раскаялись, уверовали и поступали праведно. Они войдут в Рай, и с ними нисколько не поступят несправедливо.
061_00	Это будут сады Эдема, обещанные Милостивым Его рабам, которые не видели их воочию. Воистину, обещание Его исполнится.
062_00	Они не услышат там празднословия, но услышат приветствие миром. Для них там приготовлен их удел утром и после полудня.
063_00	Таков Рай, который Мы отдадим в наследство тем из Наших рабов, которые были богобоязненны.
064_00	Ангелы сказали: «Мы нисходим только по велению твоего Господа. Ему принадлежит то, что перед нами, и то, что позади нас, и то, что между ними. Господь твой не забывчив».
065_00	Господь небес, земли и того, что между ними! Поклоняйся же Ему и будь стоек в поклонении Ему. Знаешь ли ты другого с таким именем (или подобного Ему)?
066_00	Человек говорит: «Неужели после того, как я умру, я выйду из могилы живым?».
067_00	Разве человек не помнит, что еще раньше Мы создали его, хотя его вообще не было?
068_00	Клянусь твоим Господом, Мы непременно соберем их и дьяволов, а затем поставим их вокруг Геенны на колени.
069_00	Потом Мы выведем из каждой общины того, кто больше других ослушался Милостивого.
070_00	Нам лучше знать, кому более подобает гореть там (или кто более других заслуживает войти туда).
071_00	Каждый из вас войдет туда. Таково окончательное решение твоего Господа.
072_00	Потом Мы спасем богобоязненных, а беззаконников оставим там стоять на коленях.
073_00	Когда им читают Наши ясные аяты, неверующие говорят верующим: «Какая из двух групп занимает более высокое положение и более достойное место?».
074_00	Сколько же поколений до них Мы погубили! Они превосходили их богатством (или утварью) и внешностью.
075_00	Скажи: «Да продлит Милостивый жизнь заблудших до тех пор, пока они не увидят обещанные мучения или Час.
075_01	Тогда они узнают, чье место хуже и чье воинство слабее».
076_00	Аллах увеличивает приверженность прямому пути тех, кто следует прямым путем. А нетленные благодеяния лучше перед твоим Господом по вознаграждению и по исходу.
077_00	Видел ли ты того, кто не уверовал в Наши знамения и сказал: «Я непременно буду одарен богатством и детьми?».
078_00	Разве он знал сокровенное или заключил завет с Милостивым?
079_00	Нет! Мы запишем его слова и увеличим его мучения.
080_00	Мы унаследуем от него то, о чем он говорил, и он явится к Нам в одиночестве.
081_00	Они стали поклоняться наряду с Аллахом другим богам, чтобы те одарили их могуществом.
082_00	Но нет! Они отрекутся от поклонения им и станут их противниками.
083_00	Разве ты не видишь, что Мы послали к неверующим дьяволов, чтобы те подстрекали их?
084_00	Посему не торопись с ними! Мы ведем для них счет.
085_00	В тот день Мы соберем благочестивых перед Милостивым почтенной делегацией,
086_00	а грешников погоним в Геенну, словно на водопой.
087_00	Никто не обретет права заступничества, кроме тех, у кого был завет с Аллахом.
088_00	Они говорят: «Милостивый взял Себе сына».
089_00	Этим вы совершаете ужасное злодеяние.
090_00	Небо готово расколоться, земля готова разверзнуться, а горы готовы рассыпаться в прах от того,
091_00	что они приписывают Милостивому сына.
092_00	Не подобает Милостивому иметь сына!
093_00	Каждый, кто на небесах и на земле, явится к Милостивому только в качестве раба.
094_00	Он знает их число и пересчитал их.
095_00	Каждый из них явится к Нему в День воскресения в одиночестве.
096_00	Тех, которые уверовали и совершали праведные деяния, Милостивый одарит любовью.
097_00	Мы облегчили его (Коран) на твоем языке для того, чтобы ты обрадовал им богобоязненных людей и предостерег им злостных спорщиков.
098_00	Сколько поколений до них Мы подвергли гибели! Разве ты ощущаешь присутствие кого-нибудь из них или слышишь их шепот?
