001_00	Ха. Мим.
002_00	Ниспосланное от Милостивого, Милосердного
003_00	является Писанием, аяты которого разъяснены в виде Корана на арабском языке для людей знающих.
004_00	Оно возвещает благую весть и предостерегает, однако большинство их отворачивается и не слышит.
005_00	Они говорят: «Наши сердца закрыты для того, к чему ты призываешь нас, наши уши поражены глухотой, а между нами и тобой - завеса. Трудись же, и мы будем трудиться».
006_00	Скажи: «Я - такой же человек, как и вы. Мне внушено в откровении, что ваш бог - Бог Единственный. Идите к Нему прямым путем и просите у Него прощения. И горе многобожникам,
007_00	которые не выплачивают закята и не веруют в Последнюю жизнь».
008_00	Воистину, тем, которые уверовали и совершали праведные деяния, уготована неиссякаемая награда.
009_00	Скажи: «Неужели вы не веруете в Того, Кто создал землю за два дня, и равняете с Ним других? Он же - Господь миров.
010_00	Он воздвиг над землей незыблемые горы, наделил ее благодатью и распределил на ней пропитание для страждущих (или для тех, кто спрашивает) за четыре полных дня.
011_00	Потом Он обратился к небу, которое было дымом, и сказал ему и земле: «Придите по доброй воле или по принуждению». Они сказали: «Мы пришли по доброй воле».
012_00	Он сотворил их семью небесами за два дня и внушил каждому небу его обязанности. Мы украсили нижнее небо светильниками и оберегаем его (или для оберегания его).
012_01	Таково предопределение Могущественного, Знающего».
013_00	Если же они отвернутся, то скажи: «Я предостерегаю вас от мучений, подобных мучениям адитов и самудян».
014_00	Посланники приходили к ним спереди и сзади: «Не поклоняйтесь никому, кроме Аллаха». Они же говорили: «Если бы наш Господь захотел, то ниспослал бы ангелов.
014_01	Воистину, Мы не веруем в то, с чем вы посланы».
015_00	Что касается адитов, то они возгордились на земле без всякого права и сказали: «Кто может превзойти нас силой?».
015_01	Неужели они не видели, что Аллах, Который сотворил их, превосходит их силой? Они отвергали Наши знамения.
016_00	Мы наслали на них морозный (или завывающий) ветер в злополучные дни, чтобы дать им вкусить муки позора в мирской жизни.
016_01	А мучения в Последней жизни будут еще более позорными, и им не будет оказана помощь.
