001_00	O besimtarë! Plotësoni obligimet (marrëveshjet)!
001_01	U lejua për ju ngrënia e shtazëve, përveç atyre që do t’ju lexohen juve; përderisa të gjendeni në haxhxhillëk, nuk u lejohet gjuetia. Me të vërtetë, Perëndia, vendos për atë që dëshiron.
002_00	O besimtarë!
002_01	Mos e llogaritni për të lejueshme cenimin e shenjave të Perëndisë në haxhxhillëk, as muajt e mëdhenj, as kurbanin e Qabes,
002_02	as kurbanët që janë të shënuar me xherdan, as (mos i pengoni) ata që kanë synuar të vizitojnë Qaben, duke kërkuar mirësinë dhe kënaqësinë e Zotit të vet.
002_03	E, kur të dilni prej ihramit (pas kryerjes së haxhxhillëkut), gjuani (nëse doni). Dhe, mos t’ju nxisë juve urrejtja ndaj disa njerëzve, nga se ju kanë penguar juve në të vizituarit e Qabesë, kurrsesi mos t’ju nxisë që t’i sulmoni! Ndihmoni njëri-tjetrit në punë të mira dhe në të ruajturit nga të këqijat, dhe mos ndihmoni në mëkate dhe armiqësi! Dhe druajuni Perëndisë! Se, Perëndia, dënon ashpër.
003_00	U ndalohet juve ngrënia e coftinës, gjakut, mishi i derrit, asaj kafshe që është therrur jo në emër të Perëndisë, mishi i kafshës që është lidhur në fyt e ka plasë, mishi i kafshës që është rrahë e ka ngordhë, e i asaj kafshe që është mbytur nga të rrëzuarit, e i asaj që është mbytur me brirë nga kafshët e tjera, e i asaj që është mbytur nga egërsirat, përveç atyre që i preni ju para se të ngordhin. U ndalohet juve ngrënia e asaj që është therrur për nder të kryqëve dhe të të kërkuarit e fatit me fall.
003_01	Të gjitha këto që u përmendën janë mëkat. Sot, dëshprohen ata, që nuk besojnë dhe kanë humbur çdo shpresë, që t’ju prishin dispozitat e fesë suaj.
003_02	Mos u frikësoni prej tyre, por druani (vetëm) prej meje! Sot ua përsosa dispozitat e fesë suaj dhe ua plotësova dhuntinë Time ndaj jush.
003_03	Jam i kënaqur që feja islame të jetë fé e juaja. Por kushdo që të jet ëi shtrënguar nga uria, (e han nga këto jo me qëllim përr t’u kënaqur) nuk ka mëkat.
003_04	Se, Perëndia është falës e mëshirues.
004_00	Të pyesin ty (muslimanët) ç’është e lejueshme që të hanë ata. Thuaju (o Muhammed!): “U lejohet juve çdo gjë që është e bukur dhe at që ua gjuajnë shtazët që i keni stërvitur ju e i përdorni në gjueti, duke qenë ato të mësuara me dijeninë që ua ka dhënë Perëndia juve.
004_01	Pra, hani ate që ua sjellin juve (kafshët që janë gjuajtur), e përmendni emrin e Perëndisë! Druajuni Perëndisë! Se, Perëndia është llogaritar i shpejtë.
005_00	Sot u janë lejuar gjërat e mira e të pastra.
005_01	U janë lejuar juve edhe ushqimet e ithtarëve të Librit, si dhe ushqimet tuaja janë të lejuara për ata.
005_02	Dhe janë të lejuara për ju femrat e ndershme besimtare; dhe femrat e ndershme të atyre që u është dhënë Libri para jush, kur t’jua jepni dhuratat e kurorëzimit, duke u martua me ato, e duke mos bërë me to kurvëri, as duke i marrë për mikesha (konkubine).
005_03	Kushdo që mohon besimin, puna e tij është e falimentuar. Ai në Ditën e Kijametit do të jetë nga të dënuarit.
006_00	O besimtarë!
006_01	Kur doni të bëni namaz lanie fytyrën dhe duart tuaja dei në bërryla dhe fshinie kokën me dorë të lagët; lani edhe këmbët deri në nyje.
006_02	E, nëse jeni xhunub, pastrohuni!
006_03	Por, në qoftë se jeni të sëmurë (që mund t’u dëmtojë uji), ose gjendnei në udhëtim, ose ndonjëri nga ju vie pas kryerjes së nevojës natyrore, ose nëse keni pasur marrëdhënie (seksuale) me granitë e nuk gjeni ujë, atëherë gjeni (bëni tejemmum) në dhé të pastër dhe fshinie fytyrat tuaja dhe duart me te.
006_04	Perëndia nuk dëshiron t’ju krijojë ndonjë vështirësi juve, por dëshiron t’ju pastrojë juve dhe t’i plotësojë dhuntitë e Tij ndaj jush, që të jeni falenderues.
007_00	Kujtonie dhuntinë e Perëndisë dhe obligimin me të cilin u ka obliguar Ai juve, kur thatë: “Dëgjuam dhe u bindëm!” Druajuni Perëndisë!
007_01	Se, Perëndia, di ç’keni në zemrat tuaja.
008_00	O besimtarë! – bëhuni të qëndrueshëm në urdhërat e Perëndisë dhe bëhuni dëshmues me të drejtë!
008_01	Le të mos u nxis juve urrejtja ndaj një kombi për të bërë padrejtësi. Bëhuni të drejtë (ndaj miqve dhe armiqve), se drejtësia është më afër takvasë (dispozitave të islamizmit), dhe durajuni Perëndisë! Se, Perëndia, është i dijshëm për çdo gjë që punoni ju.
