001_00	Elif Lâm Râ. Këto janë versetet e Librit plot dijeni.
002_00	Vallë, pse çuditën njerëzit që Na ia shpallëm njërit prej tyre (duke i thënë): “Paralajmëroji njerëzit dhe sihariqoji ata që besojnë;
002_01	se, me të vërtetë, për ta ka shpërblim të mrekullueshëm te Zoti i tyre!” Mohuesit thanë: “Ky, me të vërtetë, është magjistar i madh!”
003_00	Perëndia, me të vërtetë, është Zoti juaj, i cili për gjashtë ditë (periudha të caktuara kohore) ka krijura qiejt dhe Tokën, u bë sundues i tërë gjithësisë, duke drejtuar çdo gjë. S’ka ndërmjetës tek Ai, përpos me lejen e Tij.
003_01	Ky është Perëndia, Zoti juaj, andaj adhuronie Atë! A s’po mendoni ju?!
004_00	Tek Ai do të ktheheni të gjithë ju. Premtimi i Perëndisë është i vërtetë. Ai krijon prej fillimit (prej kurrgjëje), e pastaj e kthen atë në jetën e përhershme, që t’i shpërblejë me të drejtë – ata që besojnë dhe punojnë vepra të mira.
004_01	E, për ata që nuk besojnë, ka pije nga uji i vluar dhe dënim të madh, për shkak se kanë mohuar.
005_00	Ai, Diellin e bëri burim të dritës, kurse Hënën e bëri të shkëlqejë, duke i caktuar fazat e saj, për të ditur numrin e viteve dhe njehsimin e kohës).
005_01	Vetëm Perëndia i krijoi këto në mënyrë të mrekullueshme. Ai ua shpjegon argumentet njerëzve që kuptojnë.
006_00	Me të vërtetë, në ndërrimin e natës dhe të ditës dhe në atë që ka krijuar Perëndia në qiej dhe në Tokë, janë argumentet për ata që besojnë.
007_00	Me të vërtetë, ata që nuk shpresojnë se do të takohen me Ne, dhe janë të kënaqur me jetën e kësaj bote, dhe janë qetësuar në të (botë), dhe të cilët janë të pakujdesshëm ndaj argumenteve Tona –
008_00	për ta, vendstrehim është zjarri, për atë që kanë punuar.
009_00	Me të vërtetë, ata që besojnë dhe punojnë vepra të mira, Zoti i tyre i udhëzon në rrugë të drejtë, ngase besojnë; e rrjedhin lumenjtë pranë tyre në kopshtet e kënaqësisë,
010_00	lutja e tyre në to (kopshtije) është: “Qofsh i lavdëruar o Zot!” e përshëndetja e tyre në të: “Selam” e lutja e tyre e fundit është: “Falenderojmë Perëndinë, Zotin e gjithësisë!”
011_00	Sikur Perëndia, t’ua shpejtonte të keqen njerëzve, ashtu siç e dëshirojnë ata shpejt të mirën, ata me të vërtetë, do të zhdukeshin.
011_01	E, Ne, megjithatë, ata që nuk shpresojnë takimin Tonë – i lëmë që të bredhin andej e këndej në humbjet e tyre.
012_00	E, kur njeriun ta gjejë e keqja, atëherë Na lutet: shtrirë, ose ulur, ose në këmbë (në çdo mënyrë).
012_01	E, posa Na t’ia largojmë të keqen atij, vazhdon – thuajse nuk Na është lutur për fatkeqësinë që e ka goditur. Kështu plangësprishësve (batakqinjëve) iu zbukurohet ajo që punojnë.
013_00	Na i kemi zhdukur madje – shumë popuj para jush, përse kanë bërë zullum.
013_01	Dhe pejgamberët e tyre, u kanë sjellë atyre dokumente të qarta, por ata nuk kanë besuar. Kështu Na i dënojmë njerëzit e këqinj.
014_00	Pastaj u kemi bërë juve pas tyre – zëvendës në Tokë, për të parë se si do të veproni.
015_00	E, kur t’ju lexohen ajetet Tona, të qarta, atëherë thonë ata, që nuk shpresojnë se do të dalin para Nesh: “Na sjell ti ndonjë Kur’an tjetër ose ndërroje atë!” Thuaj (o Muhammed): “Është e pamundur ta ndërroj unë atë – nga ana ime. Unë shkoj vetëm pas asaj që më është shpallë.
015_01	Unë druaj – nëse i kundërshtoj Zotit tim – dënimit të Ditës së Madhe”.
016_00	Thuaj: “Sikur të kishte dashur Perëndia, unë nuk do t’jua mësoja dhe as që do të bënte Ai që ta mësoni ju atë. Unë kam jetuar një kohë (të gjatë) në mesin tuaj – para Pejgamberllëkut, a nuk po mendoni?”
017_00	Kush është zullumqar më i madh se ai që trillon gënjeshtra për Perëndinë ose që i përgënjeshtron ajetet e Tij?! Me të vërtetë, mëkatarët nuk kanë shpëtim.
