001_00	Sâd! Pasha Kur’anin e madhërueshëm (që këshillon),
002_00	(por) jobesimtarët janë mendjemëdhenj dhe përçarës (nuk e pranojnë të Vërtetën)!
003_00	Sa e sa breza para tyre (popullit të Mekkes), Ne i kemi zhdukur, e ata kanë thirrë në ndihmë, por ka qenë vonë!
004_00	Ata janë çuditur për ardhjen e një paralajmëruesi nga mesi i tyre, dhe jobesimtarët kanë thënë: “Ky është magjistar dhe gënjeshtar;
005_00	A don ai që prej tërë perëndive të bëjë një perëndi? Me të vërtetë, kjo është një gjë e çudtishme!”
006_00	Dhe paria nga mesi i tyre u larguan (duke i thënë njëri-tjetrit): “Shkoni dhe bëhuni të durueshëm pranë perëndive tuaj; Me të vërtetë, kjo është një punë (e madhe) që dëshirohet.
007_00	Këtë nuk e kemi dëgjuar në fenë e mëparshme. Ky është vetëm një trillim;
008_00	Vallë, nga mesi ynë atij t’i dërgohet Kur’ani?!” Por, ata dyshojnë në Këshillën Time, meqë ende nuk e kanë shijuar dënimin Tim.
009_00	Vallë, a te ata janë thesarët e mëshirës së Zotit tënd të Plotëfuqishëm dhe Dhurues?
010_00	Apo i tyre është pushteti i qiejve dhe Tokës dhe ç’ka në mes tyre? E, le të ngjiten atëherë, me mjete (në qiell).
011_00	Ata (jobesimtarët-kurejshit) janë një ushtri e vogë e përbërë nga grupet, të cilat do të shpartallohen aty.
012_00	Edhe para tyre, kanë përgënjeshtruar populli i Nuhut, edhe Adi edhe Faraoni – pronar i godinave madhështore,
013_00	edhe Themudi edhe populli i Lutit edhe banorët e Ejketit; këta janë aleatë (grupe);
014_00	të gjithë këta i kanë konsideruar pejgamberët gënjeshtarë, andaj u realizua dënimi Im.
015_00	Këta presin vetëm një zë të madh që nuk përsëritet,
016_00	dhe ata (përqeshësit) thonë: “O Zoti ynë, shpejtona pjesën tonë (të dënimit) para Ditës së Llogarisë!”
017_00	(Perëndia ka urdhëruar): “Duro (o Muhammed) për atë që thonë ata dhe kujtoje robin Tonë Daudin, e fuqishëm, ai me të vërtetë, i është drejtuar Zotit.
018_00	Na ia kemi nënshtruar bjeshkët që bashkë me të t’i luten Perëndisë, në mbrëmje dhe në mëngjes,
019_00	si dhe zogjët e tubuar. Të gjitha i drejtoheshin Atij (luteshin në Te).
020_00	Dhe, Ne, ia kemi forcuar pushtetin e tij dhe i kemi dhënë mençuri dhe dijeni për të gjykuar.
021_00	A të ka ardhur ty lajmi për kundërshtarët, kur hypen në tempullin e tij (fetar),
022_00	kur hynë te Daudi, ai u frikësua prej tyre.
022_01	Ata thanë: “Mos u frikëso, (na jemi) dy kundërshtarë, që njërit-tjetrit i ka bërë padrejtësi, prandaj gjyko mes nesh, me të drejtë, dhe mos u shmangë (prej së vërtetës), po na udhëzo në rrugë të drejtë.
023_00	Me të vërtetë, ky është vëlla (mik) i im. Ai ka nëntëdhjetë e nëntë dele, kurse unë kam vetëm një dele, andaj më tha: “Ma jep ti mua atë? – dhe ai në bisedë (polemikë) më mundi”.
024_00	(Daudi) tha: “Me të vërtetë, ai të ka bërë padrejtësi që të ka kërkur delen tënde, që ta bashkojë me delet e veta”.
024_01	Dhe, me të vërtetë, shumë bashkëpronarë i bëjnë padrejtësi njëri-tjetrit, pos atyre që besojnë dhe bëjnë punë të mira, por ata janë pak”.
024_02	Daudi e kuptoi, se Na, me të vërtetë – e kemi sprovuar atë, prandaj ka kërkuar falje nga Zoti i vet dhe u përul, duke rënë për dhé dhe duke u penduar.
025_00	Pastaj, Ne këtë ia falëm atij, e ati te Na, ka një pozitë të veçantë dhe një kthim të mirë (në jetën tjetër).
026_00	O Daud, Ne të kemi bërë sundimtar në tokë, prandaj gjyko ndërmjet njerëzve me të drejtë dhe, mos shko pas pasionit tënd, se (ai pasioni) të largon nga rruga e Perëndisë!
026_01	Me të vërtetë, për ata që largohen nga rruga e Perëndisë, ka dënim të ashpër, ngase e kanë harruar Ditën e llogarisë.
027_00	Ne nuk e kemi krijuar kot qiellin dhe Tokën dhe atë që është në mes tyre. Ashtu (kot), mendojnë jobesimtarët. E mjrë për jobesimtarët kur do të hyjnë në zjarr!
028_00	A do të sillemi me ata që besojnë dhe bëjnë vepra të mira si me turbulluesit në Tokë; apo, vallë do të sillemi me njerëzit e mirë si me njerëzit e këqinj?
029_00	(Ky) është një libër (Kur’ani), që ta kemi zbritur ty, libër i bekuar, për t’i studjuar dokumentet e tij dhe për t’u këshilluar mendimtarët me të.
030_00	Ne, Daudit, i kemi dhuruar Sulejmanin. Ai është rob i mrekullueshëm. Ai, me të vërtetë, i është drejtuar shum Zotit!
031_00	(Kujtoje) kur atij (Sulejmanit), një pasdite iu paraqiten atllarët (kuaj të dalluar),
032_00	Ai tha: “Unë shfaqa dashuri më të madhe ndaj pasurisë (kuajve) se sa lutjes ndaj Zotit tim!” (ata defiluan para tij) derisa humbën mas beshkes.
033_00	(Ai tha): “M’i ktheni ata” – e pastaj nisi t’i prekë me shpatë këmbët dhe qafat e tyre.
034_00	Ne, me të vërtetë, e sprovuam Sulejmanin dhe hodhëm mbi fronin e tij një trup, dhe pastaj (Sulejmani) iu drejtua Zotit,
035_00	dhe tha: “O Zoti im, të më falësh dhe më dhuro një pushtet çfarë nuk do ta ketë askush pas meje! Me të vërtetë, Ti je dhurues i madh!”
036_00	Pastaj, Ne ia nënshtruam erën e butë, e cila frynë me urdhërin e tij, andej kah don ai –
037_00	dhe djajtë, të gjithë ndërtuesit dhe zhytësit në ujë,
038_00	dhe të lidhur në pranga.
039_00	Kjo është dhurata Jonë, prandaj ti dhuroja (o Sulejman) kujt të duash ose mos ua jep; pa kurrfarë llogarie për këtë!”
040_00	Me të vërtetë, ai te Na ka një pozitë të veçantë dhe një kthim të mirë (në jetën tjetër).
041_00	Kujtoje robin Tonë Ejjubin, kur iu lut Zotit të vet: “Me të vërtetë, më preku djalli me mundim dhe vuajtje!”
042_00	(Atij i tha): “Bjeri me këmbën tënde (Tokës)! Ja, ky është një burim i ujit të ftohtë për larje dhe pirje!”
043_00	Dhe Ne ia kemi dhuruar atij familjen dhe po aq një numër tjetër anëtarësh (të familjes) – mëshirë prej Nesh dhe këshillim për njerëzit e mënçur,
044_00	dhe merr me dorën tënde një tubë thuprash e rreh me to dhe mos e shkel betimin tënd!” Ne, e kemi ditur atë të durueshëm, (ai) është rob i mrekullueshëm. Ai, me të vërtetë, i është drejtuar (shumë) Zotit!
045_00	Dhe kujtoji robërit Tonë: “Ibrahimin, Is’hakun dhe Jakubin, të fortë (në besim) dhe largëpamës.
046_00	Ne, atyre iu dhuruam një virtyt të veçantë, që ta kenë gjithmonë në mend botën e ardhshme;
047_00	Njëmend, ata janë tek Ne njerëz të mirë e të zgjedhur.
048_00	Dhe kujtoje: Ismailin, Eljesain dhe Dhulkiflin! Të gjithë ata kanë qenë të mirë.
049_00	Ky është një kujtim i mirë – dhe, me të vërtetë, për njerëzit që ruhet nga mëkatet, ta kthim të mirë (në botën tjetër):
050_00	në kopshtijet e Adnit – dyert e të cilit janë të hapura për ta,
051_00	në të cilat rrijnë të mbështetur (në divane-kanape) e kënaqen em pemë dhepije të llojllojshme,
052_00	pranë tyre do të ketë hyrie moshatare, që nuk shikojnë anash.
053_00	Kjo iu është premtuar për Ditën e llogarisë;
054_00	ky është, njëmend, furnizimi Ynë që nuk ka të sosur!
055_00	Kjo është kështu (për besimtarët). E, për njerëzit e tërbuar (në të keqe), me të vërtetë, ka kthim të keq (në botën tjetër):
056_00	ferri, në të cilin ata do të digjen. E, sa shtrat i shëmtuar që është ai!
057_00	Kjo është kështu (për mohuesit)! E, le ta shijojnë ata këtë ujë të vëluar dhe të qelbët
058_00	dhe të tjera mundime të llojllojshme, të ngjashme me to.
059_00	(Atyre u thuhet): “Ky është grumbullim i dendur me ju (në ferr) e (u thuhet): Nuk ka çlirm për ta! Ata, me të vërtetë, do të digjen në zjarr!”
060_00	(Populli i thjeshtë) iu përgjigjet (udhëheqësve të vet): “Jo, por ju mos paçit çlirim as qetësi, ju na keni sjellë në këtë gjendje, e sa strehim i keq është ky!”
061_00	(Njerëzit e thjeshtë) thanë: “O Zoti ynë! Kush na përgatiti këtë neve, dyfishoju atyre dënimin në ferr!”
062_00	(Populli i Mekkes) thanë: “Pse nuk po i shohim njerëzit që i konsideronin të këqinj,
063_00	a mos i kemi përqeshur ne at, a apo na kanë humbur sysh?”
