001_00	Bamirësi i Gjithmbarshëm,
002_00	ua ka mësuar Kur’anin,
003_00	ka krijuar njeriun,
004_00	ia ka mësuar të shprehurit (e mendimeve dhe ndjenjave).
005_00	Dielli dhe Hëna (lëvizin) sipas llogarisë (rrugës) së caktuar,
006_00	edhe bimët (e imëta) dhe drunjt i përulen (Perëndisë),
007_00	e qiellin e ka ngritur dhe ka vënë masë (drejtësinë),
008_00	për të mos kaluar (kufirin) në matje –
009_00	dhe matni drejt e mos mungoni në teresi!
010_00	Tokën e ka bërë (shtruar) për krijesa,
011_00	në të ka pemë të llojllojshme dhe hurme me frute (në gëzhojë),
012_00	dhe drithëra me gjethe dhe bimë me erë të mirë, -
013_00	e, cilat dhunti të Zotit tuaj (o njerëz dhe xhindë) po i përgënjeshtroni (mohoni)?!
014_00	Ai e krijoi njeriun prej baltës së thatë, ashtu siç është vorba e pjekur,
015_00	e xhindët i krijoi prej flakës së zjarrit –
016_00	e, cilat dhunti të Zotit tuaj po i përgënjeshtroni?!
017_00	(Ai është) Zoti i dy lindjee dhe i dy perëndimeve (dy solsticeve),
018_00	e, cilat dhunti të Zotit tuaj po i përgënjeshtroni?!
019_00	I ka lëshuar dy dete që të takohen,
020_00	e, në mes tyre ka stom (pengesë), andaj njëri nuk e mbizotëron tjetrin (nuk përzihen) –
021_00	e, cilat dhunti të Zotit tuaj po i përgënjeshtroni?!
022_00	Prej tyre nxirren margaritarë dhe korale (merxhanë) –
023_00	e, cilat dhunti të Zotit tuaj po i përgënjeshtroni?!
024_00	Atij i përkasin edhe anijet që lundrojnë nëpër dete dhe krijonë dallgë si malet,
025_00	e, cilat dhunti të Zotit tuaj po i përgënjeshtroni?!
026_00	Çdo gjë që është në Tokë është e kalueshme (do të shkatërrohet),
027_00	e mbetet vetëm Zoti yt, i Madhërueshmi dhe Bamirësi –
028_00	e, cilat dhunti të Zotit tuaj po i përgënjeshtroni?!
029_00	Prej Tij kërkojnë çka ka në qiej dhe në tokë; në çdo moment Ai është në gjendje (të krijojë, të shpërblejë, të zhdukë), -
030_00	e, cilat dhunti të Zotit tuaj po i përgënjeshtroni?!
031_00	Do t’ju qëllojmë juve (për shpërblim dhe llogari), o ju, dy barrët e Tokës (njerëzit dhe xhindët)?! -
032_00	e, cilat dhunti të Zotit tuaj po i përgënjeshtroni?!
033_00	O grpe të xhindëve dhe njerëzve, nëse mund të dilni prej kufijve të qiejve dhe të Tokës, dilni, por do të mund të dilni vetëm me fuqi të madhe (e këtë nuk e keni, andaj nuk mund të ikni)!
034_00	e, cilat dhunti të Zotit tuaj po i përgënjeshtroni?!
035_00	Kundër jush do të dërgohet flaka e zjarrit dhe bakër i shkrirë dhe ju nuk do të mund të mbroheni, -
036_00	e, cilat dhunti të Zotit tuaj po i përgënjeshtroni?!
037_00	E kur të çahet qielli dhe të bëhet i kuq si trëndafilja dhe si vaji i shkrirë,
038_00	e, cilat dhunti të Zotit tuaj po i përgënjeshtroni?!
039_00	atë Ditë njerëzit dhe xhindët nuk do të pyetën për mëkatet e tyre, -
