001_00	Betohem në agimin,
002_00	dhe dhjetë netët,
003_00	dhe në të gjitha që janë çift e tek,
004_00	dhe natën që shkon, -
005_00	vallë, a nuk është ky betim për të mençurin?
006_00	Vallë, a nuk di ti se çka ka bërë Zoti yt me Adin,
007_00	e me banorët e qytetit Iremes, pronarë të pallatee madhështore,
008_00	çfarë nuk ka pasur askund tjetër;
009_00	dhe si i dënoi themudasit, të cilët kanë gëdhendur shkëmbinj në luginë,
010_00	dhe Faraonin – pronarin e shtyllave,
011_00	që kanë bërë zullum pa të drejtë në tokë
012_00	dhe shtonin ngatërresat,
013_00	andaj Zoti yt, e lëshoi mbi ta kamxhikun e dënimit (lloj-lloj dënimesh),
014_00	sepse, me të vërtetë, Zoti yt i pret ata në pusi (i përcjellë punët e tyre).
015_00	Por, Perëndia kur ta provojë njeriun e ta dhurojë me begati, (ai) thotë: “Zoti im është sjellë në mënyrë bujar endaj meje!”
016_00	E, kur ta provojë atë, duke ia munguar furnizimin, atëherë ai thotë: “Zoti im më ka poshtëruar”.
017_00	Jo, jo! Por ju nuk po i respektoni bonjakët,
018_00	dhe nuk po e nxitni njëri-tjetrin për t’i ushqyer të varfërit,
019_00	kurse trashëgiminë, e hani me lakmi të pangopur,
020_00	dhe dëshironi pasuri të pakufishme.
021_00	Por kjo nuk është mirë! Atëherë, kur Toka do të copëtohet në thërmia,
022_00	dhe kur do të arrijë urdhëri i Zotit tënd, e engjëjt të rreshtohen radhë pas radhe,
023_00	dhe atë Ditë kur afrohet (prezentohet) skëterra; atëherë njeriu do të kujtohet – por ç’dobi?!
024_00	dhe thotë: “Ah! Sikur të kisha punuar gjëra të mira në jetën time!”
025_00	Atë Ditë, askush nuk mund të dënojë, si Ai (dënimi i Tij),
026_00	dhe, atë ditë, askush nuk lidhë në pranga si Ai!
027_00	E ti, o shpirt i besuar (këmbëngulës në besim)
028_00	kthehu te Zoti yt i kënaqur, sepse, edhe Ai është i kënaqur me ty,
029_00	prandaj, hynnë mes të dashurve të Mi,
030_00	dhe hyn në xhennetin Tim!
