001_00	HA meem.
002_00	UPPENBARELSEN av denna Skrift är Guds, den Allsmäktiges, den Vises, verk.
003_00	Himlarna och jorden rymmer helt visst budskap till dem som vill tro.
004_00	Och i er egen natur och hos alla de djur som Han låter [föröka sig och] spridas [över jordens yta] finns tecken för dem som äger inre visshet.
005_00	Och i växlingen mellan natt och dag och i det som Gud sänder ned från himlen till livets vidmakthållande och därmed ger nytt liv åt jorden, som varit död, och i vindarnas rörelser - [i alla dessa företeelser] ligger tecken för människor som använder sitt förstånd.
006_00	Detta är Guds budskap, som Vi förmedlar till dig [Muhammad] och med dem sanningen. - Men på vilken förkunnelse skall de tro som [inte fäster avseende vid] Gud och Hans tecken?
007_00	Arma, förljugna syndare
008_00	som, när han hör Guds budskap läsas upp för honom, förskansar sig bakom en högmodigt avvisande hållning, som om han ingenting hört! Låt honom veta att [han skall få utstå] ett svårt lidande!
009_00	Och för den som, när han får kännedom om något av Våra budskap, skämtar bort det ligger ett förnedrande straff [i beredskap].
010_00	Helvetet är dem inpå hälarna och ingenting av det som de har uppnått [i livet] och ingen av dem som de har valt till beskyddare i Guds ställe skall vara dem till någon nytta; ja, ett straff av stor stränghet [väntar] dem.
011_00	Denna [Koran] är en vägledning. Men för dem som avvisar sin Herres budskap är ett svidande bittert straff förberett.
012_00	DET ÄR Gud som har låtit havet tjäna er, så att skeppen på Hans befallning seglar över det och ni skall kunna söka det som Han i Sin godhet [beviljar er] - kanske skall ni också tacka Honom.
013_00	Och Han har skapat allt det som himlarna rymmer och det som jorden bär för att tjäna er - allt är Hans gåva; i detta ligger helt visst budskap till människor som tänker.
014_00	Uppmana de troende att förlåta dem som inte ser fram emot Guds dagar; det är nämligen Han som då skall ge människorna den lön som de har förtjänat [med sina handlingar].
015_00	Den som gör rätt har själv gott av sina handlingar, och den som gör orätt gör det till nackdel för sig själv. Till sist skall ni föras åter till er Herre.
016_00	VI GAV Israels barn Skriften och rätt att styra och döma [i enlighet med Guds lag] och Vi lät profeter uppstå bland dem; och Vi sörjde för dem med goda och nyttiga ting och Vi visade dem sådan nåd som Vi inte har visat något annat folk.
017_00	Och Vi gav dem klara föreskrifter i allt som rör religionen, och först efter att ha fått all kunskap blev de oense om dessa [föreskrifters innebörd] av ovilja och avund mot varandra.
017_01	På Uppståndelsens dag skall Din Herre döma mellan dem i alla de frågor som de tvistade om.
018_00	Därefter har Vi visat dig [Muhammad] en väg till förverkligandet [av trons] syfte; följ därför denna väg och fäst dig inte vid de okunnigas önskningar.
019_00	De kan inte skydda dig mot Guds [vrede, om du skulle göra dem till viljes]; de orättfärdiga beskyddar varandra, men Gud är de gudfruktigas Beskyddare.
020_00	Denna [Skrift] öppnar era ögon [för sanningen] och är en vägledning och en nåd för dem som har inre visshet.
021_00	Tror de som begår orätt att Vi skall ge dem samma behandling, i livet och i döden, som Vi ger dem som tror och lever ett rättskaffens liv? Hur illa dömer de inte!
022_00	Gud har skapat himlarna och jorden i enlighet med en plan och ett syfte, och för att var och en skall få den lön som han har förtjänat och ingen tillfogas orätt.
023_00	HUR SER du [Muhammad] på den som gör sina egna passioner till gud? Eftersom Gud vet [att hans sinne är stängt för all vägledning], har Han låtit honom gå vilse och tillslutit hans öron och förseglat hans hjärta och bundit för hans ögon.
023_01	Vem kan vägleda honom sedan Gud [har övergett honom]? Skall ni inte tänka över detta
024_00	Och de säger: "Det finns inget liv utom livet på jorden. Några [av oss] dör och några lever [vidare] och enbart tiden förintar oss." Men om detta har de ingen kunskap - de rör sig bara med lösa antaganden.
025_00	Och när någon läser Våra klara budskap högt för dem, kan de inte finna på något annat att säga än: "Låt då våra förfäder stiga fram, om det ni säger är sant."
026_00	Säg: "Det är Gud som ger er liv och sedan låter er dö och som, när Uppståndelsens dag är inne - här finns inte rum för tvivel - skall samla er [till Sig]; men [om detta] har de flesta människor ingen kunskap."
027_00	Guds är herraväldet över himlarna och jorden, och den Dag då den Yttersta stunden närmar sig skall de som ville dra sanningen [i Våra budskap] i tvivelsmål vara förlorade.
028_00	Och den Dagen skall du få se alla samfund ligga på knä [inför Domaren] och varje samfund kallas fram till sin bok: "I dag skall ni få lönen för era handlingar.
029_00	Detta är Vår bok som säger [den fulla] sanningen om er; allt vad ni gjorde har Vi låtit nedteckna."
030_00	De som hade tron och levde ett rättskaffens liv skall inneslutas i Sin Herres nåd; detta är den lysande segern!
031_00	Men de som förnekade sanningen [skall tillfrågas]: "Lästes inte Mina budskap upp för er? Men i ert högmod [avvisade ni allt] och förhärdades i er synd!
032_00	Och på orden:’Guds löfte är sanning; om den Yttersta stundens ankomst finns det inte rum för tvivel’, svarade ni:’Vi vet ingenting om denna stund; sannolikt rör det sig bara om ett antagande och vi kommer inte att låta oss övertygas.’”
033_00	Men det onda som de gjort skall då stå klart för dem och de skall se sig inringade av det som de brukade göra till föremål för sina skämt.
034_00	Då ljuder [Guds röst:] "I dag skall Vi glömma er, så som ni glömde mötet [med Oss] denna Dag. Elden är er slutliga hemvist och [där finner] ni ingen som kan hjälpa er;
035_00	så är det därför att ni [vågade] skämta om Guds budskap och lät världens [lockelser] leda er vilse." Den Dagen kommer de inte att slippa ut ur Elden, och de kommer inte att få någon uppmaning att göra bot och bättring.
036_00	ALLT LOV och pris tillkommer Gud, himlarnas Herre, jordens Herre och Herren över alla världar!
037_00	Honom tillhör all makt och härlighet i himlarna och på jorden och Han är den Allsmäktige, den Vise.
