001_00	Qaf. VID denna ärorika Koran!
002_00	Men [om denna gåva som de borde ta emot med tacksamhet säger de att] de finner det märkligt att en varnare kommer till dem ur deras egna led; och de som förnekar sanningen säger: "Detta är besynnerligt!
003_00	Skulle vi, sedan vi dött och förmultnat, [uppstå till nytt liv]? En mycket osannolik återkomst!"
004_00	Vi är väl medvetna om att jorden bryter ner och löser upp [människornas döda kroppar], och Vi har en bok [där allt står skrivet].
005_00	Men när sanningen nu har kommit till dem förnekar de den, och så har de råkat i [fullständig] förvirring.
006_00	Ser de inte över sig himlen som Vi har byggt och utsmyckat, och där inte den minsta reva kan upptäckas?
007_00	Och jorden som Vi har brett ut och sänkt ned i den fast förankrade berg och där Vi låter sköna växter av alla slag spira
008_00	[Allt detta] bör öppna [människornas] ögon och tjäna till påminnelse för dem av [Våra] tjänare som vänder åter [till sin Herre] i ånger [över sina synder].
009_00	Och med [Vår] välsignelse sänder Vi ned regn från skyn och låter med detta trädgårdar växa upp och [fält med] brödsäd
010_00	och höga palmer med täta klasar av dadlar
011_00	för [Våra] tjänares försörjning. Så skänker Vi liv åt död jord [och] så skall Vi låta er stiga fram [till nytt liv].
012_00	Före dem [som nu förnekar uppståndelsen] förnekades den av Noas folk och folket i Ar-Rass och [stammarna] Thamud
013_00	och Aad och Farao och Lots bröder
014_00	och de som befolkade [Madyans] skogklädda dalar och Tubba`s folk; alla kallade de sändebuden för lögnare och så gick varningarna Jag gav dem i uppfyllelse.
015_00	Har den första skapelsen tröttat Oss? Nej, ingalunda! Men [omnämnandet av] en ny skapelse gör dem förvirrade.
016_00	VI HAR skapat människan och Vi vet vad hennes själ viskar till henne; ja, Vi är närmare henne än hennes egen halspulsåder.
017_00	När de två [änglarna som har till uppgift] att skriva ned [hennes ord och hennes handlingar] skriver, sittande på höger och vänster sida,
018_00	kommer inte ett ord över hennes läppar utan att en övervakare är hos henne, färdig [att skriva].
019_00	[När du, människa, ligger på ditt yttersta] skall dödskampen hjälpa dig att se sanningen i hela dess klarhet och allt det som du ville skjuta ifrån dig. -
020_00	Och [när] det blåses i basunen, är den Dag inne som Vi har varnat er för.
021_00	Och varje människa skall stiga fram med en [ängel] som leder henne och en [ängel] som vittnar,
022_00	[och Gud skall säga:] "Du ägnade inte en tanke åt denna [Stund], men Vi har lyft av bindeln [som täckte dina ögon] och i dag är din syn skarp."
023_00	Och [människans] ständige följeslagare skall säga: "Hos mig ligger allt [upptecknat och] klart."
024_00	[Då faller Guds dom:] "Kasta i helvetet var och en som framhärdade i att förneka sanningen,
025_00	som spärrade vägen för det goda, som kränkte andras rätt och sådde tvivel [i andra människors sinnen]
026_00	och som satte andra gudar vid Guds sida - kasta honom ned där pinan är som svårast!"
027_00	En vän som följde honom överallt [i livet] skall säga: "Herre, jag tvingade honom aldrig att göra det som är orätt; han hade gått vilse och drivit synden till dess yttersta gräns!"
028_00	[Och Gud] skall säga: "Träta inte inför Mig! Jag varnade er i tid.
029_00	Min dom står fast, och Jag tillfogar ingen [av Mina] tjänare orätt!"
030_00	Den Dagen skall Vi fråga helvetet: "Har du fått så många du kan ta emot?" Och dess svar blir: "Finns det fler?"
031_00	Och paradiset skall föras fram helt nära de gudfruktiga [och en röst skall säga:]
032_00	"Detta är vad som har lovats er, ni som ständigt hade Gud i tankarna och gjorde er möda att hålla [Hans bud],
033_00	som bävade inför den Nåderike, trots att Han inte kan ses eller förnimmas, och som återvände [till Honom] i ödmjukhet och med ånger i hjärtat [över sin synd]."
034_00	[Och de skall hälsas med orden:] "Stig in i fred [i paradiset]! Detta är den Dag som inte har något slut!"
035_00	Där [i paradiset] skall de få allt vad de önskar, och mer [väntar dem] hos Oss.
036_00	OCH HUR många släkten före dessa [människor som förnekar uppståndelsen] har Vi inte låtit gå under, [människor] mäktigare än de! De sökte i land efter land men fann ingen tillflykt [undan Vår vrede].
037_00	I detta ligger förvisso en påminnelse till den som har ett öppet sinne och som lyssnar uppmärksamt.
038_00	Vi har helt visst skapat himlarna och jorden och allt som finns däremellan under sex dagar - och detta tröttade Oss inte.
039_00	BÄR därför [Muhammad] med jämnmod vad de säger, och lova och prisa din Herre före solens uppgång och före [dess] nedgång,
040_00	och prisa Honom också under natten och efter varje bön.
041_00	Och lyssna [efter ropet] den Dag då roparen skall kalla från en plats helt nära,
042_00	[och människorna] skall höra det dån som [förebådar] sanningen; detta är den Dag då [de döda] skall stiga fram [ur sina gravar] -
043_00	det är Vi som skänker liv och skänker död, och Vi är målet för er färd -
044_00	den Dag då jorden rämnar omkring dem där de skyndar fram [till räkenskap och dom]; för Oss är det lätt att samla dem alla.
045_00	Vi vet vad de [som förnekar uppståndelsen] säger, och du [Muhammad] kan inte tvinga dem [att tro]; men varna med Koranens ord dem som fruktar Min varning!
