001_00	Nun. VID PENNAN och det som skrivs ned!
002_00	Tack vare din Herres nåd är du inte besatt!
003_00	Helt visst kommer din belöning att vara i evighet.
004_00	Ditt liv och ditt handlande är ett lysande [exempel],
005_00	och du skall se - och [dina fiender] skall se -
006_00	vem av er som har förlorat förståndet.
007_00	Din Herre vet bäst vem som har vikit av från Hans väg, och Han vet bäst vem som följer Hans ledning.
008_00	Hör därför inte på dem som förnekar sanningen;
009_00	de skulle vilja att du gick dem till mötes för att då visa sig tillmötesgående [mot dig].
010_00	Och lyssna inte till den som är färdig att svära på allt
011_00	och springer med skvaller och illvilligt förtal,
012_00	som motarbetar det goda, överträder alla förbud [och] syndar [av vana],
013_00	grov i sättet och omåttlig [och] därtill av tvivelaktig härkomst.
014_00	[Högmodig över] sin rikedom och sina [talrika] söner
015_00	säger han, när han hör Våra budskap läsas upp: "[Detta är ingenting annat än] sagor från förfädernas tid!"
016_00	På hans panna skall Vi bränna in skammens och vanärans brännmärke!
017_00	Vi har satt [dessa människor] på prov, liksom Vi satte ägarna till en fruktträdgård på prov, när de svor att de skulle skörda [dess frukt] följande morgon
018_00	utan att göra förbehåll [för Guds vilja].
019_00	Medan de sov, kom en [besökare sänd] av din Herre; han gick ronden [runt fruktträdgården]
020_00	och följande morgon låg [den] tom som ett redan skördat sädesfält.
021_00	I gryningen ropade de till varandra:
022_00	"Vi bör gå tidigt till trädgården om vi vill skörda [frukten]!"
023_00	Och när de gick sade de sinsemellan med låg röst:
024_00	"I dag får ingen fattiglapp komma in och störa oss!"
025_00	Och de begav sig tidigt i väg, beslutna att genomföra vad de hade föresatt sig.
026_00	Men när de fick se [trädgården] sade de: "Vi måste ha tagit fel väg!"
027_00	[Men när de insåg vad som hänt ropade de:] "Vi har blivit ruinerade!"
028_00	Den förnuftigaste av dem sade: ”Jag sa' er ju att ni skulle prisa Gud.”
029_00	Och de svarade: "Stor är vår Herre i Sin härlighet! Vi har sannerligen gjort orätt!"
030_00	Och de överföll varandra med förebråelser.
031_00	[Till sist] sade de: "Vår olycka var att vi gick för långt!
032_00	Kanske ger oss vår Herre något ännu bättre än det [som vi har förlorat] - till vår Herre vänder vi vår håg, till honom sätter vi vårt hopp!"
033_00	SÅDANT är Vårt straff [i denna värld]. Men det straff [som väntar syndarna] i det kommande livet är sannerligen hårdare - om de bara visste...!
034_00	[Men] på de gudfruktiga väntar lycksalighetens lustgårdar hos deras Herre;
035_00	eller skulle Vi behandla dem som har underkastat sig Vår vilja på samma sätt som de obotfärdiga syndarna
036_00	Hur är det fatt med ert omdöme?
037_00	Eller har ni en Skrift som ni studerar
038_00	där [det sägs] att ni skall ha det som ni [själva] väljer?
039_00	Eller har ni fått ett högtidligt löfte av Oss, gällande till Uppståndelsens dag, att låta er själva fälla avgörandet
040_00	Fråga dem vem av dem som borgar för detta;
041_00	Har de några som är med dem i detta, låt dem då kalla på dem, om de har talat sanning.
042_00	[Påminn dem om] den Dag då allt som varit djupast dolt skall dras fram i ljuset och de kommer att uppmanas att falla ned [inför Gud] men förmår inte göra det.
043_00	[De skall stå] med sänkta huvuden, överväldigade av skam, eftersom de redan [i livet], friska [till kropp och själ], uppmanades att falla ned [inför Honom men vägrade].
044_00	Lämna nu åt Mig [att ta itu med] dem som förnekar sanningen i detta budskap; Vi skall föra dem mot undergången steg för steg, utan att de inser vad [som sker];
045_00	Jag ger dem ett uppskov, men Min plan ligger fast.
046_00	Eller begär du en avgift av dem [för att framföra ditt budskap], så att de nu tyngs av skuldbördor
047_00	Eller har de [sådan kunskap om] den verklighet som är dold för människor att de [kan] skriva ned [vad de vet]?
048_00	HA därför tålamod, [Muhammad,] och avvakta din Herres dom och var inte som han som slukades av en väldig fisk och som anropade [sin Herre], medan vreden [mot hans motspänstiga landsmän ännu] kokade inom honom.
049_00	Och om inte hans Herre hade inneslutit honom i Sin nåd, skulle han ha kastats upp på den öde stranden, tyngd av sin skuld.
050_00	Men Gud hade utvalt honom och gjort honom till en av de rättfärdiga.
051_00	[Ha tålamod] även om de som förnekar sanningen kastar så hätska blickar mot dig, när de får höra [stycken av] Koranen [att de så när får dig att förlora fattningen] och säger: "Han är sannerligen galen!"
052_00	Denna [Koran] är ingenting mindre än en påminnelse till alla folk.
