001_00	VID DET klara morgonljuset
002_00	och vid natten, när dess mörker tätnar!
003_00	Din Herre har inte övergett dig och du har inte väckt Hans missnöje.
004_00	Det liv som ligger framför dig skall förvisso bli lättare än det som hittills varit!
005_00	Och din Herre skall skänka dig [Sitt goda i överflöd] och du skall bli helt nöjd.
006_00	Fann Han dig inte faderlös och gav dig ett hem?
007_00	Och såg Han dig inte vilsen och vägledde dig
008_00	Och såg Han dig inte lida nöd och skänkte dig allt vad du behövde
009_00	Var därför inte hård mot den faderlöse
010_00	och stöt inte bort tiggaren med barska ord.
011_00	Men berätta [för alla] om din Herres välgärningar!
