001_00	Enyi mlio amini! Timizeni ahadi. Mmehalalishiwa wanyama wa mifugo, ila wale mnao tajiwa.
001_01	Lakini msihalalishe kuwinda nanyi mmo katika Hija. Hakika Mwenyezi Mungu anahukumu apendavyo.
002_00	Enyi mlio amini! Msivunje hishima ya alama ya Dini ya Mwenyezi Mungu wala mwezi mtakatifu, wala wanyama wanao pelekwa Makka kuchinjwa, wala vigwe vyao, wala wanao elekea kwendea Nyumba Takatifu, wakitafuta fadhila na radhi za Mola wao Mlezi.
002_01	Na mkisha toka Hija yenu basi windeni. Wala kuwachukia watu kwa kuwa wali- kuzuilieni kufika Msikiti mtakatifu kusikupelekeeni kuwafanyia uadui.
002_02	Na saidianeni katika wema na uchamngu. Wala msisaidiane katika dhambi na uadui.
002_03	Na mcheni Mwenyezi Mungu. Hakika Mwenyezi Mungu ni Mkali wa kuadhibu.
003_00	Mmeharimishiwa nyamafu, na damu, na nyama ya nguruwe, na mnyama aliye chinjwa si kwa ajili ya Mwenyezi Mungu, na aliye kufa kwa kunyongeka koo, na aliye kufa kwa kupigwa, na aliye kufa kwa kuanguka, na aliye kufa kwa kupigwa pembe, aliye liwa na mnyama, ila mkimdiriki kumchinja. Na pia ni haramu kula nyama aliye chinjiwa masanamu.
003_01	Na ni haramu kupiga ramli. Hayo yote ni upotovu.
003_02	Leo walio kufuru wamekata tamaa na Dini yenu; basi msiwaogope, bali niogopeni Mimi. Leo nimekukamiliishieni Dini yenu, na nimekutimizieni neema yangu, na nimekupendeleeni UISLAMU uwe ndiyo Dini.
003_03	Na mwenye kushurutishwa na njaa, bila ya kupendelea dhambi, basi hakika Mwenyezi Mungu ni Msamehevu na Mwenye kurehemu.
004_00	Wanakuuliza wamehalalishiwa nini? Sema: Mmehalalishiwa kila vilivyo vizuri na mlicho wafundisha wanyama kukiwinda. Mnawafundisha alivyo kufunzeni Mwenyezi Mungu.
004_01	Basi kuleni walicho kukamatieni, na mkisomee jina la Mwenyezi Mungu. Na mcheni Mwenyezi Mungu; hakika Mwenyezi Mungu ni Mwepesi wa kuhisabu.
005_00	Leo mmehalalishiwa kila vilivyo vizuri.
005_01	Na chakula cha walio pewa Kitabu ni halali kwenu, na chakula chenu ni halali kwao.
005_02	Na pia wanawake wema miongoni mwa Waumini, na wanawake wema miongoni mwa walio pewa Kitabu kabla yenu, mtakapo wapa mahari yao, mkafunga nao ndoa, bila ya kufanya uhasharati wala kuwaweka kinyumba.
005_03	Na anaye kataa kuamini bila shaka a'mali yake imepotea, naye katika Akhera atakuwa miongoni mwa wenye khasara.
006_00	Enyi mlio amini!
006_01	Mnapo simama kwa ajili ya Sala basi osheni nyuso zenu, na mikono yenu mpaka vifundoni, na mpake vichwa vyenu, na osheni miguu yenu mpaka vifundoni.
006_02	Na mkiwa na janaba basi ogeni.
006_03	Na mkiwa wagonjwa au mmo safarini, au mmoja wenu ametoka chooni au mmewagusa wanawake, na hamkupata maji, basi tayamamuni vumbi lilio safi, na mpake nyuso zenu na mikono yenu.
006_04	Hapendi Mwenyezi Mungu kukutieni katika taabu; bali anataka kukutakaseni na kutimiza neema yake juu yenu ili mpate kushukuru.
007_00	Na kumbukeni neema ya Mwenyezi Mungu iliyo juu yenu, na ahadi yake aliyo fungamana nanyi mlipo sema: Tumesikia na tumet'ii.
007_01	Na mcheni Mwenyezi Mungu. Hakika Mwenyezi Mungu ni Mjuzi sana wa yaliyomo vifuani.
008_00	Enyi mlio amini! Kuweni wasimamizi madhubuti kwa ajili ya Mwenyezi Mungu mkitoa ushahidi kwa haki. Wala kuchukiana na watu kusikupelekeeni kutofanya uadilifu.
008_01	Fanyeni uadilifu. Hivyo ndio kuwa karibu mno na uchamngu. Na mcheni Mwenyezi Mungu. Hakika Mwenyezi Mungu anazo khabari za mnayo yatenda.
009_00	Mwenyezi Mungu amewaahidi walio muamini na wakatenda mema kwamba watapata maghfira na malipo makubwa.
010_00	Na wale walio kufuru na wakakanusha Ishara zetu, hao ndio watu wa Motoni.
011_00	Enyi mlio amini! Kumbukeni neema za Mwenyezi Mungu zilizo juu yenu, walipo taka watu kukunyooshieni mikono, naye akaizuilia mikono yao kukufikieni.
011_01	Na mcheni Mwenyezi Mungu. Na Waumini wamtegemee Mwenyezi Mungu tu.
012_00	Na Mwenyezi Mungu alifanya agano na Wana wa Israili.
012_01	Na tukawateulia kutokana nao wakuu kumi na mbili. Na Mwenyezi Mungu akasema: Kwa yakini Mimi ni pamoja nanyi. Mkisali, na mkatoa Zaka, na mkawaamini Mitume wangu, na mkawasaidia, na mkamkopesha Mwenyezi Mungu mkopo mwema, hapana shaka nitakufutieni maovu yenu
012_02	na nitakuingizeni katika mabustani yapitayo mito kati yake. Lakini atakaye kufuru miongoni mwenu baada ya hayo bila ya shaka atakuwa amepotea njia iliyo sawa.
013_00	Basi kwa sababu ya kuvunja agano lao tuliwalaani, na tukazifanya nyoyo zao kuwa ngumu. Wanayabadilisha maneno kutoka pahala pake, na wamesahau sehemu ya yale waliyo kumbushwa.
013_01	Na huachi kuvumbua khiana kutokana nao, isipo kuwa wachache miongoni mwao. Basi wasamehe na waache. Hakika Mwenyezi Mungu huwapenda wafanyao wema.
014_00	Na kutoka kwa wale walio sema: Sisi ni Manasara, tulichukua ahadi yao, lakini wakasahau sehemu ya waliyo kumbushwa.
014_01	Kwa hivyo tukaweka kati yao uadui na chuki mpaka Siku ya Kiyama. Na hapo Mwenyezi Mungu atawaambia waliyo kuwa wakiyafanya.
015_00	Enyi Watu wa Kitabu!
015_01	Amekwisha kujieni Mtume wetu anaye kufichulieni mengi mliyo kuwa mkiyaficha katika Kitabu, na anaye samehe mengi. Bila shaka imekujieni kutoka kwa Mwenyezi Mungu nuru na Kitabu kinacho bainisha.
016_00	Mwenyezi Mungu huwaongoa wenye kufuata radhi yake katika njia za salama, na huwatoa katika giza kuwapeleka kwenye nuru kwa amri yake, na huwaongoa kwenye njia iliyo nyooka.
017_00	Hakika wamekufuru walio sema: Mwenyezi Mungu ni Masihi mwana wa Maryamu.
017_01	Sema: Ni nani mwenye kumiliki cho chote mbele ya Mwenyezi Mungu ikiwa Yeye angetaka kumuangamiza Masihi mwana wa Maryamu, na mama yake, na wote waliomo katika ardhi?
017_02	Na mamlaka ya mbingu na ardhi na vilivyomo ndani yake ni vya Mwenyezi Mungu. Huumba apendavyo. Na Mwenyezi Mungu anao uweza juu ya kila kitu.
018_00	Na Mayahudi na Wakristo wanasema: Sisi ni wana wa Mwenyezi Mungu na vipenzi vyake. Sema: Basi kwa nini anakuadhibuni kwa ajili ya dhambi zenu? Bali nyinyi ni watu tu kama wale wengine alio waumba.
018_01	Humsamehe amtakaye na humuadhibu amtakaye. Na ni wa Mwenyezi Mungu tu ufalme wa mbingu na ardhi. Na marejeo ni kwake Yeye.
019_00	Enyi Watu wa Kitabu! Bila ya shaka amekujilieni Mtume wetu akikubainishieni katika wakati usio kuwa na Mitume, msije mkasema: Hakufika kwetu mbashiri wala mwonyaji.
019_01	Basi amekujieni mbashiri na mwonyaji. Na Mwenyezi Mungu anao uweza wa kila kitu.
020_00	Na pale Musa alipo waambia watu wake: Enyi watu wangu!
