001_00	Ametukuka aliye teremsha Furqani kwa mja wake, ili awe mwonyaji kwa walimwengu wote.
002_00	Ambaye ni wake ufalme wa mbingu na ardhi, wala hakuwa na mwana, wala hakuwa na mshirika katika ufalme, na akaumba kila kitu na akakikadiria kwa kipimo.
003_00	Na wamechukua badala yake miungu ambayo haiumbi chochote, bali hiyo inaumbwa, haijimilikii nafsi zao madhara wala manufaa, wala haimiliki mauti, wala uhai, wala kufufuka.
004_00	Na wamesema walio kufuru: Haya si chochote ila ni uzushi alio uzua, na wamemsaidia kwa haya watu wengine! Hakika hawa wamekuja na dhulma na uwongo.
005_00	Na wakasema: Hivi ni visa vya watu wa kale alivyo viandikisha, anavyo somewa asubuhi na jioni.
006_00	Sema: Ameyateremsha haya ajuaye siri za katika mbingu na ardhi. Hakika Yeye ni Mwenye kusamehe Mwenye kurehemu.
007_00	Na wakasema: Ana nini Mtume huyu? Anakula chakula, na anatembea masokoni! Mbona hakuteremshiwa Malaika akawa mwonyaji pamoja naye?
008_00	Au akaangushiwa khazina juu yake, au akawa na bustani ale katika hiyo? Wakasema madhaalimu: Nyinyi hamumfuati ila mtu aliye rogwa.
009_00	Tazama jinsi wanavyo kupigia mifano. Basi wamepotea, wala hawataiweza Njia.
010_00	Ametukuka ambaye akitaka atakujaalia yaliyo bora kuliko hayo, nayo ni mabustani yapitayo mito kati yao, na atakujaalia majumba ya fakhari.
011_00	Bali wanaikanusha Saa (ya Kiyama). Na Sisi tumemuandalia Moto mkali kabisa huyo mwenye kuikanusha Saa..
012_00	Ule Moto ukiwaona tangu mahali mbali wao watasikia hasira yake na mngurumo wake.
013_00	Na watakapo tupwa humo mahali dhiki, hali wamefungwa, wataomba wafe.
014_00	Msiombe kufa mara moja tu, bali mfe mara nyingi!
015_00	Sema: Je! Haya ni bora au Pepo ya milele, ambayo wameahidiwa wachamngu, iwe kwao malipo na marejeo?
016_00	Watayapata humo wayatakayo daima dawamu. Hii ni ahadi juu ya Mola wako Mlezi, inayo ombwa.
017_00	Na siku atakapo wakusanya wao na hao wanao waabudu, na akasema: Je! Ni nyinyi mlio wapoteza waja wangu hawa, au wao wenyewe walipotea njia?
018_00	Watasema: Subhanak, Umetakasika na upungufu! Haikutupasia sisi kuchukulia walinzi badala yako, lakini Wewe uliwastarehesha wao na baba zao hata wakasahau kukumbuka, na wakawa watu walio angamia.
019_00	Basi walikukanusheni kwa mliyo yasema. Kwa hivyo hamwezi kujiondolea wala kujisaidia. Na atakaye dhulumu miongoni mwenu tutamwonjesha adhabu kubwa.
020_00	Na hatukuwatuma kabla yako Mitume wowote ila kwa hakika na yakini walikuwa wakila chakula, na wakenda masokoni. Na tumewajaalia baadhi yenu wawe ni majaribio kwa wengine; je!
020_01	Mtasubiri? Na Mola wako Mlezi ni Mwenye kuona.
021_00	NA WALISEMA wale wasio taraji kukutana nasi: Mbona sisi hatuteremshiwi Malaika au hatumwoni Mola wetu Mlezi? Kwa yakini hawa wamejiona bora nafsi zao, na wamepanda kichwa vikubwa mno!
022_00	Siku watakayo waona Malaika haitakuwa furaha siku hiyo kwa wakosefu. Na watasema: Mungu apishe mbali!
023_00	Na tutayaendea yale waliyo yatenda katika vitendo vyao, tuvifanye kama mavumbi yaliyo tawanyika.
024_00	Watu wa Peponi siku hiyo watakuwa katika makaazi bora na mahali penye starehe nzuri.
025_00	Na siku zitapo funguka mbingu kwa mawingu, na wateremshwe Malaika kwa wingi,
026_00	Ufalme wa haki siku hiyo utakuwa wa Arrahman, Mwingi wa Rehema, na itakuwa siku ngumu kwa makafiri.
027_00	Na siku ambayo mwenye kudhulumu atajiuma mikono yake, na huku anasema: Laiti ningeli shika njia pamoja na Mtume!
028_00	Ee Ole wangu! Laiti nisingeli mfanya fulani kuwa rafiki!
029_00	Amenipoteza, nikaacha Ukumbusho, baada ya kwisha nijia, na kweli Shet'ani ni khaini kwa mwanaadamu.
030_00	Na Mtume alikuwa akisema: Ee Mola wangu Mlezi! Hakika watu wangu wameifanya hii Qur'ani ni kihame.
031_00	Na vivi hivi tumemfanyia kila Nabii adui miongoni mwa wakosefu, na Mola wako Mlezi anatosha kuwa Mwenye kuongoa na Mwenye kunusuru.
032_00	Na wakasema walio kufuru: Kwa nini hakuteremshiwa Qur'ani kwa jumla moja? Hayo ni hivyo ili tuuthibitishe moyo wako, na ndio tumeisoma kwa mafungu.
033_00	Wala hawatakuletea mfano wowote, ila na Sisi tutakuletea (jawabu) kwa haki, na tafsiri iliyo bora.
034_00	Wale ambao watakao kusanywa na kubururwa kifudifudi mpaka kwenye Jahannamu, hao watakuwa na mahali pabaya, ndio wenye kuipotea sana njia.
035_00	Na hakika tulimpa Musa Kitabu na tukamweka pamoja naye nduguye, Harun, kuwa waziri.
036_00	Tukawaambia: Nendeni kwa watu walio kanusha Ishara zetu. Basi tukawateketeza kabisa.
037_00	Na watu wa Nuhu, walipo wakanusha Mitume, tuliwazamisha, na tukawafanya ni Ishara kwa watu. Na tumewaandalia wenye kudhulumu adhabu chungu.
038_00	Na tuliwaangamiza kina A'di na Thamudi na watu wa Rass na vizazi vingi vilivyo kuwa kati yao.
039_00	Na wote tuliwapigia mifano, na wote tuliwaangamiza kabisa kabisa.
