001_00	T'aa Siin. (T'. S.), Hizi ni Aya za Qur'ani na Kitabu kinacho bainisha;
002_00	Uwongofu na bishara kwa Waumini,
003_00	Ambao wanashika Sala, na wanatoa Zaka, na Akhera wana yakini nayo.
004_00	Kwa hakika wale wasio iamini Akhera tumewapambia vitendo vyao, kwa hivyo wanatangatanga ovyo.
005_00	Hao ndio watapata adhabu mbaya kabisa, na hao katika Akhera ndio watapata khasara zaidi.
006_00	Na hakika wewe unafundishwa Qur'ani inayo tokana kwake Mwenye hikima Mwenye kujua.
007_00	(Kumbuka) Musa alipo waambia ahali zake: Hakika nimeona moto, nitakwenda nikuleteeni khabari, au nitakuleteeni kijinga kinacho waka ili mpate kuota moto.
008_00	Basi alipo fika ilinadiwa: Amebarikiwa aliomo katika moto huu na walioko pembezoni mwake. Na ametakasika Mwenyezi Mungu, Mola Mlezi wa walimwengu wote.
009_00	Ewe Musa! Hakika Mimi ndiye Mwenyezi Mungu, Mwenye nguvu, Mwenye hikima.
010_00	Na itupe fimbo yako! Alipo iona ikitikisika kama nyoka, aligeuka nyuma wala hakungoja. Ewe Musa! Usikhofu! Hakika hawakhofu mbele yangu Mitume.
011_00	Lakini aliye dhulumu, kisha akabadilisha wema baada ya ubaya, basi Mimi ni Mwenye kusamehe Mwenye kurehemu.
012_00	Na ingiza mkono wako katika mfuko wako, utatoka mweupe bila ya maradhi. Ni katika Ishara tisa za kumpelekea Firauni na kaumu yake. Hakika hao walikuwa watu waovu.
013_00	Basi zilipo wafikia Ishara zetu hizo zenye kuonyesha, wakasema: Huu ni uchawi dhaahiri.
014_00	Na wakazikataa kwa dhulma na kujivuna, na hali ya kuwa nafsi zao zina yakini nazo. Basi angalia ulikuwaje mwisho wa mafisadi!
015_00	Na hakika tuliwapa Daudi na Sulaiman ilimu, na wakasema: Alhamdu Lillahi, Kuhimidiwa kote ni kwa Mwenyezi Mungu aliye tufadhilisha kuliko wengi katika waja wake Waumini.
016_00	Na Sulaiman alimrithi Daudi, na akasema: Enyi watu! Tumefunzwa usemi wa ndege, na tumepewa kila kitu. Hakika hii ni fadhila iliyo dhaahiri.
017_00	Na alikusanyiwa Sulaiman majeshi yake ya majini, na watu, na ndege; nayo yakapangwa kwa nidhamu.
018_00	Mpaka walipo fika kwenye bonde la wadudu chungu, alisema mdudu chungu mmoja: Enyi wadudu chungu! Ingieni majumbani mwenu, asikupondeni Sulaiman na majeshi yake bila ya wao kutambua.
019_00	Basi (Sulaiman) akatabasamu akacheka kwa neno hili, na akasema: Ee Mola wangu Mlezi!
019_01	Nizindue niishukuru neema yako uliyo nineemesha mimi na wazazi wangu, na nipate kutenda mema uyapendayo, na uniingize kwa rehema yako katika waja wako wema.
020_00	Na akawakagua ndege, na akasema: Imekuwaje, mbona simwoni Hud-hud, au amekuwa miongoni mwa walio ghibu?
021_00	Kwa yakini nitamuadhibu kwa adhabu kali, au nitamchinja, au aniletee hoja ya kutosha.
022_00	Basi (Hud-hud) akakaa si mbali na akasema: Nimegundua usilo gundua wewe, na ninakujia hivi kutoka nchi ya Sabai, na nakuletea khabari za yakini.
023_00	Hakika mimi nimemkuta mwanamke anawatawala, naye amepewa kila kitu, na anacho kiti cha enzi kikubwa.
024_00	Nimemkuta yeye na watu wake wanalisujudia jua badala ya Mwenyezi Mungu; na Shet'ani amewapambia vitendo vyao na akawazuilia Njia. Kwa hivyo hawakuongoka,
025_00	Na hawamsujudii Mwenyezi Mungu ambaye huyatoa yaliyo fichikana katika mbingu na ardhi, na anayajua mnayo yaficha na mnayo yatangaza.
026_00	Mwenyezi Mungu - hapana mungu ila Yeye, Mola Mlezi wa A'rshi tukufu..
027_00	Akasema (Sulaiman): Tutatazama umesema kweli au wewe ni miongoni mwa waongo.
028_00	Nenda na barua yangu hii na uwafikishie, kisha waache na utazame watarejesha nini.
029_00	(Malkia) akasema: Enyi wahishimiwa! Hakika nimeletewa barua tukufu.
030_00	Imetoka kwa Sulaiman nayo ni: Kwa jina la Mwenyezi Mungu, Mwingi wa rehema, Mwenye kurehemu.
031_00	Msinifanyie jeuri, na fikeni kwangu nanyi mmekwisha kuwa wenye kusalimu amri.
032_00	Akasema: Enyi wahishimiwa! Nipeni shauri katika jambo langu hili, kwani mimi sikati shauri yoyote mpaka mhudhurie.
033_00	Wakasema: Sisi ni wenye nguvu na wakali kwa vita; na amri iko kwako, basi tazama ni nini unaamrisha.
034_00	Akasema: Hakika wafalme wanapo uingia mji wanauharibu, na wanawafanya wale watukufu wake kuwa wanyonge. Na hivyo ndivyo watendavyo.
035_00	Lakini mimi nitawapelekea zawadi, nami nitangoja watakayo rudi nayo wajumbe.
036_00	Basi alipo fika (mjumbe) kwa Sulaiman, alisema (Sulaiman): Hivyo ndio nyinyi mnanisaidia kwa mali? Aliyo nipa Mwenyezi Mungu ni bora zaidi kuliko aliyo kupeni nyinyi. Lakini nyinyi mnafurahia hii zawadi yenu.
037_00	Rejea kwao! Kwa yakini sisi tutawajia kwa majeshi wasio yaweza kuyakabili. Na hakika tutawatoa humo na hali wao wamekuwa madhalili na wanyonge.
038_00	Akasema: Enyi wahishimiwa! Ni nani kati yenu atakaye niletea kiti chake cha enzi kabla hawajanijia nao wamekwisha salimu amri.
039_00	Akasema: Afriti, katika majini: Mimi nitakuletea kabla hujainuka pahala pako hapo. Na mimi kwa hakika nina nguvu na muaminifu.
040_00	Akasema mwenye ilimu ya Kitabu: Mimi nitakuletea kabla ya kupepesa jicho lako.
040_01	Basi alipo kiona kimewekwa mbele yake, akasema: Haya ni katika fadhila zake Mola wangu Mlezi, ili anijaribu nitashukuru au nitakufuru.
040_02	Na mwenye kushukuru, kwa hakika, anashukuru kwa manufaa ya nafsi yake; na anaye kufuru, kwa hakika Mola wangu Mlezi ni Mkwasi na Karimu.
041_00	Akasema: Mgeuzieni kiti chake cha enzi hiki, tuone ataongoka, au atakuwa miongoni mwa wasio ongoka.
042_00	Basi (Malkia) alipo fika akaambiwa: Je! Kiti chako cha enzi ni kama hiki? Akasema: Kama kwamba ndicho hichi. (Sulaiman na watu wake wakasema): Na sisi tumepewa ilimu kabla yake (Malkia), na tukawa Waislamu.
043_00	Na yale aliyo kuwa akiyaabudu badala ya Mwenyezi Mungu yalimzuilia. Hakika yeye (Malkia) alikuwa katika kaumu ya makafiri.
044_00	Akaambiwa: Liingie behewa la hili jumba. Alipo liona alidhani ni maji, na akapandisha nguo mpaka kwenye miundi yake.
044_01	(Sulaiman) akasema: Hakika hilo ni behewa lilio sakafiwa kwa viyoo! Akasema (Malkia): Mola wangu Mlezi! Mimi nimejidhulumu nafsi yangu, na sasa nanyenyekea pamoja na Sulaiman kwa Mwenyezi Mungu, Mola Mlezi wa walimwengu wote.
045_00	Na kwa kina Thamud tulimtuma ndugu yao Saleh kuwaambia: Muabuduni Mwenyezi Mungu. Basi wakawa makundi mawili yanayo gombana.
046_00	Akasema: Enyi watu wangu! Kwa nini mnauhimiza uwovu kabla ya wema? Kwa nini hamuombi msamaha kwa Mwenyezi Mungu ili mrehemewe?
047_00	Wakasema: Tuna kisirani nawe na wale walio pamoja nawe. Yeye akasema: Uaguzi wa ukorofi wenu uko kwa Mwenyezi Mungu; lakini nyinyi ni watu mnao jaribiwa.
048_00	Na walikuwamo mjini watu tisa wakifanya ufisadi katika nchi wala hawafanyi la maslaha.
049_00	Wakasema: Apishaneni kwa Mwenyezi Mungu tutamshambulia usiku yeye na ahali zake; kisha tutamwambia mrithi wake: Sisi hatukuona maangamizo ya watu wake, na sisi bila ya shaka tunasema kweli.
050_00	Basi wakapanga mipango yao, na Sisi tukapanga mipango yetu, na wao hawatambui.
051_00	Basi angalia ulivyo kuwa mwisho wa mipango yao, ya kwamba tuliwaangamiza wao pamoja na watu wao wote.
052_00	Basi hizo nyumba zao ni tupu kwa sababu ya walivyo dhulumu. Hakika bila ya shaka katika hayo ipo Ishara kwa watu wanao jua.
053_00	Na tukawaokoa wale walio amini na walio kuwa wanamchamngu.
054_00	Na Lut'i alipo waambia watu wake: Je! Mnafanya uchafu nanyi mnaona?
055_00	Hivyo nyinyi mnawaingilia wanaume kwa matamanio badala ya wanawake? Hakika nyinyi ni watu mnao fanya ujinga kabisa!
056_00	Basi haikuwa jawabu ya watu wake ila ni kusema: Wafukuzeni wafwasi wa Lut'i katika mji wenu. Hao ni watu wanao jitia usafi.
057_00	Basi tukamwokoa yeye na ahali zake, isipo kuwa mkewe; tukamkadiria katika walio baki nyuma.
058_00	Na tukawanyeshea mvua. Ni ovu kweli kweli hiyo mvua ya walio kwisha onywa.
059_00	Sema: Alhamdu Lillahi! Kuhimidiwa ni kwa Mwenyezi Mungu! Na amani ishuke juu ya waja wake alio wateuwa. Je! Mwenyezi Mungu ni bora, au wale wanao washirikisha naye?
060_00	AU NANI yule aliye ziumba mbingu na ardhi, na akakuteremshieni maji kutoka mbinguni, na kwa hayo tukaziotesha bustani zenye kupendeza? Nyinyi hamna uwezo wa kuiotesha miti yake.
060_01	Je! Yupo mungu pamoja na Mwenyezi Mungu? Bali hao ni watu walio potoka.
061_00	Au nani yule aliye ifanya ardhi mahali pa kutua, na akajaalia ndani yake mito, na akaweka milima? Na akaweka baina ya bahari mbili kiziwizi?
061_01	Je! Yupo mungu pamoja na Mwenyezi Mungu? Bali wengi wao hawajui.
062_00	Au nani yule anaye mjibu mwenye shida pale anapo mwomba, na akaiondoa dhiki, na akakufanyeni warithi wa ardhi? Je! Yupo mungu pamoja na Mwenyezi Mungu? Ni machache mnayo yazingatia.
063_00	Au nani yule anaye kuongoeni katika giza la bara na bahari, na akazipeleka pepo kuleta bishara kabla ya rehema zake? Je!
063_01	Yupo mungu pamoja na Mwenyezi Mungu? Ametukuka Mwenyezi Mungu juu ya wanao washirikisha naye.
064_00	Au nani anaye uanzisha uumbaji, kisha akaurejesha? Na nani anaye kuruzukuni kutoka mbinguni na kwenye ardhi? Je! Yupo mungu pamoja na Mwenyezi Mungu? Sema: Leteni hoja zenu kama nyinyi ni wasema kweli.
065_00	Sema: Hapana katika mbingu na ardhi ajuaye ya ghaibu isipo kuwa Mwenyezi Mungu. Wala wao hawajui lini watafufuliwa.
066_00	Kwani huo ujuzi wao umefikilia kuijua Akhera? Bali wao wamo katika shaka nayo tu, bali wao ni vipofu nayo.
067_00	Na wakasema walio kufuru: Tutapo kuwa mchanga, sisi na baba zetu, hivyo kweli tutakuja tolewa?
068_00	Haya haya tuliahidiwa sisi na baba zetu zamani. Hayakuwa haya ila ni hadithi za uwongo za watu wa kale.
069_00	Sema: Nendeni katika ardhi, na tazameni ulikuwaje mwisho wa wakosefu.
