001_00	Alif Lam Mim (A. L. M.)
002_00	Je! Wanadhani watu wataachwa kwa kuwa wanasema: Tumeamini. Nao wasijaribiwe?
003_00	Hakika tuliwajaribu walio kuwa kabla yao, na kwa yakini Mwenyezi Mungu atawatambulisha walio wa kweli na atawatambulisha walio waongo.
004_00	Au wanadhani wanao tenda maovu kwamba watatushinda? Hukumu mbaya hiyo wanayo hukumu.
005_00	Mwenye kutaraji kukutana na Mwenyezi Mungu, basi hakika miadi ya Mwenyezi Mungu itafika bila ya shaka. Naye ni Mwenye kusikia, Mwenye kujua.
006_00	Na anaye fanya juhudi basi bila ya shaka anafanya juhudi kwa ajili ya nafsi yake. Hakika Mwenyezi Mungu si mhitaji wa walimwengu.
007_00	Na walio amini na wakatenda mema, kwa yakini tutawafutia makosa yao, na tutawalipa bora ya waliyo kuwa wakiyatenda.
008_00	Na tumemuusia mwanaadamu kuwafanyia wema wazazi wake.
008_01	Na ikiwa watakushikilia unishirikishe Mimi na usiyo kuwa na ujuzi nayo, basi usiwat'ii. Kwangu Mimi ndio marejeo yenu, na nitakwambieni mliyo kuwa mkiyatenda.
009_00	Na walio amini na wakatenda mema, bila ya shaka tutawatia miongoni mwa watu wema.
010_00	Na katika watu wapo wanao sema: Tumemuamini Mwenyezi Mungu. Lakini wanapo pewa maudhi kwa ajili ya Mwenyezi Mungu, wanayafanya mateso ya watu kama ni adhabu ya Mwenyezi Mungu.
010_01	Na inapo kuja nusura kutoka kwa Mola wako Mlezi husema: Hakika sisi tulikuwa pamoja nanyi. Kwani Mwenyezi Mungu hayajui yaliomo vifuani mwa walimwengu?
011_00	Na hapana shaka Mwenyezi Mungu atawatambulisha walio amini, na atawatambulisha wanaafiki.
012_00	Na walio kufuru waliwaambia walio amini: Fuateni njia yetu, nasi tutayabeba makosa yenu. Wala wao hawatabeba katika makosa yao chochote kile. Hakika hao ni waongo.
013_00	Na hapana shaka wataibeba mizigo yao na mizigo mingine pamoja na mizigo yao. Na kwa yakini wataulizwa Siku ya Kiyama juu ya waliyo kuwa wakiyazua.
014_00	Na hakika tulimtuma Nuhu kwa watu wake, na akakaa nao miaka elfu kasoro miaka khamsini. Basi tufani liliwachukua, nao ni madhaalimu.
015_00	Nasi tukamwokoa yeye na wenziwe wa katika safina, na tukaifanya kuwa ni Ishara kwa walimwengu wote.
016_00	Na Ibrahim pale alipo waambia watu wake: Muabuduni Mwenyezi Mungu, na mcheni Yeye. Hiyo ndiyo kheri yenu, ikiwa nyinyi mnajua.
017_00	Hakika nyinyi mnaabudu masanamu badala ya Mwenyezi Mungu, na mnazua uzushi. Hakika hao mnao waabudu badala ya Mwenyezi Mungu hawakumilikiini riziki yoyote.
017_01	Takeni riziki kwa Mwenyezi Mungu, na mumuabudu Yeye, na mumshukuru Yeye. Kwake Yeye ndio mtarudishwa.
018_00	Na mkikadhibisha, basi kaumu kadhaa wa kadhaa za kabla yenu zilikwisha kadhibisha. Na si juu ya Mtume ila kufikisha Ujumbe waziwazi.
