001_00	H'a, Mim.
002_00	Uteremsho wa Kitabu umetoka kwa Mwenyezi Mungu Mwenye nguvu, Mwenye kujua.
003_00	Anaye samehe dhambi na anaye pokea toba, Mkali wa kuadhibu, Mwenye ukarimu, hakuna mungu ila Yeye; marejeo ni kwake.
004_00	Hawazibishi Ishara za Mwenyezi Mungu ila walio kufuru; basi kusikughuri wewe kutanga tanga kwao katika nchi.
005_00	Kabla yao walikadhibisha kaumu ya Nuhu na makundi mengine baada yao. Na kila taifa lilikuwa na hamu juu ya Mtume wao wamkamate.
005_01	Na walibishana kwa upotovu ili kuipindua haki. Kwa hivyo niliwakamata. Basi ilikuwaje adhabu yangu!
006_00	Namna hivi limewathibitikia makafiri neno la Mola wako Mlezi ya kwamba wao ni watu wa Motoni.
007_00	Wale wanao beba A'rshi, na wanao izunguka, wanamsabihi na kumhimidi Mola wao Mlezi, na wanamuamini, na wanawaombea msamaha walio amini kwa kusema: Mola wetu Mlezi!
007_01	Umekienea kila kitu kwa rehema na ujuzi. Basi wasamehe walio tubu na wakaifuata Njia yako, na waepushe na adhabu ya Jahannamu.
008_00	Mola wetu Mlezi! Na waingize katika Bustani za Milele ulizo waahidi. Na uwape haya pia wale walio fanya mema miongoni mwa wazee wao na wake zao na dhuriya zao. Hakika Wewe ni Mwenye nguvu, Mwenye hikima.
009_00	Na waepushe na maovu; kwani umwepushaye maovu siku hiyo, hakika umemrehemu; na huko ndiko kufuzu kukubwa.
010_00	Kwa hakika wale walio kufuru watanadiwa: Bila ya shaka kukuchukieni Mwenyezi Mungu ni kukubwa kuliko kujichukia nyinyi nafsi zenu, mlipo kuwa mnaitwa kwenye Imani nanyi mkakataa.
011_00	Watasema: Mola wetu Mlezi! Umetufisha mara mbili, na umetuhuisha mara mbili! Basi tunakiri madhambi yetu. Basi je, ipo njia ya kutoka?
012_00	Hayo ni hivyo kwa sababu mlikuwa akiombwa Mwenyezi Mungu peke yake mnakataa. Na akishirikishwa mnaamini. Basi hukumu ni ya Mwenyezi Mungu Mtukufu Mkuu.
013_00	Yeye ndiye anaye kuonyesheni Ishara zake, na anakuteremshieni kutoka mbinguni riziki. Na hapana anaye kumbuka ila anaye rejea.
014_00	Basi mwombeni Mwenyezi Mungu mkimsafia Dini Yeye tu, na wangachukia makafiri.
015_00	Yeye ndiye Mwenye vyeo vya juu, Mwenye A'rshi. Hupeleka Roho kwa amri yake juu ya amtakaye katika waja wake, ili kuonya kwa Siku ya Mkutano.
016_00	Siku watakayo dhihiri wao. Hapana kitacho fichikana chochote chao kwa Mwenyezi Mungu. Ufalme ni wa nani leo? Ni wa Mwenyezi Mungu Mmoja Mtenda nguvu.
017_00	Leo kila nafsi italipwa kwa iliyo chuma. Hapana dhulma leo. Hakika Mwenyezi Mungu ni Mwepesi wa kuhisabu.
018_00	Na waonye siku inayo kurubia, wakati nyoyo zitakapo fika kooni, nao wamejaa huzuni. Madhaalimu hawatakuwa na rafiki, wala mwombezi wa kuitikiwa.
019_00	(Mwenyezi Mungu) anajua khiyana ya macho na yanayo ficha vifua.
020_00	Na Mwenyezi Mungu huhukumu kwa haki; lakini hao wanao waomba badala yake hawahukumu chochote. Hakika Mwenyezi Mungu ndiye Mwenye kusikia Mwenye kuona.
021_00	Kwani hawatembei katika ardhi wakaona jinsi ulivyo kuwa mwisho wa walio kuwa kabla yao? Hao walikuwa wamewazidi hawa kwa nguvu na athari katika nchi.
021_01	Na Mwenyezi Mungu aliwatia mkononi kwa sababu ya madhambi yao. Na wala hapakuwa wa kuwalinda na Mwenyezi Mungu.
022_00	Hayo ni kwa sababu walikuwa wanawajia Mitume wao kwa hoja zilizo wazi, lakini wakawakataa, ndipo Mwenyezi Mungu akawakamata. Bila ya shaka Yeye ni Mwenye nguvu, Mkali wa kuadhibu.
023_00	Na kwa yakini tulimtuma Musa pamoja na Ishara zetu na uthibitisho ulio wazi,
024_00	Kumwendea Firauni na Hamana na Qaruni, wakasema: Huyu ni mchawi, mwongo mkubwa.
025_00	Basi alipo waletea Haki inayo toka kwetu, walisema: Waueni watoto wanaume wa wale walio muamini na wawacheni hai wanawake wao.
025_01	Na haviwi vitimbi vya makafiri ila katika upotovu.
026_00	Na Firauni akasema: Niachieni nimuuwe Musa, naye amwite Mola wake Mlezi! Mimi nachelea asije kubadilishieni dini yenu, au akatangaza uharibifu katika nchi.
027_00	Na Musa akasema: Mimi najikinga kwa Mola wangu Mlezi na Mola wenu Mlezi anilinde na kila mwenye jeuri asiye iamini Siku ya Hisabu.
028_00	Na akasema mtu mmoja Muumini, aliye kuwa mmoja katika watu wa Firauni aliye ficha Imani yake: Mtamuuwa mtu kwa sababu anasema Mola wangu Mlezi ni Mwenyezi Mungu? Na hali naye amekujieni na hoja zilizo wazi?
028_01	Na akiwa yeye mwongo basi uwongo wake ni juu yake mwenyewe, na akiwa mkweli yatakufikieni baadhi ya hayo anayo kuahidini. Hakika Mwenyezi Mungu hamwongoi apindukiaye mipaka, mwongo mkubwa.
029_00	Enyi watu wangu!
029_01	Leo mna ufalme, mmeshinda katika nchi; basi ni nani atakaye nisaidia kutuokoa na adhabu ya Mwenyezi Mungu kama ikitufikia? Firauni akasema: Sikupeni shauri ila ile niliyo iona, wala sikuongozeni ila kwenye njia ya uwongofu.
030_00	Na akasema yule aliye amini: Enyi watu wangu! Hakika mimi nakukhofieni mfano wa siku za makundi,
031_00	Mfano wa hali ya watu wa Nuhu na A'di na Thamudi na wale wa baada yao. Na Mwenyezi Mungu hataki kuwadhulumu waja.
032_00	Na enyi watu wangu! Hakika mimi nakukhofieni Siku ya mayowe.
033_00	Siku mtakapo geuka kurudi nyuma. Hamtakuwa na wa kukulindeni kwa Mwenyezi Mungu. Na mwenye kuhukumiwa na Mwenyezi Mungu kupotea, basi huyo hana wa kumwongoa.
034_00	Na alikwisha wajieni Yusuf zamani kwa dalili zilizo wazi, lakini nyinyi mliendelea katika shaka kwa yale aliyo kuleteeni; mpaka alipo kufa mkasema: Mwenyezi Mungu hataleta kabisa Mtume baada yake.
034_01	Kama hivyo Mwenyezi Mungu humwacha kupotea anaye pindukia mipaka katika maasi anaye jitia shaka.
035_00	Hao ambao wanajadiliana katika Ishara za Mwenyezi Mungu pasipo ushahidi wowote ulio wafikia, ni chukizo kubwa mbele ya Mwenyezi Mungu na mbele ya walio amini.
035_01	Hivi ndivyo Mwenyezi Mungu apigavyo muhuri juu ya kila moyo wa jeuri anaye jivuna.
036_00	Na Firauni akasema: Ewe Hamana! Nijengee mnara ili nipate kuzifikia njia,
037_00	Njia za mbinguni ili nikamwone Mungu wa Musa. Na kwa hakika mimi bila ya shaka namjua kuwa ni mwongo tu.
037_01	Na hivi ndivyo Firauni alivyo pambiwa ubaya wa vitendo vyake, na akazuiliwa Njia. Na vitimbi vya Firauni havikuwa ila katika kuangamia tu.
038_00	Na yule aliye amini alisema: Enyi watu wangu! Nifuateni mimi, nitakuongozeni njia ya uwongozi mwema.
