001_00	H'a Mim
002_00	A'yn Sin Qaf
003_00	Hivi ndivyo Mwenyezi Mungu Mwenye nguvu na Mwenye hikima anavyo kuletea Wahyi wewe na walio kabla yako.
004_00	Ni vyake viliomo mbinguni, na viliomo katika ardhi. Na Yeye ndiye Mtukufu, Mkuu.
005_00	Zinakaribia mbingu kupasuka juu huko, na Malaika wakimtakasa Mola wao Mlezi na kumhimidi, na wakiwaombea maghfira waliomo kwenye ardhi.
005_01	Ama hakika Mwenyezi Mungu ni Mwenye kusamehe, Mwenye kurehemu.
006_00	Na wale walio wafanya walinzi wengine badala yake Yeye, Mwenyezi Mungu ni Mwangalizi juu yao. Wala wewe si wakili juu yao.
007_00	Na namna hivi tumekufunulia Qur'ani kwa Kiarabu ili uwaonye watu wa Mama wa Miji na walio pembezoni mwake.
007_01	Na uhadharishe na Siku ya Mkutano, haina shaka hiyo. Kundi moja litakuwa Peponi, na kundi jengine Motoni.
008_00	Na Mwenyezi Mungu angeli penda ange wafanya wote umma mmoja, lakini anamwingiza katika rehema yake amtakaye. Na wenye kudhulumu hawana mlinzi wala msaidizi.
009_00	Au wamechukua walinzi wengine badala yake! Lakini Mwenyezi Mungu ndiye Mlinzi khasa. Na Yeye ndiye anaye huisha wafu. Na Yeye ndiye Mweza wa kila kitu.
010_00	Na mkikhitalifiana katika jambo lolote, basi hukumu yake iko kwa Mwenyezi Mungu. Huyo Mwenyezi Mungu ndiye Mola wangu Mlezi, ninaye mtegemea na kwake Yeye narejea.
011_00	Yeye ndiye Muumba mbingu na ardhi, amekujaalieni mke na mume katika nafsi zenu, na katika nyama hoa dume na jike, anakuzidishieni namna hii.
011_01	Hapana kitu kama mfano wake. Naye ni Mwenye kusikia Mwenye kuona.
012_00	Yeye ndiye Mwenye funguo za mbingu na ardhi. Humkunjulia riziki amtakaye, na humpimia amtakaye. Hakika Yeye ni Mjuzi wa kila kitu.
013_00	Amekuamrisheni Dini ile ile aliyo muusia Nuhu na tuliyo kufunulia wewe, na tuliyo wausia Ibrahim na Musa na Isa, kwamba shikeni Dini wala msifarikiane kwayo.
013_01	Ni magumu kwa washirikina hayo unayo waitia.
013_02	Mwenyezi Mungu humteua kwake amtakaye, na humwongoa kwake aelekeaye.
014_00	Na hawakufarikiana ila baada ya kuwajia ilimu kwa sababu ya husuda iliyo kuwa baina yao.
014_01	Na lau kuwa haikwisha tangulia kauli kutoka kwa Mola wako Mlezi ya kuakhirisha mpaka muda maalumu, basi bila ya shaka palingeli hukumiwa baina yao. Na hakika walio rithishwa Kitabu baada yao wanakitilia shaka inayo wahangaisha.
015_00	Basi kwa haya waite! Nawe simama sawa sawa kama ulivyo amrishwa, wala usiyafuate matamanio yao. Na sema: Naamini aliyo teremsha Mwenyezi Mungu katika Vitabu. Na nimeamrishwa nifanye uadilifu baina yenu.
015_01	Mwenyezi Mungu ni Mola wetu Mlezi, na Mola wenu Mlezi. Sisi tuna jukumu kwa vitendo vyetu, na nyinyi mna jukumu kwa vitendo vyenu. Hapana kuhojiana baina yetu na nyinyi. Na Mwenyezi Mungu atatukusanya pamoja, na marejeo ni kwake.
016_00	Na wanao hojiana juu ya Mwenyezi Mungu baada ya kukubaliwa, hoja za hawa ni baat'ili mbele ya Mola wao Mlezi, na juu yao ipo ghadhabu, na itakuwa kwao adhabu kali.
017_00	Mwenyezi Mungu ndiye aliye teremsha Kitabu kwa Haki, na Mizani. Na nini kitakacho kujuulisha ya kwamba pengine Saa ya Kiyama ipo karibu?
018_00	Wasio amini huihimiza hiyo Saa ifike upesi; lakini wanao amini wanaiogopa, na wanajua kwamba hakika hiyo ni kweli.
018_01	Ama kwa hakika hao wanao bishana katika khabari za hiyo Saa wamo katika upotofu wa mbali kabisa.
019_00	Mwenyezi Mungu ni Mpole kwa waja wake. Humruzuku ampendaye. Naye ni Mwenye nguvu, Mtukufu.
020_00	Mwenye kutaka mavuno ya Akhera tutamzidishia katika mavuno yake, na mwenye kutaka mavuno ya duniani tutampa katika hayo, lakini katika Akhera hana fungu.
021_00	Au hao wana miungu ya kishirikina walio watungia dini asiyo itolea idhini Mwenyezi Mungu?
021_01	Na lau lisinge kuwako neno la kupambanua basi wangeli katiwa hukumu baina yao. Na hakika wenye kudhulumu watapata adhabu chungu.
022_00	Utawaona hao madhaalimu wanavyo kuwa na khofu kwa sababu ya waliyo yachuma, nayo yatawafika tu. Na walio amini na wakatenda mema watakuwamo katika mabustani ya Peponi.
022_01	Humo watapata wayatakayo kwa Mola wao Mlezi. Hiyo ndiyo fadhila kubwa.
023_00	Hayo ndiyo aliyo wabashiria Mwenyezi Mungu waja wake walio amini na wakatenda mema. Sema: Sikuombeni malipo yoyote kwenu ila mapenzi katika kujikurubisha.
023_01	Na anaye fanya wema tutamzidishia wema. Hakika Mwenyezi Mungu ni Msamehevu Mwenye shukrani.
024_00	Ati wanasema: Amemzulia Mwenyezi Mungu uwongo? Mwenyezi Mungu akipenda atapiga muhuri juu ya moyo wako.
024_01	Na Mwenyezi Mungu anaufuta upotofu na anaithibitisha Haki kwa maneno yake. Hakika Yeye anayajua yaliomo vifuani.
025_00	Naye ndiye anaye pokea toba kwa waja wake, na anasamehe makosa, na anayajua mnayo yatenda.
026_00	Na anawaitikia wanao amini na wakatenda mema, na anawazidishia fadhila zake. Na makafiri watakuwa na adhabu chungu.
027_00	Na lau kuwa Mwenyezi Mungu angeli wakunjulia riziki waja wake, basi bila ya shaka wangeli panda kiburi katika dunia. Lakini anaiteremsha kwa kipimo akitakacho. Hakika Yeye anawajua vyema waja wake na anawaona.
028_00	Naye ndiye anaye iteremsha mvua baada ya wao kwisha kata tamaa, na hueneza rehema yake. Naye ndiye Mlinzi Mwenye kuhimidiwa.
029_00	Na katika Ishara zake ni kuumba mbingu na ardhi, na wanyama alio waeneza. Naye ni Mwenye uweza wa kuwakusanya apendapo.
030_00	Na misiba inayo kusibuni ni kwa sababu ya vitendo vya mikono yenu. Naye anasamehe mengi.
031_00	Na nyinyi hamwezi kushinda katika ardhi. Na wala nyinyi hamna mlinzi wala msaidizi badala ya Mwenyezi Mungu.
032_00	Na katika Ishara zake ni vyombo vinavyo kwenda na kurejea baharini kama vilima.
033_00	Akitaka, huutuliza upepo navyo hivyo vyombo husimama tutwe juu ya bahari. Hakika katika hayo zipo Ishara kwa kila mwenye kusubiri akashukuru.
034_00	Au huviangamiza hivyo vyombo kwa sababu ya waliyo yatenda hao watu. Naye husamehe mengi.
035_00	Na ili wajue wanao jadiliana katika Ishara zetu kwamba hawana pahala pa kukimbilia.
