001_00	H'A MIM
002_00	Uteremsho wa Kitabu umetoka kwa Mwenyezi Mungu, Mwenye nguvu, Mwenye hikima.
003_00	Hatukuziumba mbingu na ardhi wala yaliyomo baina yake ila kwa haki na kwa muda maalumu. Na walio kufuru wanayapuuza yale wanayo onywa.
004_00	Je! Mwawaona wale mnao waomba badala ya Mwenyezi Mungu?
004_01	Nionyesheni wameumba nini katika ardhi; au hao wanayo shirika katika mbingu? Nileteeni Kitabu kilicho kuwa kabla ya hiki, au alama yoyote ya ilimu, ikiwa mnasema kweli.
005_00	Na nani mpotofu mkubwa kuliko hao wanao waomba, badala ya Mwenyezi Mungu, ambao hawatawaitikia mpaka Siku ya Kiyama, na wala hawatambui maombi yao.
006_00	Na ambao watu watakapo kusanywa watakuwa maadui zao, na wataikataa ibada yao.
007_00	Na wanapo somewa Aya zetu zilizo wazi, walio kufuru husema juu ya haki inapo wajia: Huu ni uchawi dhaahiri.
008_00	Au wanasema: Ameizua mwenyewe! Sema: Ikiwa nimeizua mimi, basi nyinyi hamwezi kunifaa chochote mbele ya Mwenyezi Mungu.
008_01	Yeye anajua zaidi hayo mnayo ropokwa; anatosha kuwa shahidi baina yangu na nyinyi. Na Yeye ndiye Mwenye kusamehe, Mwenye kurehemu.
009_00	Sema: Mimi si kiroja miongoni mwa Mitume. Wala sijui nitakavyo fanywa wala nyinyi. Mimi nafuata niliyo funuliwa tu kwa Wahyi, wala mimi si chochote ila ni mwonyaji mwenye kudhihirisha wazi.
010_00	Sema: Mwaonaje yakiwa haya ni kweli yametoka kwa Mwenyezi Mungu, nanyi mmeyakataa, na akashuhudia shahidi miongoni mwa Wana wa Israili juu ya mfano wa haya, na akaamini, na nyinyi mnafanya kiburi?
010_01	Hakika Mwenyezi Mungu hawaongoi watu wenye kudhulumu.
011_00	Na walio kufuru waliwaambia walio amini: Lau kuwa hii ni kheri, wasingeli tutangulia. Na walipo kosa kuongoka wakasema: Huu ni uzushi wa zamani.
012_00	Na kabla yake kilikuwapo Kitabu cha Musa, kuwa chenye uwongozi na rehema. Na hichi ni Kitabu cha kusadikisha na kilicho kuja kwa lugha ya Kiarabu, ili kiwaonye walio dhulumu, na kiwe ni bishara kwa watendao mema.
013_00	Hakika walio sema: Mola wetu Mlezi ni Mwenyezi Mungu; kisha wakatengenea, hawatakuwa na khofu, wala hawatahuzunika.
014_00	Hao ndio watu wa Peponi, watadumu humo, kuwa ni malipo kwa waliyo kuwa wakiyatenda.
015_00	Na tumemuusia mwanaadamu awatendee wema wazazi wake wawili. Mama yake amechukua mimba yake kwa taabu, na akamzaa kwa taabu.
015_01	Na kuchukua mimba kwake hata kumwachisha ziwa ni miezi thalathini.
015_02	Hata anapo fika utu uzima wake, na akafikilia miaka arubaini, husema: Mola wangu Mlezi! Niwezeshe nishukuru neema zako ulizo nineemesha mimi na wazazi wangu, na nitende mema unayo yapenda. Na unitengenezee dhuriya zangu. Hakika mimi nimetubu kwako, na mimi ni miongoni mwa Waislamu.
016_00	Hao ndio tunao wapokelea bora ya vitendo vyao walivyo vitenda, na tunayasamehe makosa yao. Watakuwa miongoni mwa watu wa Peponi. Miadi ya kweli hiyo walio ahidiwa.
017_00	Na ambaye amewafyonya wazazi wake na akawaambia: Ati ndio mnanitisha kuwa nitafufuliwa, na hali vizazi vingi vimekwisha pita kabla yangu! Na hao wazazi humwomba msaada Mwenyezi Mungu (na humwambia mtoto wao): Ole wako!
017_01	Amini! Hakika ahadi ya Mwenyezi Mungu ni kweli. Na yeye husema: Hayakuwa haya ila ni visa vya watu wa kale.
018_00	Hao ndio ambao imehakikikishwa hukumu juu yao kama mataifa yaliyo kwisha pita kabla yao miongoni mwa majini na watu. Hakika hao wamekuwa wenye kukhasiri.
019_00	Na wote watakuwa na daraja zao mbali mbali kwa waliyo yatenda, na ili awalipe kwa vitendo vyao, na wala hawatadhulumiwa.
020_00	Na siku watakapo letwa walio kufuru kwenye Moto wataambiwa: Nyinyi mlitwaa vitu vyenu vizuri katika uhai wa duniani, na mkastareheshwa navyo.
020_01	Basi leo ndio mnalipwa adhabu ya fedheha kwa mlivyo kuwa mkitakabari katika ardhi bila ya haki, na kwa sababu mlikuwa mkifanya upotovu.
021_00	Na mtaje ndugu wa kina A'di, alipo waonya watu wake kwenye vilima vya mchanga.
021_01	Na kwa yakini waonyaji wengi walitokea kabla yake na baada yake kuwaambia: Msimuabudu isipo kuwa Mwenyezi Mungu. Hakika mimi nakukhofieni isikupateni adhabu ya siku iliyo kuu.
022_00	Wakasema: Je! Umetujia ili ututenge mbali na miungu yetu? Basi tuletee hayo unayo tuahidi ikiwa wewe ni miongoni mwa wasemao kweli.
023_00	Akasema: Hakika ujuzi uko kwa Mwenyezi Mungu. Mimi nakufikishieni niliyo tumwa. Lakini nakuoneni kuwa nyinyi mnafanya ujinga.
024_00	Basi walipo liona wingu likielekea kwenye mabonde yao, walisema: Wingu hili la kutunyeshea mvua! Kumbe sivyo, haya ni hayo mliyo yahimiza, upepo ambao ndani yake imo adhabu chungu!
