001_00	Naapa kwa alfajiri,
002_00	Na kwa masiku kumi,
003_00	Na kwa viwili viwili na kimoja kimoja,
004_00	Na kwa usiku unapo pita,
005_00	Je! Hapana katika haya kiapo kwa mwenye akili?
006_00	Kwani hukuona jinsi Mola wako Mlezi alivyo wafanya kina A'di?
007_00	Wa Iram, wenye majumba marefu?
008_00	Ambao haukuumbwa mfano wake katika nchi?
009_00	Na Thamudi walio chonga majabali huko bondeni?
010_00	Na Firauni mwenye vigingi?
011_00	Ambao walifanya jeuri katika nchi?
012_00	Wakakithirisha humo ufisadi?
013_00	Basi Mola wako Mlezi aliwapiga mjeledi wa adhabu.
014_00	Hakika Mola wako Mlezi yupo kwenye mavizio anawavizia.
015_00	Ama mtu anapo jaribiwa na Mola wake Mlezi, akamkirimu na akamneemesha, husema: Mola wangu Mlezi amenikirimu!
016_00	Na ama anapo mjaribu akampunguzia riziki yake, husema: Mola wangu Mlezi amenitia unyonge!
017_00	Sivyo hivyo! Bali nyinyi hamuwakirimu mayatima,
018_00	Wala hamhimizani kulisha masikini;
019_00	Na mnakula urithi kwa ulaji wa pupa,
020_00	Na mnapenda mali pendo la kupita kiasi.
021_00	Sivyo hivyo! Itakapo vunjwa ardhi vipande vipande,
022_00	Na akaja Mola wako Mlezi na Malaika safu safu,
023_00	Na ikaletwa Jahannamu siku hiyo, siku hiyo mtu atakumbuka! Lakini kukumbuka huko kutamfaa nini?
024_00	Atasema: Laiti ningeli jitangulizia kwa uhai wangu!
025_00	Basi siku hiyo hataadhibu yeyote namna ya kuadhibu kwake.
026_00	Wala hatafunga yeyote kama kufunga kwake.
027_00	Ewe nafsi iliyo tua!
028_00	Rejea kwa Mola wako Mlezi umeridhika, na umemridhisha.
029_00	Basi ingia miongoni mwa waja wangu,
030_00	Na ingia katika Pepo yangu.
