001_00	Naapa kwa Mji huu!
002_00	Nawe unaukaa Mji huu.
003_00	Na naapa kwa mzazi na alicho kizaa.
004_00	Hakika tumemuumba mtu katika taabu.
005_00	Ati anadhani hapana yeyote ataye muweza?
006_00	Anasema: Nimeteketeza chungu ya mali.
007_00	Ati anadhani ya kuwa hapana yeyote anaye mwona?
008_00	Kwani hatukumpa macho mawili?
009_00	Na ulimi, na midomo miwili?
010_00	Na tukambainishia zote njia mbili?
011_00	Lakini hakujitoma kwenye njia ya vikwazo vya milimani.
012_00	Na nini kitakujuvya ni nini njia ya vikwazo vya milimani?
013_00	Kumkomboa mtumwa;
014_00	Au kumlisha siku ya njaa
015_00	Yatima aliye jamaa,
016_00	Au masikini aliye vumbini.
017_00	Tena awe miongoni mwa walio amini na wakausiana kusubiri na wakausiana kuhurumiana.
018_00	Hao ndio watu wa kheri wa kuliani.
019_00	Lakini walio zikataa Ishara zetu, hao ndio watu wa shari wa kushotoni.
020_00	Juu yao utakuwa Moto ulio fungiwa kila upande.
